Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abel, Hunter",50,DT,6000,275,RS SO,Piedmont HS,"Piedmont, Calif."
"Abramo, Matt",49,PK/P,6030,190,RS SO/TR,Casa Grande,"Kirkland, Wash."
"Albert, Antoine",14,DB,6000,190,RS SR/TR,Oakland Tech,"Oakland, CA"
"Ali Walsh, Biaggio",0,RB,5100,190,FR,Bishop Gorman,"Las Vegas, Nev."
"Allensworth, Darius",2,CB,5110,195,RS SR,Heritage HS,"Menifee, CA"
"Anderson, Jacob",32,S,5110,195,RS SR/TR,Tustin HS,"Tustin, Calif."
"Anderson, Matt",9,PK,6000,195,RS SR,San Ramon Valley HS,"Danville, CA"
"Anoa'i, Hamilton",11,ILB,6020,250,SR,Sierra,"San Mateo, TX"
"Ashton, Jake",80,TE,6040,235,RS JR,Xaiver College Prep,"Indio, CA"
"Bankhead, Greyson",13,WR,6000,170,RS FR,Centennial,"Corona, Calif."
"Bazakas, Henry",76,OL,6060,300,RS SO,Berkeley HS,"Berkeley, Calif."
"Beck, Traveon",22,CB,5090,160,SO,St. John Bosco,"Bellflower, Calif."
"Becker, Rusty",90,DE,6040,280,RS SR/TR,Maple Grove HS,"Maple Grove, Minn."
"Bennett, Kamryn",72,OG,6030,310,RS JR,Centennial,"Peoria, AZ"
"Bequette, Luc",93,NG,6020,290,RS SO,Catholic,"Little Rock, AR"
"Bowers, Ross",3,QB,6020,190,RS SO,Bothell,"Bothell, WA"
"Brown, Derron",4,FS,6010,210,RS JR,Betty H. Fairfax,"Oakland, CA"
"Brown, Gerran",41,ILB,6020,220,RS SO/TR,Mater Dei,"Santa Ana, Calif."
"Bryant, Drew",46,OLB,6020,220,RS JR,Sparks,"Reno, NV"
"Bynum, Camryn",24,CB,6000,180,RS FR,Centennial,"Corona, Calif."
"Cherry, Gabe",92,DE,6050,260,FR,Centennial,"Bakersfield, Calif."
"Clark, Derrick",22,RB,5100,210,RS FR,Mission Bay HS,"San Diego, Calif."
"Curhan, Jake",71,OL,6060,325,RS FR,Redwood HS,"Larkspur, Calif."
"Davis, Ashtyn",27,CB,6010,195,RS SO,Santa Cruz HS,"Santa Cruz, Calif."
"Davison, Raymond",31,ILB,6020,235,RS SR,Crespi Carmelite HS,"Encino, CA"
"Downs, Devante",1,ILB,6030,245,SR,Mountlake Terrace,"Mountlake Terrace, WA"
"Drayden, Joshua",20,CB,5090,185,SO,Bishop Dunne,"Dallas, Texas"
"Duncan, Jordan",2,WR,6010,210,SO,Oak Grove HS,"Hattiesburg, Miss."
"Echols, Zion",4,RB,5080,180,RS FR,Charter Oak,"Covina, Calif."
"Edmonds, Nygel",8,CB,5110,190,RS FR,McCallie School,"Chattanooga, Tenn."
"Enwere, Vic",23,RB,6000,245,SR,Fort Benton Austin,"Missouri City, TX"
"Forrest, Chase",14,QB,6020,205,RS JR,Mater Dei,"Santa Ana, CA"
"Franklin, Marloshawn",18,CB,5110,190,SR/TR,Chandler,"Chandler, Ariz."
"Frum, Garrett",46,LS,6010,230,RS JR/TR,Moorpark,"Moorpark, Calif."
"Funches, Alex",36,OLB,6020,230,JR/TR,Ryan,"Denton, Texas"
"Gamble, Logan",81,WR,6050,205,RS FR,St. Anthony,"Long Beach, Calif."
"Garbers, Chase",0,QB,6020,210,FR,Corona del Mar,"Newport Beach, Calif."
"Garner, David",42,S,5090,190,RS SR,University HS,"Fort Lauderdale, FL"
"Gibson, Ryan",74,OL,6020,285,RS SO,St. Stanislaus,"Bay St. Louis, MS"
"Gilliam, Max",18,QB,6020,205,RS FR,Thousand Oaks,"Thousand Oaks, Calif."
"Gluhaich, Grant",45,LS,5110,200,RS SO,Bellarmine Prep,"Morgan Hill, Calif."
"Goode, Cameron",19,OLB,6030,225,RS FR,Klein Collins,"Spring, Texas"
"Grace, De'Zhon",34,S,5090,180,RS SR,Bishop O'Dowd,"Oakland, CA"
"Greathouse, A.J.",15,S,6000,200,RS JR,Chandler,"Chandler, AZ"
"Hale, Fabiano",34,RB,6000,225,RS SR,Soquel HS,"Santa Cruz, HS"
"Harmon, Kyle",0,LB,6010,240,FR,Freedom,"Oakley, Calif."
"Hawkins, Jaylinn",6,S,6020,200,RS SO,Buena Park,"Buena Park, CA"
"Hawkins, Jeremiah",0,WR,5080,170,FR,Buena Park,"Buena Park, Calif."
"Hicks, Elijah",3,CB,5110,180,FR,La Mirada,"Long Beach, Calif."
"Hinnant, J.D.",77,OL,6040,300,RS SR,Fountain Valley HS,"Fountain Valley, CA"
"Howard, Trevor",94,DL,6030,250,RS SO,Oaks Christian,"Thousand Oaks, CA"
"Hudson, Raymond",11,TE,6030,245,RS SR,Foothill,"Pleasanton, CA"
"Johnson, Taariq",88,WR,6020,220,FR,Buena Park,"Buena Park, Calif."
"Johnson, Zeandae",44,DE,6040,280,RS SO,Central,"Fresno, CA"
"Juarez, Daniel",60,OL,6050,290,FR,Centennial,"Corona, Calif."
"Klumph, Dylan",42,P,6020,235,RS JR/TR,Crespi,"Malibu, CA"
"Kobayashi, Drew",82,WR,6020,205,RS FR,St. Louis School,"Honolulu, Hawaii"
"Kunaszyk, Jordan",59,ILB,6030,235,RS JR/TR,Roseville HS,"Roseville, Calif."
"Laird, Patrick",28,RB,6000,200,RS JR,Mission Prep,"San Luis, Obispo, CA"
"Laris, Matthew",89,TE,6030,235,RS FR,Eastside Catholic,"Bellevue, Wash."
"Looney, James",9,DE,6030,280,RS SR,Wake Forest/Lake Worth,"Lake Worth, FL"
"McCrary, Billy",30,RB,5110,210,JR,Rouse,"Austin, TX"
"McMorris, Malik",99,TE/FB,5110,300,JR,Mater Dei HS,"Santa Ana, Calif."
"Mekari, Patrick",79,OL,6040,300,JR,Westlake,"Westlake Village, CA"
"Mekari, Tony",97,NG,6010,295,RS SR,Westlake,"Thousand Oaks, CA"
"Moore, Collin",16,QB,6040,225,FR,San Marin,"Novato, Calif."
"Moos, Ben",0,TE,6040,235,FR,Pullman,"Pullman, Wash."
"Netherda, Alex",38,RB/WR,6000,205,RS SO,Maria Carillo HS,"Santa Rosa, Calif."
"Noa, Kanawai",9,WR,6000,180,RS SO,Punahou,"Honolulu, HI"
"Norbeck, Justin",40,TE/FB,6000,235,RS JR/TR,Mater Dei HS,"Irvine, Calif."
"Nwokocha, Chibuzo",16,CB,6010,185,RS JR,Consumnes Oaks,"Elk Grove, CA"
"Ooms, Addison",57,OL,6040,310,RS JR,Mater Dei,"Laguna Niguel, CA"
"Ortega, David",40,LB,5090,210,RS JR,De La Salle,"Moraga, CA"
"Palmer, Chris",98,NG,6020,320,RS JR,Naval Academy Prep/Collins Hill,"Lawrenceville, GA"
"Paul, Tevin",96,DE,6040,270,RS FR,Lake Travis,"Austin, Texas"
"Peterson, Chas",30,WR,5110,185,RS SR/TR,Issaquah HS,"Issaquah, Wash."
"Poutasi, Poutasi",0,OL,6040,305,FR,Desert Pines,"Las Vegas, Nev."
"Prenevost, Tanner",65,OL,6000,265,RS FR,Santa Margarita Valley HS,"Rancho Santa Margarita, Calif."
"Psalms, Malik",23,S,6010,185,RS SO,Ayala,"Chino Hills, CA"
"Rambo, Evan",21,S,6040,210,RS SO,La Salle,"Los Angeles, CA"
"Reinwald, Gavin",0,TE,6030,215,FR,Elk Grove,"Elk Grove, Calif."
"Robertson, Demetris",8,WR,6000,185,SO,Savannah Christian HS,"Savannah, Ga."
"Rockett, Matt",24,WR,5090,195,RS JR,Mater Dei,"Santa Ana, CA"
"Rodriguez, Christian",0,PK,5090,165,FR,Deer Valley,"Antioch, Calif."
"Rubenzer, Luke",17,S,5110,200,SR,Saguaro,"Scottsdale, AZ"
"Saffell, Michael",0,OL,6020,295,FR,Edison,"Huntington Beach, Calif."
"Saffle, Cameron",51,OLB,6030,250,JR,Skyline,"Sammamish, WA"
"Scott, Daniel",0,DB,6020,200,FR,St. Francis,"Pasadena, Calif."
"Siemieniec, Gabe",41,PK,6010,220,RS FR,Robert F. Hall Catholic Secondary School,"Caledon, Ontario"
"Singleton, Brandon",19,WR,6000,170,RS SO,Hahnville,"Boutte, LA"
"Smith, Braden",0,DB,5100,170,FR,Paraclete,"Lancaster, Calif."
"Stovall, Melquise",1,WR,5090,185,SO,Paraclete HS,"Lancaster, Calif."
"Tartabull, Quentin",28,SS,5110,205,RS JR,Bishop Alemany,"Mission Hills, CA"
"Tongilava, Aisea",55,ILB,6010,220,RS JR,Orange Lutheran,"Garden Grove, CA"
"Turner, Trey",5,S,6010,190,JR,Murphy,"Mobile, AL"
