Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adkins II, Michael",19,RB,5100,205,SR,Helix,"San Diego, Calif"
"Bale, JT",63,SN,6020,205,RS SO,La Mirada,"La Mirada, Calif."
"Bandi, Mo",69,DE,6050,270,SO,Niwot,"Longmont, Colo."
"Bell, Maurice",0,WR,6000,170,FR,Murrieta Valley,"Murietta, Calif."
"Bennion, Sam",57,OB,6050,230,RS FR,Logan,"North Logan, Utah"
"Bergner, Andrew",41,CB,5110,170,SR/TR,Legend,"Parker, Colo."
"Bisharat, Beau",35,RB,6020,215,SO,Jesuit,"Carmichael, Calif."
"Blackmon, Ronnie",2,DB,5100,180,RS FR,Westlake,"Atlanta, Ga."
"Bobo, Bryce",4,WR,6020,190,SR,Charter Oak,"Covina, Calif."
"Bounds, Chris",43,TE-Y,6040,245,RS SO,Chaminade College Prep,"West Hills,CA"
"Callier, Jacob",0,OLB,6020,245,FR,St. John Bosco,"Downey, Calif."
"Cochrane, Xavier",87,WR,5090,170,JR,Mountain Pointe,"Phoenix, Ariz."
"Coleman, Derek",80,TE,6050,215,RS FR,Legacy,"Broomfield, Colo."
"Coleman, Timothy",59,DE,6030,250,SR,Mullen,"Denver, Colo."
"Cooper, Lucas",37,DB,5100,180,RS SO,Palos Verdes,"Palos Verdes, Calif."
"Dement, Kevin",89,WR,5110,180,JR,Arapahoe,"Centennial, Colo."
"Edwards, Javier",3,NT,6030,350,JR/TR,Aldine Davis,"Houston, Texas"
"Eggers, Justin",62,OL,6050,310,RS SO/TR,Marshall,"Marshall, Wis."
"Ento, Kabion",17,WR,6030,180,SR/TR,Dollarway,"Pine Bluff, Ark."
"Evans, Kyle",21,RB,5060,175,RS JR,Archbishop Mitty,"San Jose, Calif"
"Falo, N.J.",42,OLB,6020,220,JR,Inderkum,"Sacramento,CA"
"Fields, Shay",1,WR,5110,180,SR,St. John Bosco,"Bellflower, Calif."
"Fisher, Nick",7,CB,6000,180,JR,Great Oak,"Temecula,CA"
"Fontenot, Alex",0,RB,6000,190,FR,George Ranch,"Richmond, Texas"
"Franke, Jase",56,DL,6030,260,RS JR,St. Bonaventure,"Camarillo, Calif"
"Frazier, George",5,TE,6020,260,SR,Monrovia,"Monrovia, Calif."
"Gamboa, Rick",32,LB,6000,230,RS JR,Chaminade College Prep,"Sylmar, Calif"
"George, Kevin",0,CB,6030,175,SO/TR,Carenco,"Lafayette, La."
"Graham, Chris",15,PK,6030,235,SR,Burlingame,"Burlingame, Calif."
"Grzesiek, Tanner",45,TB,5100,200,SR/TR,Classical Academy,"Colorado Springs, Colo.a"
"Haigler, Aaron",64,OT,6070,270,RS SO,Notre Dame,"Sherman Oaks,CA"
"Hamilton, Shamar",13,OLB,6030,245,JR/TR,Santaluces,"Lantana, Fla."
"Hasselbach, Terran",96,DE,6010,240,RS JR,Regis,"Parker, Colo."
"Headley, Trent",43,OLB,6020,225,SR/TR,Columbine,"Littleton, Colo."
"Hubbard, Darrell",21,DB,6020,190,JR/TR,Aldine Davis,"New Orleans, La."
"Huckins, Jonathan",79,OC,6040,285,SR,The Woodlands,"The Woodlands, Texas"
"Hudson, Uryan",29,DB,5090,150,RS FR,Manvel,"Manvel, Texas"
"Huntley, Johnny",6,WR,6030,210,SO,South Plantation,"Fort Lauderdale, Fla."
"Irwin, Jeromy",76,OT,6050,295,RS SR,Fairbanks,"Cypress, Texas"
"Jackson, Jaylon",10,WR,5100,170,FR,Cedar Hill,"Cedar Hill, Texas"
"Jackson III, Leo",52,DE,6030,275,SR/TR,North Atlanta,"Decatur, Ga."
"Jones, Akil",36,OLB,6000,220,RS FR,Valley Christian,"San Jose, Calif."
"Julmisse, Tony",8,WR,6010,185,SO,South Plantation,"Fort Lauderdale, Fla."
"Kaiser, Josh",75,OL,6050,295,RS JR,Mission Viejo,"Mission Viejo, Calif."
"Keeney, Dylan",86,TE,6060,220,JR,Granite Bay,"Granite Bay, Calif."
"Kinney, Alex",89,K,6010,205,JR,Rocky Mountain,"Fort Collins,CO"
"Kough, Gerrad",68,OG,6040,295,SR,Pomona,"Pomona, Calif."
"Laguda, Afolabi",1,S,6010,205,RS SR/TR,Brookwood,"Snellville,GA"
"Landman, Nate",0,LB,6030,210,FR,Monte Vista,"Danville, Calif."
"Lee, Donovan",29,TB,5090,180,SR,Chaminade College Prep,"West Hills, Calif."
"Lewis, Drew",20,ILB,6020,225,JR/TR,Eastlake,"Sammamish, Wash."
"Lewis, Isaiah",23,DB,6000,195,FR,Granite Bay,"Granite Bay, Calif."
"Lindsay, Phillip",23,RB,5080,190,SR,Denver South,"Aurora, Colo."
"Lopez, Eddy",91,DT,6030,310,RS JR,Coronado,"El Paso, Texas"
"Lynott, Tim",56,OG,6030,300,RS SO,Regis Jesuit,"Aurora,CO"
"Lytle, Chance",74,OT,6070,290,FR,Churchill,"San Antonio, Texas"
"Lytle, Tyler",7,QB,6050,205,FR,Servite,"Redondo Beach, Calif."
"MacIntyre, Jay",14,WR,5100,190,RS JR,Louisville Monarch,"Boulder, Colo."
"Maka, Pookie",34,OLB,6030,205,RS FR,Woods Cross,"Woods Cross, Utah"
"Marksberry, Casey",17,QB,6030,180,RS FR,Waunakee,"Gwinnett, Ga."
"Mathewes, Michael",93,DE,6040,260,RS JR,Mission Viejo,"Mission Viejo, Calif."
"McCartney, Derek",95,OLB,6030,250,SR,Faith Christian,"Westminster, Colo."
"McGarry, Tyler",16,QB,6000,205,RS FR,Notre Dame,"Studio City, Calif."
"Meek, Bryan",51,LB,6000,210,SR/TR,Niwot,"Niwot, Colo."
"Middlemiss, Dillon",60,OG,6050,295,RS SO,Pomona,"Arvada,CO"
"Miller, Chris",0,CB,5110,175,FR,Denton,"Denton, Texas"
"Miller, Isaac",73,OL,6070,280,RS SO,Silver Creek,"Longmont, Colo."
"Moeller, Ryan",25,DB,6010,215,SR,Rifle,"Rifle, Colo."
"Montez, Steven",12,QB,6050,225,RS SO,Del Valle,"Del Valle,TX"
"Moretti, Jake",70,OL,6040,285,FR,Pomona,"Arvada, Colo."
"Mulumba, Chris",99,DE,6040,280,JR/TR,MÃ¤kelÃ¤nrinteen Lukio,"Helsinki, Finland"
"Newman, Chase",0,LB,6020,210,FR,La Mirada,"La Mirada, Calif."
"Nixon, K.D.",0,WR,5080,180,FR,DeSoto,"DeSoto, Texas"
"Noyer, Sam",15,QB,6040,215,RS FR,Beaverton,"Beaverton, Ore."
"Oliver, Isaiah",26,WR,6010,190,JR,Brophy Prep,"Phoenix,AZ"
"Olver, Sebastian",0,ATH,6050,250,FR,Marin Catholic,"Kentfield, Calif."
"Paige, Heston",0,OT,6050,270,FR,ThunderRidge,"Highlands Ranch, Colo."
"Patterson, T.J.",9,QB,6030,185,SR,Boulder,"Boulder, Colo."
"Polley, Grant",0,OL,6040,265,FR,Denton,"Denton, Texas"
"Poplawski, Jared",0,TE,6040,220,FR,Saguaro,"Scottsdale, Ariz."
"Porter, Nick",95,P/PK,6000,185,SO,Fairview,"Louisville, Colo."
"Price, Davis",49,PK,6020,190,SO,Evergreen,"Evergreen, Colo."
"Pursell, Colby",65,OL,6040,290,FR,Hart,"Valencia, Calif."
"Rakestraw, Sequoyah",3,WR,6020,175,RS FR,Sequoyah,"Canton, Ga."
"Roberts, Terriek",90,DE/DT,6060,255,RS FR,Denver South,"Denver, Colo."
"Roddick, Casey",0,OL,6050,340,FR,St. Bonaventure,"Ventura, Calif."
"Ross, Devin",2,WR,5110,180,RS SR,Bishop Alemany,"Altadena, Calif."
"Sami, Jalen",0,DT,6060,320,FR,Vista Ridge,"Colorado Springs, Colo."
"Sanchez, Jaisen",39,DB,6010,200,JR,St. Louis,Kapolei. Hawaii
"Sanders, Chase",33,S,6000,185,RS FR,Jupiter,"Jupiter, Fla."
"Shenault Jr., Laviska",0,WR,6010,205,FR,DeSoto,"DeSoto, Texas"
"Sherman, William",0,OL,6030,295,FR,Allen,"Allen, Texas"
"Silzer, Cameron",28,P,5110,180,SR/TR,Templeton,"Templeton, Calif."
"Smith, Kolter",61,OL,6020,280,RS FR,Deer Creek,"Edmond, Okla."
"Sparaco, Dante",10,DE,6050,250,FR,IMG Academy,"Englewood, Colo."
"Stefanou, James",0,PK,6020,190,FR,Rose Hill,"Melbourne, Australia"
"Stoltenberg, Jacob",45,LB,6000,230,RS FR,Clements,"Sugar Land, Texas"
"Talley, Daniel",28,DB,6020,210,JR,Regis,"Aurora, Colo."
"Tonz, Brett",55,DE,6030,285,RS SO,Centennial,"Peoria,AZ"
"Trego, Kyle",22,DB,6000,190,JR/TR,Liberty,"Discovery Bay, Calif."
"Tuiloma, Lyle",72,DT,6030,305,RS SO,Nanakuli,"Nanakuli,HI"
"Udoffia, Trey",5,DB,6000,185,RS FR,Del Oro,"Loomis, Calif."
"Umu, Frank",50,DT,6040,280,SO,Heritage,"Littleton,CO"
"Van Diest, Jonathan",0,LB,6010,235,FR,Cherry Creek,"Louisville, Colo."
"Vaughn, Hunter",77,OT,6070,290,RS FR,Legend,"Parker, Colo."
"Walker, Lee",18,WR,6000,180,RS JR,James Madison,"San Diego, Calif."
"Wells, Carson",0,OLB,6040,230,FR,South Sumter,"Bushnell, Fla."
"Wigley, Dante",4,DB,6010,190,SO/TR,Carrollton,"Carrollton, Ga."
"Winfree, Juwann",9,WR,6020,205,RS JR/TR,Dwight Morrow,"Englewood, N.J."
"Worthington, Evan",6,DB,6020,200,JR,Cherokee Trail,"Aurora, Colo."
