Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abedo, Paulson",0,CB,6010,184,FR,Mansfield,"Mansfield, Texas"
"Alexander, Terrence",11,CB,5100,182,SR,John Curtis Christian,"New Orleans, LA"
"Alfieri, Joey",32,LB,6030,238,SR,Jesuit,"Portland, OR"
"Annan, Wesley",96,DE,6040,275,JR,Lake Forest,"Lake Forest, IL"
"Antoine, Malik",3,CB,5110,192,SO,University Lab,"Baton Rouge, La."
"Arcega-Whiteside, J.J.",19,WR,6030,224,JR,Junipero Serra,"San Mateo, CA"
"Bailey, Jake",14,K,6020,192,JR,Santa Fe christian,"Solana, CA"
"Barton, Sean",27,ILB,6030,228,JR,Woods Cross,"North Salt Lake, Utah"
"Beall, Charlie",27,P,6020,212,JR,St. Margaret's Episcopal,"Newort Coast, Calif."
"Beecher, Ryan",43,ILB,6010,232,JR,San Joaquin Memorial,"Fresno, Calif."
"Boles, Dylan",0,DE,6040,255,FR,Van Meter,"Adel, Iowa"
"Branch, Mustafa",31,ILB,5110,217,JR,Bellevue,"Bellevue, WA"
"Brandt-Sims, Isaiah",21,WR,5110,176,SR,Wenatchee,"Wenatchee, WA"
"Bright, David",64,OT/OG,6050,299,RS SR,Mater Dei,"Yorba Linda, Calif."
"Buncom IV, Frank",5,CB,6020,196,JR,Saint Augustine,"San Diego, CA"
"Burik, Lewis",49,ILB,5100,207,JR,Saint Ignatius,"Chicago, Ill."
"Burkett, Jesse",73,OL,6040,307,SR,Bartram Trail,"Saint Augustine, FL"
"Burns, Ryan",17,QB,6050,232,RS SR,Stone Bridge,"Leesburg, Va."
"Butler, Treyjohn",6,SS,5110,191,SO,Etiwanda,"Rancho Cucamonga, Calif."
"Chaffin, Brian",65,C,6020,290,JR,Charlotte Christian,"Harrisburg, N.C."
"Chryst, Keller",10,QB,6050,234,SR,Palo Alto,"Palo Alto, CA"
"Costello, K.J.",3,QB,6050,216,SO,Santa Margarita Catholic,"Rancho Santa Margarita, Calif."
"Cotton, Eric",80,TE,6060,273,RS SR,Columbia,"Nampa, Idaho"
"Dalman, Drew",0,OC,6030,271,FR,Palma,"Pacific Grove, Calif."
"Damuni, Levani",0,ILB,6020,235,FR,Ridgeline,"Providence, Utah"
"Dreyer, Jack",76,OT,6080,310,JR,Junipero,"San Mateo, CA"
"Eboh, Obi",22,CB,6020,196,SO,Southlake Carroll,"Southlake, Texas"
"Edwards, Ben",9,FS,6000,195,JR,Trinity Christian Academy,"Jacksonville, FL"
"Fanaika, Brandon",71,OL,6030,318,SR,Pleasant Grove,"Pleasant Grove, UT"
"Fisk, Tucker",0,TE,6040,265,FR,Davis Senior,"Davis, Calif."
"Fox, Jordan",10,OLB,6030,225,SO,St. Peter's,"Plainfield, N.J."
"Franklin, Denzel",28,FS,6000,202,SR,Pace,"Smyrna, GA"
"Hall, A.T.",75,OT,6050,287,SR,Brophy,"Glendale, AZ"
"Hamilton, Devery",74,OT,6070,298,SO,Gilman,"Baltimore, Md."
"Harrington, Scooter",80,TE,6050,245,SO,Greenwich,"Greenwich, Conn."
"Hattis, Henry",78,OT,6060,282,SO,Cleveland,"Rio Rancho, N.M."
"Head, Stuart",0,S,6040,200,FR,Etowah,"Woodstock, Ga."
"Herbig, Nate",53,OG,6040,346,SO,St. Louis,"Honolulu, Hawaii"
"Holder, Alijah",13,DB,6020,182,SR,Oceanside,"Oceanside, CA"
"Irwin, Trent",2,WR,6020,203,JR,William S. Hart,"Newhall, CA"
"Jackson, Dylan",97,DE,6060,267,JR,Maryville,"Maryville, TN"
"Johnson, Ryan",0,DE,6040,245,FR,St. Paul's Episcopal,"Axis, Ala."
"Kalambayi, Peter",34,OLB,6030,243,RS SR,Butler,"Matthew, N.C."
"Keck, Thunder",0,OLB,6030,205,FR,Hotchkiss,"Northfield, N.H."
"Keller, C.J.",68,LS,6030,212,SR,Brophy,"Scottsdale, AZ"
"Krishnamurthi, Sidhart",46,WR,5110,156,JR,Harker,"Saratoga, Calif."
"Little, Walker",0,OT,6070,310,FR,Episcopal,"Houston, Texas"
"Love, Bryce",20,RB,5100,191,JR,Wake Forest High,"Wake Forest, NC"
"Lund, Sione",0,RB,6010,235,FR,Brighton,"Holladay, Utah"
"Maddox, Dorian",28,RB,5100,205,SO,Gilman,"Baltimore, Md."
"Maihen, Austin",62,OL,6050,292,JR,Santa Margarita,"Dove Canyon, Calif."
"Marx, Daniel",35,FB,6020,252,SR,Mission Viejo,"Trabuco Canyon, CA"
"McCombs, Kyle",0,TE,6050,230,FR,St. John Bosco,"Laguna Beach, Calif."
"McGrath, Joe",0,S,6020,195,FR,Alamo Heights,"San Antonio, Texas"
"McNitzky, Richard",69,LS,6010,212,SO,MacArthur,"San Antonio, Texas"
"Meeks, Quenton",24,CB,6020,204,JR,Del Norte,"San Diego, Calif."
"Mills, David",0,QB,6040,205,FR,Greater Atlanta Christian,"Duluth, Ga."
"Murphy, Alameen",4,CB,5110,198,SR,Friendly,"Fort Washington, MD"
"Okereke, Bobby",20,ILB,6030,235,SR,Foothill,"Santa Ana, CA"
"Palma, Kevin",44,ILB,6020,247,RS SR,Mission Oak,"Pixley, Calif."
"Parkinson, Colby",0,TE,6070,235,FR,Oaks Christian,"Simi Valley, Calif."
"Parson, J.J.",26,CB,5100,184,SO,Hamilton,"Chandler, Ariz."
"Peek, Bo",99,DT,6030,286,SO,Berkeley Prep,"Tampa, Fla."
"Perez, Jordan",15,ILB,6020,220,SR,Carlsbad,"Carlsbad, CA"
"Peus, Brent",18,QB,6030,210,SO,Santa Barbara,"Santa Barbara, Calif."
"Phillips, Harrison",66,DT,6040,285,SR,Millard West,"Omaha, NE"
"Powell, Dylan",55,OG/OC,6030,289,SO,Hannibal,"Hannibal, Mo."
"Pryts, Andrew",25,FS,6010,207,SO,Hickory,"Hermitage, Pa."
"Reid, Justin",22,SS,6010,202,JR,Dutchtown,"Geismar, LA"
"Riccitelli, Collin",37,K,6000,184,SO,Carlsbad,"San Marcos, Calif."
"Richardson, Jack",19,QB,6040,190,SO,Palma,"Salinas, Calif."
"Robinson, Curtis",21,OLB,6030,222,SO,Mater Dei,"Santa Ana, Calif."
"Sarell, Foster",0,OT,6070,315,FR,Graham-Kapowsin,"Graham, Wash."
"Scarlett, Cameron",22,RB,6010,223,JR,Central Catholic,"Portland, OR"
"Schaffer, Thomas",91,DE,6070,266,SO,Lake Forest Academy,"Lake Forest, Ill."
"Schultz, Dalton",9,TE,6060,240,SR,Bingham,"South Jordan, UT"
"Schwartz, Harry",11,WR,6000,182,SO,Brentwood,"Los Angeles, Calif."
"Segina, Paxton",14,WR,6040,204,SO,Vandergrift,"Austin, Texas"
"Simmons, Brandon",2,FS,6000,195,SR,Timberview,"Mansfield, TX"
"Smith, Kaden",82,TE,6050,249,SO,Marcus,"Flower Mound, Texas"
"Snyder, Ben",87,TE,6040,251,JR,Incline,"Crystal Bay, Nev."
"Speights, Trevor",23,RB,5110,210,SO,Memorial,"Mcallen, Texas"
"St. Brown, Osiris",0,WR,6020,185,FR,Mater Dei,"Brea, Calif."
"Stewart, DOnald",8,WR,6040,194,SO,Paramus Catholic,"Paramus, N.J."
"Swann, Jovan",51,DE,6020,269,SO,Center Grove,"Greenwood, Ind."
"Sweeney, Will",0,LS,6020,235,FR,St. Ignatius,"Larkspur, Calif."
"Toner, Jet",26,P,6040,199,SO,Punahou,"Honolulu, Hawaii"
"Toohill, Casey",52,OLB,6040,247,JR,Cathedral Catholic,"San Diego, CA"
"Trinh, Anthony",40,OLB,6020,230,SO,Pace,"Duluth, Ga."
"Tucker, Casey",77,LT,6060,302,SR,Hamilton,"Gilbert, AZ"
"Tyler, Jay",4,WR,5080,166,JR,Isidore Newman,"New Orleans, LA"
"Tyler, Mike",33,OLB,6050,235,RS SR,Brecksville-Broadview Heights,"Brecksville, Ohio"
"Veach, Lane",86,LB,6060,239,SR,Perry,"Chandler, AZ"
"Wade-Perry, Dalyn",0,DT,6040,330,FR,Pope John XXIII,"Englewood, N.J."
"Wedington, Connor",0,RB/WR,6000,190,FR,Sumner,"Lake Tapps, Wash."
"Williams, Michael",57,DT,6020,276,SO,All Saints Episcopal,"Fort Worth, Texas"
"Williams, Reagan",6,FB,6030,232,JR,Jackson,"Jackson, OH"
"Wilson, Nick",54,OG,6030,286,JR,Milton,"Milton, Ga."
"Yarbrough, Clark",70,OT,6060,285,SO,Woodberry Forest,"Woodberry, Forest, Va."
