Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alsadek, Jacob",78,OG,6070,315,RS SR,Torrey Pines,"San Diego, Calif."
"Anderson III, Lee",51,LB,6010,235,SO,Rancho Verde HS,"Moreno Valley, Calif."
"Anduze, Brion",48,TE,6030,235,RS SO,Central Kitsap,"Silverdale,WA"
"Aragon, Matt",26,PT,6050,211,RS SO,Cienega,"Tucson,Az"
"Banda, Jack",92,DE,6030,247,RS SR,Grayson,"Grayson, Ga."
"Belknap, Justin",86,DE,6020,247,RS SO,Coronado HS,"Henderson, Nev."
"Bell, Xavier",0,S,6020,190,FR,Mater Dei,"Santa Ana, Calif."
"Benjamin, Zach",87,WR,6040,211,RS SR/TR,Tampa Catholic,"Tampa, Fla."
"Boettcher, Christian",69,OG,6020,285,RS JR,Desert Mountain HS,"Scottsdale, Ariz."
"Bogardus, Jordan",88,WR,6020,209,RS FR,Norco HS,"Eastvale, Calif."
"Brewer, Devon",23,CB,5100,171,RS SO,Milford Academy,"Fresno,CA"
"Brightwell, Gary",0,RB,5110,188,FR,St. Frances Academy,"Baltimore, Md."
"Brown, Joshua",0,ILB,6010,230,FR,Long Beach Poly,"Long Beach, Calif."
"Brown, Kurtis",0,DT,6030,285,FR,Liberty,"Bakersfield, Calif."
"Brown, Shun",6,WR,5080,175,JR,Calvary Baptist Academy,"Shreveport,LA"
"Bruno, Luca",60,DT,6040,295,RS SR,Oak Park,"Oak Park, Calif."
"Burke, Kyeler",40,S,5110,174,SO,Hamilton HS,"Chandler, Ariz."
"Burns, Lorenzo",2,CB,5100,165,RS FR,Linfield Christian School,"Temecula, Calif."
"Cain, Bryson",54,OT,6040,276,RS FR,Great Oak,"Temecula, Calif."
"Casteel, Brian",0,WR,6010,200,FR,Charter Oak,"Covina, Calif."
"Cloy Jr., Darrell",86,TE-H,6030,259,RS SO,Milford Academy,"La Habra,CA"
"Cobb, Jamardre",4,TE,6000,262,RS JR,Bishop Mora Salesian HS,"Los Angeles, Calif."
"Cochran, Jalen",81,OLB,6030,240,RS FR,Canton,"Canton, Mich."
"Colacion, Jacob",34,OLB,6010,210,RS FR,La Habra,"La Habra, Calif."
"Connolly, Finton",91,DT,6050,280,RS SO,Campo Verde,"Gilbert,AZ"
"Cooper, Devaughn",7,WR,5100,175,RS FR,Narbonne,"Harbor City, Calif."
"Cooper, Tristan",31,S,6010,180,SO,Andress,"El Paso, Texas"
"Creason, Cody",76,OT,6040,294,RS SO,Folsum,"Folsum,CA"
"Cruikshank, Dane",9,CB,6010,204,RS SR/TR,Ayala,"Chino Hills, Calif."
"Dawkins, Brandon",13,QB,6030,210,RS JR,Oaks Christian HS,"Oxnard, Calif."
"de Beer, Gerhard",67,OT,6070,314,RS SR,Afrikaanse HoÃ«r Seunskool,"Pretoria, South Africa"
"Denson, Cam",3,WR,5110,187,SR,Salpointe Catholic,"Tucson,AZ"
"Dixon, Drew",0,WR,6040,195,FR,Sabino,"Tucson, Ariz."
"Eldrige, Nathan",64,OC,6030,290,RS SO,Boulder Creek,"Anthem,AZ"
"Eletise, Michael",75,OG,6030,318,RS FR,Kaiser,"Honolulu, Hawaii"
"Ellison, Tony",9,WR,5110,188,RS JR,Granite Bay HS,"Granite Bay, Calif."
"Fields II, Tony",0,OLB,6020,200,FR,Desert Pines,"Las Vegas, Nev."
"Flannigan-Fowles, Demetrius",12,S,6020,199,JR,Tucson,"Tucson,AZ"
"Friekh, Layth",58,OT,6050,282,SR,Centennial,"Glendale,Ca"
"Gilbert, Bryce",0,TE,6040,230,FR,Higley,"Gilbert, Ariz."
"Glatting, Jake",16,P,6030,206,RS JR,Thunderbird HS,"Phoenix, Ariz."
"Green, Albert",46,S,5100,207,RS SO,Sabino HS,"Tucson, Ariz."
"Green, Zach",34,RB,5100,227,RS SR,Saint Bonaventure(Calif),"Miami, Fla."
"Griffin, Marcus",96,DL,6030,292,RS JR,Bellevue HS,"Bellevue, Wash."
"Harris, Jalen",0,DE,6040,210,FR,Desert Ridge,"Mesa, Ariz."
