Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Akingbulu, Alex",74,OT,6050,280,RS FR,Narbonne,"Harbor City, Calif."
"Alloway, Damian",24,WR,5090,175,RS FR,Summit HS,"Fontana, Calif."
"Alves, Michael",55,OG,6050,315,RS FR,St. Augustine,"San Diego, Calif."
"Andrews, Darren",7,WR,5100,195,RS SR,Bishop Amat,"Phillips Ranch, CA"
"Andrus, Martin",0,DL,6020,300,FR,Los Angeles Senior,"Long Beach, Calif."
"Asiasi, Devin",86,TE,6030,287,SO/TR,De La Salle,"Concord, Calif."
"Baker, Jason",26,DB,6000,185,RS SO,Loyola,"Los Angeles, Calif."
"Barnes, Krys",14,ILB,6020,250,SO,Liberty,"Bakersfield, Calif."
"Bateman, Zach",59,OL,6060,310,RS SR/TR,Estancia,"Santa Ana, Calif."
"Bedi, Jaypal",70,DL,600,280,RS JR/TR,Moorpark,"Moorpark, Calif."
"Bennett, Alvoid",26,WR,5080,165,RS FR,Bishop Diego,"Santa Barbara, Calif."
"Boyer, Makus",51,OL,6010,300,SR/TR,Edison,"Huntington Beach, Calif."
"Brandt, Breland",55,LB,6040,230,RS FR,Windward,"Carson, Calif."
"Burton, Austin",12,QB,6030,203,FR,West Orange,"Newton, Mass."
"Burton, Brandon",3,S,6000,200,SO,Junipero Serra,"Gardena, Calif."
"Burton, Jake",73,OL,6050,280,SO,Granite Hills,"El Cajon, Calif."
"Byrge, Zachary",30,RB,5070,210,RS SO,Verbum Dei HS,"Los Angeles, Calif."
"Chambers, Josh",40,LB,600,210,RS FR,Windward School,"Los Angeles, Calif."
"Cuevas, Xan",27,WR,5110,215,RS JR/TR,Culver City,"Culver City, Calif."
"Dellibovi, Nolan",53,OL,6030,275,RS FR,Westlake,"Simi Valley, Calif."
"Demski, Clayton",68,OL,6020,275,RS FR,Marin Catholic,"Larkspur, Calif."
"Den Bleyker, Johnny",30,LS,5110,200,SO,Moreau Catholic,"Hayward, Calif."
"Dickerson, Matt",99,DE,6040,295,SR,Serra,"San Mateo,Ca"
"Felton, Demetric",10,WR,5100,185,RS FR,Great Oak,"Temecula, Calif."
"Fernea, Ethan",39,WR,5110,185,SO,Dripping Springs,"Dripping Springs, Texas"
"Fisher, Denzel",25,DB,6010,180,RS JR,Centennial,"Los Angeles, Calif."
"Flintoft, Stefan",20,PK,6030,200,RS JR,Loyola,"Westchester,CA"
"Gates, Elijah",0,DB,5110,170,FR,Buena Park,"Pasadena, Calif."
"Gentosi, Giovanni",45,TE,6020,250,RS JR,Corona del Mar,"Newport Beach, Calif."
"Holiday, DeChaun",17,CB,6020,225,RS SO,Mission Hills,"San Marcos,CA"
"Holmes, Darnay",1,DB,5100,195,FR,Calabasas,"Pasadena, Calif."
"Howard, Theo",14,WR,6000,180,SO,Westlake,"Thousand Oaks, Calif."
"Isibor, Igbinoghodua",0,DL,6040,235,FR,St. Mary's,"Phoenix, Ariz."
"Jaggers, Jimmy",89,TE,6040,240,FR,Roseville,"Roseville, Calif."
"Jamabo, Soso",1,RB,6020,215,JR,Plano West,"Plano,TX"
"James, Andre",75,OT,6040,305,RS SO,Herriman,"Herriman,UT"
"Johnson, John",7,S,5090,185,RS SR,Central,"Fresno, Calif"
"Johnson, Mossi",21,WR,6000,195,SR,Crenshaw,"Los Angeles, Calif"
"Johnson, Rahyme",0,LB,6040,210,FR,Bishop Mora Salesian,"Los Angeles, Calif."
"Johnson, Stephen",6,WR,5110,195,RS SO,San Leandro,"San Leandro,CA"
"Juarez, Mique",32,LB,6020,255,RS FR,North Torrance,"Torrance, Calif."
"Kent, Austin",92,P,6010,220,SO,Providence,"Charlotte, N.C."
"Lacy, Kenny",76,OG,6040,305,RS SR,Mountain Pointe,"Phoenix, AZ"
"Lake, Quentin",0,DB,6010,180,FR,Mater Dei,"Santa Ana, Calif."
"Lasley, Jordan",2,REC,6010,205,RS JR,Serra,"Compton, Calif."
"Lee, Dymond",9,QB,6020,190,RS FR,Chaminade,"West Hills, Calif."
"Lockett, Will",23,CB,5110,195,RS SO,Manvel,"Manvel,TX"
"Lucier-South, Keisean",11,DE,6040,240,RS SO,Orange Luthern,"Orange, CA"
"Lynch, Matt",15,QB,6040,218,RS FR,Legacy,"Broomfield, Colo."
"Mapes, Michael",39,DB,5090,180,RS FR,Harvard Westlake,"Los Angeles, Calif."
"Massington, Eldridge",82,WR,6020,212,RS SR,West Mesquite,"Mesquite, TX"
"McClure, Will",31,WR,5080,185,RS JR/TR,Folsom,"Folsom, Calif."
"Meadors, Nate",22,DB,5110,195,JR,San Gorgonio,"San Bernardino, Calif."
