Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aiello, Brady",66,OL,6070,302,RS SO,Acalanes HS,"Lafayette, Calif."
"Alie, Taylor",12,QB,6000,185,RS SR,Sheldon,"Eugene, Ore."
"Amadi, Ugo",14,CB,5100,195,JR,Overton,"Nashville, TN"
"Apelu, Kaulana",39,LB,5110,210,JR,Honolulu,"Aiea, Hawaii"
"Aumavae, Popo",0,OL,6040,315,FR,St. Mary's,"Stockton, Calif."
"Baker, Gary",51,DL,6040,306,RS SO,Upland HS,"Upland, Calif."
"Bathke, Logan",60,OL,6060,292,RS FR,Lutheran HS,"Orange, Calif."
"Bay, Ryan",39,TE,6040,229,RS SO,Tigard HS,"Tigard, Ore."
"Benoit, Kani",29,RB,6010,211,RS SR,Phoenix Thunderbird,"Phoenix, AZ"
"Berggren, Connor",80,WR,6020,188,RS FR,West Linn,"West Linn, Ore."
"Breeland, Jacob",27,TE,6050,237,RS SO,Trabuco Hills HS,"Mission Viejo, Calif."
"Breeze, Brady",25,DB,6010,200,RS FR,Central Catholic HS,"Portland, Ore."
"Brennan, Drake",95,DL,6070,252,RS SO,Grants Pass,"Grants Pass, Ore."
"Brenner, Doug",57,OC/OG,6020,321,RS SR,Jesuit,"Portland, Ore."
"Brooks-James, Tony",20,RB,5090,185,RS JR,Gainesville,"Gainesville, FL"
"Buckner, Kyle",86,WR,6030,186,RS SO,Roosevelt,"Eastvale, Calif."
"Burch, Demetri",0,ATH,5110,181,FR,Apopka,"Apopka, Fla."
"Burmeister, Braxton",17,QB,6010,205,FR,La Jolla Country Day,"La Jolla, Calif."
"Capra, Jacob",71,OL,6050,306,RS FR,Placer HS,"Auburn, Calif."
"Carew, Tanner",58,LS,6020,240,SR,Damien,"Chino Hills,CA"
"Carlberg, Drayton",90,DL,6050,291,RS SO,DeLaSalle HS,"Minneapolis, Minn."
"Cobb, Alfonso",30,WR,N/A,N/A,RS FRR,Federal Hocking,"Chesterhill, Ohio"
"Crosby, Tyrell",73,OG,6050,320,SR,Green Valley,"Henderson, NV"
"Cumberlander, Gus",45,DL,6060,255,RS SO,Cedar Grove HS,"Ellenwood, Ga."
"Daltoso, Valentino",61,OL,6040,315,RS FR,Boise,"Boise, Idaho"
"Davis, Daewood",0,WR,6020,175,FR,Deerfield Beach,"Hollywood, Fla."
"Dye, Troy",35,LB,6040,225,SO,Norco HS,"Norco, Calif."
"Emerson, Zach",40,PK,6020,216,RS FR,Mountain View,"Bend, Ore."
"Eugenio, Casey",82,WR,5080,170,RS JR,JSerra Catholic,"San Clemente, CA"
"Faoliu, Austin",0,DL,6030,285,FR,Mater Dei,"Santa Ana, Calif."
"Faulhaber, Ivan",37,LB,6020,220,RS SR,Sheldon,"Eugene, Ore."
"Felix, Darrian",0,RB,5110,194,FR,Fort Myers,"Fort Myers, Fla."
"Forsyth, Alex",0,OL,6050,310,FR,West Linn,"West Linn, Ore."
"Freeman, Royce",21,RB,5110,231,SR,Imperial,"Imperial, CA"
"George, Elijah",74,OL,6050,288,RS SR,Arbor View,"Las Vegas, Nev."
"Gibson, Billy",28,S,6010,174,FR,Miami Southridge,"Hialeah, Fla."
"Graham Jr., Thomas",11,CB,5110,188,FR,Rancho Cucamonga,"Rancho Cucamonga, Calif."
"Greene, Riley",59,DL,6030,294,RS FR,Gladstone,"Gladstone, Ore."
"Griffin, Taj",24,RB,5100,175,JR,McEachern,"Powder Springs, GA"
"Griffin, Ty",10,QB,6000,200,RS SR,Georgia Tech,"Powder Springs, GA"
