Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Angeline, Cary",86,TE,6060,230,RS FR,Downingtown East,"Exton, Pa."
"Applebee, Austin",89,TE,6060,240,RS JR/TR,McKendree,"Seneca, Ill."
"Austin, Jordan",56,OG/OT,6050,300,RS JR,Claremont,"Claremont, CA"
"Bayle, Matt",49,OLB,6020,215,RS SO,St. Francis,"San Marino, Calif."
"Bermingham, James",47,P,6040,185,RS JR,Dana Hills,"Laguna Beach, Ca."
"Betiku, Oluwole",99,OLB,6030,250,SO,Serra HS,"Lagos, Nigeria"
"Bigelow, Kenny",95,DT,6030,295,RS SR,Eastern Christian Academy,"Elkton, MD"
"Bolden, Bubba",0,DB,6030,190,FR,Bishop Gorman,"Las Vegas, Nev."
"Boyer, Jackson",85,WR,6030,185,RS SR/TR,East Chapel Hill,"Chapel Hill, NC"
"Brown, Chris",77,OG/OT,6050,300,RS JR,Loyola,"Los Angeles, Calif"
"Brown, Michael",49,PK,6020,195,RS FR,Linfield Christian,"Temecula, Calif."
"Budrovich, Reid",38,P,5110,185,RS JR,St. John Bosco,Torrance
"Burnett, Deontay",80,WR,6000,170,JR,Juniperro Serra,"Gardena,CA"
"Carr, Stephen",0,RB,6000,210,FR,Summit,"Gardena, Calif."
"Carrasco, Kevin",29,DB,6000,180,RS SR,Notre Dame HS,Santa Clarita
"Cook, Jamel",21,S,6030,185,RS FR,Miami Central,"Miami, Fla."
"Daniel, Jacob",92,DT,6040,310,JR,Clovis North,"Fresno,CA"
"Darnold, Sam",14,QB,6040,225,RS SO,San Clemente,"San Clemente,CA"
"Davis, Dominic",16,S,5100,180,JR,Bishop Alemany,"Mission Hills,CA"
"Dorton, Malik",44,DT,6020,280,RS JR,St.John Bosco,Los Angeles
"Echols, Hunter",0,LB,6050,240,FR,Cathedral,"Los Angeles, Calif."
"Edmondson, Chris",38,TB,5110,210,RS FR,Clemens HS,"Cibolo, Texas"
"Edoga, Chuma",70,OT,6040,290,JR,McEachern,"Powder Springs,GA"
"Falah, Nico",74,OC,6040,280,RS SR,John Bosco,"Hermosa Beach, CA"
"Falaniko, Juliano",0,LB,6040,220,FR,Leone,"Pago Pago, American Samoa"
"Falo, Josh",0,TE,6060,235,FR,Inderkum,"Sacramento, Calif."
"Fatu, Josh",98,DT,6030,290,SR/TR,Lakewood,"Lakewood, Calif."
"Fink, Matt",19,QB,6030,195,RS FR,Glendora,"Rancho Cucamonga, Calif."
"Fitts, Thomas",15,QB,6020,195,RS SO,Episcopal School of Dallas,"Dallas, Texas"
"Godfrey, Je'Quari",0,DB,6020,185,FR,Bishop O'Dowd,"Oakland, Calif."
"Green, Rasheem",94,DT,6050,280,JR,Junipero Serra,"Gardena,CA"
"Greene, Jalen",10,WR,6010,200,RS JR,Serra,"Gardena, CA"
"Grimes, Randal",0,WR,6040,205,FR,Desert Pines,"Las Vegas, Nev."
"Gustin, Porter",45,OLB,6050,260,JR,Salem Hills,"Salem,UT"
"Hagestad, Richard",31,S,6010,205,RS FR,Bishop's School,"Del Mar, Ca."
"Harris, Ajene",27,CB,5110,190,RS JR,Crenshaw,"Los Angeles, Calif"
"Hawkins, Chris",4,S,5110,185,RS SR,Rancho Cucamonga,"Rancho Cucamonga ,CA"
"Hemsley, Roy",63,OG/OT,6050,310,RS SO,Windward,"Los Angeles,CA"
"Herrera, Christian",52,ILB,6010,210,RS SR/TR,Serra HS,"Manhattan Beach, Calif."
"Houston Jr., John",10,ILB,6030,220,RS SO,Junipero Serra,"Gardena,CA"
"Hursh, Alec",87,TE,6030,210,RS JR,Pembroke Hill,"Kansas City, Kan."
"Imatorbhebhe, Daniel",88,TE,6040,24O,RS SO/TR,North Gwinnett,"Suwanee, Ga."
"Imatorbhebhe, Josh",17,WR,6020,210,RS FR,North Gwinnett,"Suzanne, Ga."
"Iosefa, Jordan",56,ILB,6020,215,SO,Punahou,"Honolulu, Hawaii"
"Jackson, Austin",0,OL,6060,290,FR,North Canyon,"Phoenix, Ariz."
"Jimmons, Liam",93,DT,6050,280,RS FR,Huntington Beach,"Huntington Beach, Calif."
"Johnson, Damon",48,LS,6000,205,FR/TR,Glendora,"Glendora, Calif."
"Johnson, Greg",0,ATH,5110,195,FR,Hawkins,"Los Angeles, Calif."
"Johnston, Clayton",76,OT,6060,285,RS SO,Servite,"Anaheim,CA"
"Jones, Jack",1,CB,5110,170,SO,Long Beach Poly,"Long Beach, Calif."
"Jones, Jalen",18,CB,5080,165,RS JR,Serra,Los Angeles
"Jones, Levi",0,LB,6030,220,FR,Westlake,"Austin, Texas"
"Jones II, Ronald",25,RB,6010,195,JR,McKinney North,"McKinney,TX"
"Jones Jr., Velus",23,WR,6000,185,RS FR,Saraland,"Saraland, Ala."
"Katoa, Tyler",54,ILB,6020,220,FR,Layton,"Layton, Utah"
"Krommenhoek, Erik",0,TE,6050,245,FR,Monte Vista,"Danville, Calif."
"Langley, Isaiah",24,CB,6000,170,JR,Foothill,"Pleasanton,CA"
"Lewis IV, Joseph",0,WR,6020,205,FR,Hawkins,"Los Angeles, Calif."
"Lichtenstein, Jacob",0,DL,6050,255,FR,Cypress Bay,"Weston, Fla."
"Lobendahn, Toa",50,OC/OG,6030,295,RS JR,La Habra,"La Habra, CA"
"Lockett, Jonathan",23,CB,5110,180,SR,Mater Dei,"Belleflower, Calif"
"Lopes, Matt",37,FS,5110,195,RS SR,Palos Verdes,Palos Verdes Estates
"Malepeai, Vavae",29,RB,6000,190,RS FR,Mililani HS,"Mililani, Hawaii"
"Marshall, Iman",8,CB,6010,200,JR,Long Beach Polytechnic,"Long Beach,CA"
