Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Afia, Philip",2,S,6010,195,RS SO,Ayala,"Chino Hills,CA"
"Agasiva, Jordan",0,OL,6040,345,JR/TR,Mililani,"Kalihi, Hawaii"
"Aloma, John",0,LS,6000,206,SO,Simi Valley,"Simi Valley, Calif."
"Amaama, Aaron",62,OL,6010,349,JR,Bingham,"Kearns, Utah"
"Anae, Bradlee",56,DE,6030,259,SO,Kahuku HS,"Laie, Hawaii"
"Antzana, Cristian",38,K,5090,195,JR/TR,St. Mary's,"Lafayette, Calif."
"Baker, Dakota",84,WR,6020,180,RS SO,Idaho Falls HS,"Idaho Falls, Idaho"
"Ballard, Corrion",15,DB,6030,205,JR/TR,Summer Creek,"Humble, Texas"
"Barton, Cody",30,OLB,6020,225,JR,Brighton,"Salt Lake City,UT"
"Barton, Jackson",70,OT,6070,312,RS JR,Brighton,"Salt Lake City, Utah"
"Bateman, Cooper",18,QB,6030,217,SR/TR,Cottonwood,"Murray, Utah"
"Bell, Tyler",46,TE,6040,240,SR,Fountain Valley HS,"Fountain Valley, Calif."
"Blackmon, Julian",23,DB,6010,187,SO,Layton,"Layton, Utah"
"Blair, Marquise",0,DB,6020,185,JR/TR,Wooster,"Wooster, Ohio"
"Boyd, Bronson",0,WR,6010,178,FR,The Oakridge School,"Arlington, Texas"
"Burgess, Terrell",26,CB,6000,188,SO,San Marcos HS,"San Marcos, Calif."
"Call, Tanner",39,DB,5110,165,FR,Cottonwood,"Murray, Utah"
"Capra, Johnny",73,OT,6060,296,RS SO,Placer,"Auburn,CA"
"Dana, Alec",8,WR,6020,195,JR/TR,Norco HS,"Rancho Cucamonga, Calif."
"Dixon, Jaylen",0,WR,5090,165,FR,Lone Star,"Frisco, Texas"
"Dixon, Keven",60,OT,6050,277,RS SO,Buena Park,"Buena Park,CA"
"Drews, Christian",37,LB,6010,222,SR,Ramona,"Ramona, Calif"
"Fakailoatonga, Siale",87,TE,6040,257,SR,Cottonwood HS,Salt Lake City
"Falemaka, Bapa",13,TE,6030,244,RS FR,Judge Memorial HS,"Grantsville, Utah"
"Falemaka, Lo",69,OG,6050,283,RS SR,Cottonwood HS,"West Valley City, Utah"
"Field, Jameson",83,WR,5110,180,SR,Mater Dei,"Long Beach, Calif"
"Fitts, Kylie",11,DE,6040,254,RS SR/TR,Redlands East Valley,"San Bernardino, CA"
"Ford, Nick",0,DT,6050,282,FR,San Pedro,"San Pedro, Calif."
"Fotu, Leki",99,DE,6050,318,SO,Herriman HS,"West Valley City, Utah"
"Fulks, Kyle",6,WR,5090,175,SR/TR,Katy,"Katy,TX"
"Grant, Jake",78,OL,6030,290,RS FR,Horizon HS,"Scottsdale, Ariz."
"Green, T.J.",0,RB,5110,185,FR,Chandler,"Chandler, Ariz."
"Guidry, Javelin",0,DB,5090,188,FR,Vista Murrieta,"Murrieta, Calif."
"Haller, Connor",36,LB,6020,217,FR,Olympus,"Salt Lake City, Utah"
"Hamilton, Davir",9,DE,6020,225,RS FR,Long Beach Poly HS,"Compton, Calif."
"Hampton, Tyquez",5,WR,6020,207,FR,El Dorado,"El Paso, Texas"
"Handley, Harrison",88,TE,6050,250,SR,Alta HS,"Sandy, Utah"
"Hansen, Chase",22,DB/QB,6030,220,RS JR,Lone Peak HS,"Highland, Utah"
"Hansen, Shawn",35,DB,5110,195,JR/TR,Cypress High,"Buena Park, Calif."
"Hansen, Zach",48,TE,6010,233,FR,Springville,"Springville, Utah"
"Hart, Chris",8,DE,6020,237,RS SO,Saint Thomas Aquinas,"Fort Lauderdale,FL"
"Havili-Katoa, Alani",53,DT,6030,304,RS JR,Stansbury,"Stansbury Park, Utah"
"Hekking, Chad",89,TE,6040,240,RS FR,Vacaville HS,"Vacaville, Calif."
"Heninger, Nick",96,DE,6040,240,RS FR,N/A,"South Jordan, Utah"
"Henry-Cole, Devonta'e",7,RB,5080,192,SO,St. Thomas Aquinas,"Boca Raton, Fla."
"Hicken, Hayes",92,K,5110,188,RS SO,Highland HS,"Salt Lake City, Utah"
"Hobbs, Boobie",1,CB,5100,180,SR,Landry-Walker,"New Orleans, La."
"Horlacher, Trevor",51,LB,6020,222,FR,Snow Canyon,"Ivins, Utah"
"Howard, Jordan",26,RB,5100,210,RS SR/TR,Redlands HS,"Redlands, Calif."
"Hughes, Casey",25,DB,5110,185,RS JR,Legacy HS,"North Las Vegas, Nev."
"Huntley, Tyler",1,QB,6010,184,SO,Hallandale HS,"Dania, Fla."
"Ippolito, Cody",40,MLB,5100,250,RS SR/TR,Chaparral,"Paradise Valley, Ariz."
"Jackson, Jake",44,OLB,6030,230,RS SO,La Costa Canyon,"Carlsbad,CA"
"Johnson, Jaylon",0,DB,6000,181,FR,Central,"Fresno, Calif."
"Johnston, Chayden",0,K,6000,160,FR,Bingham,"South Jordan, Utah"
"King, Nygel",18,CB,6000,178,RS FR,Klein Oak HS,"Tomball, Texas"
"Kruger, Mark",64,OL,6020,284,RS FR,Pleasant Grove,"Orem, Utah"
"Lanterman, Kyle",66,OL,6020,289,RS SO,Woodrow Wilson HS,"Long Beach, Calif."
"Lewis, Tareke",0,DB,5110,168,JR/TR,Palatka,"Palatka, Fla."
"Liljenquist, Karsen",48,LB,6010,233,JR/TR,Highland,"Alpine, Utah"
"Lisk, Drew",14,QB,6010,202,FR,Jordan,"Draper, Utah"
"Lloyd, Devin",0,LB,6030,219,FR,Otay Ranch,"Chula Vista, Calif."
"Lotulelei, Lowell",93,NT,6020,317,SR,Bingham,"South Jordan,UT"
"Luafatasaga, David",5,LB,6040,225,SR/TR,Farrington HS,"Honolulu, Hawaii"
"McCormick, Troy",4,RB,5090,175,RS SR,Mayde Creek HS,"Katy, Texas"
"Mokofisi, Filipo",45,DE,6030,285,RS SR,Woods Cross HS,"Woods Cross, Utah"
"Moss, Zack",2,RB,5100,208,SO,Hallandale HS,"Hialeah Gardens, Fla."
"Nacua, Samson",35,WR,6030,185,RS FR,Timpview HS,"Provo, Utah"
"Paulo, Darrin",77,OT,6050,315,RS SO,Grant,"Sacramento,CA"
"Peck, Scott",76,OL,6060,307,FR,Central Valley,"Spokane Valley, Wash."
"Penisini, John",0,DT,6020,307,SO/TR,West Jordan,"Kearns, Utah"
"Pututau, Hauati",41,DT,6030,287,RS FR,Cottonwood HS,"Salt Lake City, Utah"
"Repp, Caleb",47,WR,6050,216,SO,Los Osos,"Rancho Cucamonga,CA"
"Richardson, Michael",0,OL,6040,235,FR,American Fork,"American Fork, Utah"
"Richmond, Riley",10,WR,5070,163,SO/TR,Murray High,"Salt Lake City, Utah"
"Sanders-Williams, Marcus",58,LB,5110,239,SR,Durango,"Las Vegas, Nevada"
"Scott, Tucker",53,OL,6040,279,RS FR,San Clemente,"San Clemente, Calif."
"Shelley, Jason",0,QB,6000,181,FR,Lone Star,"Little Elm, Texas"
"Shyne, Armand",23,RB,5110,208,JR/TR,N/A,"Oakland, Calif."
"Simpkins, Demari",17,WR,5100,184,SO,Hallandale HS,"Carol City, Fla."
"Singleton, Raelon",11,WR,6030,212,RS JR,Crosby HS,"Crosby, Texas"
"Slavens, Dylan",29,DB,5110,173,FR,Springville,"Springville, Utah"
"Smith, Tyrone",21,WR,6040,205,JR,Edison,"Fresno,CA"
"Strong, Tre",31,DB,6010,195,JR/TR,Skyview,"Denver, Colo."
"Tai, Albert",43,LB,5090,219,FR,Riverton,"Riverton, Utah"
"Tatola, Justin",28,LB,5110,201,SO,Junipero Serra,"South San Francisco, Calif."
"Tauteoli, Sunia",10,LB,6000,227,SR/TR,N/A,"Salt Lake City, Utah"
"Thompson, Bryan",0,WR,6020,181,FR,Rancho Verde,"Moreno Valley, Calif."
"Thompson, Donovan",3,LB,5100,220,SO,Miami Central,"Miami, Fla."
"Toala, Paul",65,OL,6040,318,RS SO/TR,N/A,"Burien, Wash."
"Tonga, Pita",49,DT,6010,275,RS FR,Highland HS,"Taylorsville, Utah"
"Tupai, Maxs",92,DE,6010,249,RS FR,Murray HS,"Taylorsville, Utah"
"Uhatafe, Salesi",74,OT,6040,323,RS SR,Trinity HS,"Euless, Texas"
"Umana, Orlando",50,OL,6040,330,FR,Grant,"Sacramento, Calif."
"Unutoa, Mo",0,OL,6050,280,FR,Kapaa,"Kapaa, Hawaii"
"Vickers, Derrick",0,WR,5110,185,JR/TR,Bakersfield,"Bakersfield, Calif."
"Vimahi, Aliki",0,DL,6040,247,FR,Kahuku,"Kahuku, Hawaii"
"Webber, Adam",24,DB,5100,183,FR,Highland,"Salt Lake City, Utah"
"Whittingham, Alex",34,LB,5100,208,RS SR,Brighton HS,Salt Lake City
"Williams, Troy",3,QB,6020,209,SR/TR,Narbonne,"Carson, Calif."
"Wilson, Siaosi",9,WR,6020,188,RS SO,Tustin,"Tustin,CA"
"Wishnowsky, Mitch",33,P,6020,220,JR/TR,Lumen Christi College,"Gosnells, Western Australia"
"Woodward, Mason",27,RB,5090,208,SO,Syracuse,"West Point, Utah"
"Young, Kenric",24,WR,6010,189,SR,Gainesville,"Gainesville, Florida"
