Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Arconado, Brandon",89,WR,5110,181,RS SO/TR,Bishop Amat,"Chino Hills, Calif."
"Bartley, Lyric",94,DE,6030,262,RS FR,Taylorsville,"Taylorsville, Utah"
"Baumgardner, Jon",62,LB,5110,227,RS FR,Bishop Kelly,"Boise, Idaho"
"Begg, Nick",89,DL,6050,260,RS JR,Santa Margarita,"Santa Margarita, CA"
"Bell, Renard",81,WR,5080,155,RS FR,Cathedral,"Los Angeles, Calif."
"Bender, Danny",49,DE,6030,255,RS FR,Valhalla,"El Cajon, Calif."
"Bigge-Duren, Cedric",79,OL,6060,321,RS SO,Oceanside,"Oceanside, CA"
"Brink, Casey",19,QB,6020,201,RS FR,Bainbridge,"Bainbridge Island, Wash."
"Brock, Tristan",44,LB,6000,255,RS SO,Mount Vernon,"Mount Vernon, Wash."
"Calvin, Jamire",0,WR,5100,160,FR,Cathedral,"Pasadena, Calif."
"Castillo, Anthony",53,LB,5090,213,RS JR,Meridian,"Kent, Wash."
"Celli, Kyle",44,LB/LS,6010,240,RS JR,Bishop Blanchet,"Seattle, WA"
"Comfort, Taylor",56,DL,6000,275,RS JR,Sultan,"Sultan, WA"
"Cox, Mitchell",94,K,6000,193,RS SR/TR,Kentwood,"Kent, WA"
"Crane, Jack",42,K,6020,190,RS FR,Skyline,"Sammamish, Wash."
"Dale, Hunter",26,S,5100,195,JR,John Curtis Christian,"River Ridge, LA"
"DeRider, Nate",54,LB,6010,226,RS SR,Bellevue,"Bellevue, Wash."
"Dillard, Andre",60,OT,6050,310,RS JR,Woodenville,"Woodenville, WA"
"Dimry, CJ",88,WR,6050,213,RS SR/TR,La Costa Canyon,"Carlsbad, CA"
"Dotson, Isaac",31,LB,6010,224,RS SR,Newport,"Bellevue, Wash."
"Dubots, Cole",0,LB,6010,185,FR,Vista Murrieta,"Murrieta, Calif."
"Ekuale, Daniel",90,NT,6030,297,RS SR,Nuuuli Techincal,"Pago Pago, American Samoa"
"Fa'avae, Fa'avae",0,LB,6010,210,FR,Mater Dei,"Santa Ana, Calif."
"Falk, Luke",4,QB,6040,225,RS SR,Logan,"Logan, Utah"
"Fernandez, Kingston",52,DE,6020,262,RS JR,Kapolei,"Kapolei, HI"
"Gaisoa, Nilsson",67,OL,6050,313,RS FR,Kailua,"Kailua, Hawaii"
"Glueck, Erik",61,LB,6010,232,RS FR,Bellarmine,"Gig Harbor, Wash."
"Gordon, Anthony",18,QB,6030,189,RS SO/TR,Terra Nova,"Pacific, Calif."
"Haangana, Christian",70,OL,6040,358,RS FR,Milpitas,"Milpitas, Calif."
"Hansen, Levi",93,LB,6000,223,RS FR,Robert Service,"Anchorage, Alaska"
"Hanser, Dylan",33,RUSH,6040,231,SR,Central Catholic,"Billings, MT"
"Haroon, Francis",69,DL,6010,246,RS FR,Bellevue,"Bellevue, Wash."
"Harper Jr., Sean",21,DB,6020,184,JR/TR,Hartwell County,"Hartwell, Ga."
"Harrington, Keith",24,WR,5080,194,RS JR,Northeast,"Saint Petersburg, FL"
"Harris, Romello",35,RB,5090,173,RS FR,Tulare Union,"Tulare, Calif."
"Harris, Travell",0,WR,5090,180,FR,Jesuit,"Tampa, Fla."
"Hendry, Preston",0,DE,6050,235,JR/TR,Tesoro,"Rancho Santa Margarita, Calif."
"Hicks III, George",0,CB,6000,180,FR,Cajon,"San Bernardino, Calif."
"Hilinski, Tyler",3,QB,6030,217,RS SO,Upland,"Claremont, CA"
"Hobbs, Dallas",0,DE,6060,240,FR,Washington/Deerfield Prep,"Cedar Rapids, Iowa"
"Hoyd III, Greg",42,LB,6010,231,RS JR,Vista Murrieta,"Murrieta, GA"
"Johnson-Mack, Isaiah",9,WR,6030,218,SO,Dwyer,"Belle Glade, Fla."
"Jones, D'Jimon",36,DB,5110,191,RS FR,Federal Way,"Federal Way, Wash."
"King, Keenen",66,OL,6040,324,RS FR,Arbor View,"Las Vegas, Nev."
"Krenz, Riley",38,WR,5100,180,RS FR,Lake Stevens,"Lake Stevens, Wash."
"Kuzmack, Alec",0,OL,6050,295,FR,Eagle,"Eagle, Idaho"
"Lewis, Robert",15,WR,5090,170,RS SR,South East,"South Gate, Calif."
"Love, Isaiah",29,DB,6000,174,FR,West Covina,"West Covina, Calif."
"Lucas, Abraham",0,OL,6070,260,FR,Archbishop Murphy,"Everett, Wash."
"Luvu, Frankie",51,LB,6030,240,SR,Tafuna,American Samoa
"Madison, Cole",61,OT,6050,315,RS SR,Kennedy,"Burien, Wash."
"Martin, Davontavean",0,WR,6040,180,FR,Ellender Memorial,"Houma, La."
"Martin Jr., Tavares",8,WR,6010,183,JR,William T. Dwyer,"Belle Glade, Fla."
"Mata'afa, Hercules",50,DE,6020,255,RS JR,Lahainaluna,"Lahaina, HI"
"Mattox, Hunter",59,DT,6030,286,RS SO,Sierra Canyon,"Chatsworth, CA"
"Mauigoa, Frederick",69,OL,6030,305,SO,Tafuna,"Pago Pago, American Samoa"
"McBroom, Garrett",99,DL,6030,280,RS SR/TR,Stillwater,"Stillwater, Okla."
"Mejia, Christian",0,DE,6040,220,FR,Kailua,"Kailua, Hawaii"
"Molton, Darrien",3,CB,5100,181,JR,Chaparral,"Temecula, Calif."
"Moore, Derek",55,DL,6010,246,SO,Crenshaw,"Los Angeles, Calif."
"Morrow, Jamal",25,RB,5090,200,RS SR,Heritage,"Menifee, Calif."
"Nathaniel, Jonathan",0,OL,6060,260,FR,Basha,"Chandler, Ariz."
"Neville, Connor",0,QB,6020,185,FR,Wilsonville,"Wilsonville, Ore."
"O'Connell, Cody",76,OG,6090,370,RS SR,Wenatchee,"Wenatchee, Wash."
"Oguayo, Nnamdi",30,LB,6030,229,RS SO,High Point,"Beltsville, MD"
"Onyeukwu, Chima",40,LB,6020,225,RS JR/TR,Pittsburg,"San Pablo, Calif."
"Osur-Myers, Noah",55,OL,6040,307,RS SO,Las Lomas,"Walnut Creek, Calif."
"Park, Tommy",40,P,5100,182,RS FR,Mount Vernon,"Mount Vernon, Wash."
"Parker, Kirkland",10,CB,6010,185,RS SR/TR,Kingwood Park,"Houston, Texas"
"Patmon, Dezmon",12,WR,6040,211,SO,Patrick Henry,"San Diego, Calif."
"Paz, Chris",62,OL,6040,316,RS SO,Squalicum,"Bellingham, Wash."
"Pelluer, Peyton",47,ILB,6000,228,RS SR,Skyline,"Sammamish, Wash."
"Perry, Caleb",0,RB,5090,180,FR,King's,"Seattle, Wash."
"Pippins, Marcellus",27,CB,5100,175,SR,El Cerrito,"El Cerrito, CA"
"Porter, Grant",82,WR,6000,184,RS FR,Upland,"Upland, Calif."
"Powell, Erik",46,PK,6010,201,RS SR,Seton Catholic,"Vancouver, Wash."
"Rodgers III, Willie",0,DE,6050,230,FR,Arthur Hill/Valor Christian,"Saginaw, Mich."
"Rogers, Justus",23,LB,6020,225,RS FR,Bellevue,"Bellevue, Wash."
"Ryan, Liam",63,OL,6050,287,RS FR,Damien,"La Verne, Calif."
"Sakaria, Amosa",77,OL,6020,313,RS SO,Tafuna,"Pago Pago, American Samoa"
"Salmonson, B.J.",75,OL,6040,300,RS SR,Nooksack Valley,"Everson, Wash."
"Schafer, Brett",49,K,5090,174,RS SO,Meadowdale,"Edmonds, Wash."
"Sherman, Dillon",96,LB,6010,213,RS FR,El Toro,"Mission Viejo, Calif."
"Silvels, Dominick",0,LB,6030,210,FR,Patrick Henry,"San Diego, Calif."
"Singleton, Deion",22,SS,6020,191,RS SO,Chiawana,"Pasco, WA"
