Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Adcock, Kirby",68,OL,6050,288,FR,Nashville HS,"Nashville, Ark."
"Agim, McTelvin",3,DL,6030,286,SO,Hope HS,"Texarkana, Ark."
"Allen, Austin",8,QB,6010,215,SR,Fayetteville,"Fayetteville, Ark."
"Barkley, Maleek",14,WR,5100,175,FR,Lake Travis HS,"Austin, Texas"
"Barnes, Jarrod",81,WR,5110,172,FR,Cabot HS,"Cabot, Ark."
"Bell, Jamario",86,LB,6050,258,RS SO,Junction City,"Junction City, AR"
"Boateng, Kofi",17,WR,6010,190,RS FR,Lamar HS,"Arlington, Texas"
"Brasuell, Ben",53,LB,6010,202,RS FR,Benton HS,"Benton, Ark."
"Brown, Montaric",21,S,6000,175,FR,Ashdown,"Ashdown, Ark."
"Calloway, Chevin",1,CB,5100,188,FR,Bishop Dunne,"Dallas, Texas"
"Cantrell, Austin",44,TE,6040,264,RS SO,Roland,"Roland, OK"
"Capps, Austin",41,DT,6040,300,SO,Star City HS,"Star City, Ark."
"Carter, Damani",46,FB,6000,241,RS SO,Fayetteville,"Fayetteville, Ark."
"Clary, Ty",66,OL,6040,286,FR,Fayetteville,"Fayetteville, Ark."
"Clenin, Shane",57,OL,6060,300,FR,Jefferson HS,"Festus, Mo."
"Coley, De'Andre",20,FS,6010,214,RS SR,Northwestern,"Miami, Fla."
"Collins, Terrell",54,LB,6000,240,SO/TR,Hazelwood Central,"St. Louis, Mo."
"Cornelius, Jared",1,WR,5110,211,SR,Evangel Christian,"Shreveport, LA"
"Cross, Gary",82,WR,6020,187,JR/TR,Fordyce,"Fordyce, Ark."
"Curl, Kamren",2,CB,6020,193,FR,Muskogee,"Muskogee, Okla."
"Curtis, Jordon",32,DB,5110,180,FR,Jenks HS,"Jenks, Okla."
"Dalton, Nate",15,CB,6030,190,RS SO,Cypress Falls (TX),"Baton Rouge, LA"
"Decker, Robert",49,LS,6000,247,SR,Greenwich HS,"Greenwich, Conn."
"DePrato, Brandon",97,DL,6040,218,RS FR,Cypress HS,"Cypress, Texas"
"Edwards, Deon",22,S,6010,205,RS FR,Lake Minneola HS,"Minneola, Fla."
"Enlow, Tobias",86,WR,6010,200,RS FR,North Little Rock HS,"North Little Rock, Ark."
"Eugene, Dwayne",35,OB,6010,234,SR,Archbishop Rummel,"Marrero, LA"
"Fisher, Kyrei",40,LB,6020,235,FR,Union HS,"Tulsa, Okla."
