Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Chris",4,LB,6040,239,FR,Southern Lab School,"Baton Rouge, La."
"Amos, Giles",40,TE,6040,236,SO,Westfield,"Perry, Ga."
"Anderson, Keaton",31,IB,6010,215,RS SO,Florence,"Florence, AL"
"Averett, Anthony",28,CB,6000,180,RS SR,Woodbury HS,"Woodbury, NJ"
"Baker, Elliot",78,OL,6070,300,JR/TR,Archbishop Riordan,"San Francisco, Calif."
"Bearden, Parker",41,WR,6010,201,SO,Bessemer Academy,"Bessemer, Ala."
"Benton, Markail",36,LB,6020,237,FR,Central,"Phenix City, Ala."
"Bernier, Mike",97,P,6020,205,JR/TR,Bob Jones,"Madison, Ala."
"Bozeman, Bradley",75,OC,6050,319,RS SR,Handley HS,"Roanoke, AL"
"Brannon, Hunter",62,OL,6040,290,FR,Cullman,"Cullman, Ala."
"Brown, Deonte",65,OG,6040,350,RS FR,Austin,"Decatur, Ala."
"Brown, Mekhi",48,OB,6050,246,RS SO,Carver,"Columbus, GA"
"Brown, Tony",2,CB,6000,198,SR,Ozen,"Beaumont,Tx"
"Bryant, Hunter",45,TE,6050,226,SR,Fellowship Christian School,"Roswell, GA"
"Buggs, Isaiah",49,DL,6050,292,JR/TR,Ruston,"Ruston, La."
"Bulovas, Joseph",97,PK,6000,212,FR,Mandeville,"Mandeville, Ala."
"Burns, Ryan",30,DB,6000,214,SO,Hillgrove,"Dallas, Ga."
"Carter, Shyheim",5,CB,6000,190,SO,Kentwood,"Kentwood, La."
"Casher, Josh",67,OC,6010,287,RS JR,St. Paul's HS,"Mobile, AL"
"Clark, Ronnie",5,RB,6020,215,RS JR,Calera HS,"Calera, AL"
"Cotton, Lester",66,OG,6040,319,JR,Central,"Tuscaloosa, AL"
"Cowan, VanDarius",43,LB,6040,226,FR,Palm Beach Gardens,"Palm Beach Gardens, Fla."
"Davis, Ben",1,ILB,6040,234,RS FR,Gordo,"Gordo, Ala."
"Davis, Raekwon",99,DT,6070,315,SO,Meridian,"Meridian, Miss."
"Diggs, Trevon",7,WR,6020,195,SO,The Avalon School,"Gaithersburg, Md."
"Dwight, Johnny",36,DL,6030,306,RS JR,Wilcox County,"Rochelle,Ga"
"Evans, Rashaan",32,OB,6030,230,SR,Auburn,"Auburn, Ala"
"Fitzpatrick, Minkah",29,CB,6010,203,JR,St. Peter's Prep,"Old Bridge, NJ"
"Fletcher, Thomas",45,LS,6020,220,FR,IMG Academy,"Georgetown, Texas"
"Forristall, Miller",87,TE,6050,225,SO,Cartersville,"Cartersville, Ga."
"Foster, Robert",1,WR,6020,196,RS SR,Central Valley,"Monaca, PA"
"Frazier, Josh",69,DT,6040,315,SR,Har-Ber,"Springdale,Ark"
"Goodman, Sean",48,TE,6010,234,SO,Bob Jones,"Madison, Ala."
"Grant, Bo",45,FS,6020,195,SR,Valley,"Valley, AL"
