Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ackerman, Brendan",0,LB,5110,221,FR,Forest,"Ocala, Fla."
"Allen, Jake",12,QB,6030,200,FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Ancrum, Luke",98,DL,6050,262,RS SO,Sebring,"Sebring, Fla."
"Benalcazar, Ricardo",78,OL,6070,352,SR/TR,Archbishop McCarthy,"Miramar, Fla."
"Bruch, Dallas",79,OL,6030,275,RS FR,Clearwater Central Catholic,"Clearwater, Fla."
"Brunson, Lacedrick",34,LB,6020,220,FR,Miami Jackson,"Miami, Fla."
"Bryan, Taven",93,DT,6050,292,RS JR,Natrona County,"Casper,Wyo."
"Buchanan, Nick",66,OL,6020,301,RS SO,Dunwoody,"Dunwoody, Ga."
"Burnett, McArthur",21,DB,5090,174,RS FR,Pahokee,"Pahokee, Fla."
"Callaway, Antonio",81,WR,5110,197,JR,Booker T. Washington,"Miami, Fla."
"Campbell, Kyree",55,DT,6030,323,FR,Woodbridge,"Woodbridge, Va."
"Carter, Zachary",94,DE,6050,263,FR,Hillsborough,"Tampa, Fla."
"Clark, Khairi",54,NT,6020,319,RS JR,Chaminade-Madona,"Hollywood,Fla"
"Clayton, Antonneous",90,DE,6030,220,SO,Dooly County,"Vienna, Ga."
"Cleveland, Tyrie",89,WR,6020,196,SO,Westfield,"Houston, Texas"
"Concliffe, Elijah",57,DE,6040,312,FR,Hampton,"Hampton, Va."
"Davis, Keivonnis",95,DL,6040,241,JR,Miami Central,"Miami, Fla."
"Davis, Malik",31,RB,5110,195,FR,Jesuit HS,"Tampa, Fla."
"Davis, Shawn",20,DB,5110,185,FR,Southridge,"Miami, Fla."
"Dawson, Duke",7,FS,5100,208,SR,Dixie County,"Cross City,Fla"
"Del Rio, Luke",14,QB,6010,211,RS JR/TR,Valor Christian,"Highland Ranch, CO"
"Desir-Jones, Richerd",68,OL,6040,292,RS SO,St. Thomas Aquinas,"Fort Lauderdale, Fla"
"DioGuardi, Brett",48,LS,6030,242,RS FR,Windermere Prep,"Windermere, Fla."
"Edwards, Brian",6,DB,6020,183,FR,Miramar,"Hollywood, Fla."
"Fallace, Brian",16,QB,6040,210,RS JR,Palm Bay,Satellite Beach
"Farr, Ryan",41,LS,6000,223,JR,Coronado,"Henderson, Nev."
"Ferguson, Ryan",39,TE,6030,229,RS JR,Indian Rocks,Largo
"Finn, Jacob",86,P,6020,198,RS FR,Pixon School,"Jacksonville, Fla."
"Forsythe, Stone",72,OL,6070,329,RS FR,West Orange,"Winter Garden, Fla."
"Franks, Feleipe",13,QB,6060,219,RS FR,Wakulla,"Crawfordville, Fla."
"Gamble, Kemore",88,TE,6030,241,FR,Miami Southridge,"Miami, Fla."
"Garcia, Christian",43,LB,6010,233,RS SR,Belen Jesuit Prep,"Miami, Fla."
"Gardner, Chauncey",23,DB,5110,205,SO,Cocoa,"Cocoa, Fla."
"Giles, Eddie",36,DB,5090,167,RS JR,Dwyer,Jupiter
"Gilga, Anthony",38,DB,5110,177,RS JR,South Lake,"Clermont, Fla."
"Givens, Marcus",69,OL,6000,275,RS SO,Neese,St. Augustine
"Goolsby, DeAndre",30,TE,6040,244,SR,Derby,"Derby, KS"
"Gornto, Harry",46,TE,6020,203,RS SO,Choctawhatchee,"Fort Walton Beach, Fla."
"Gould, Jon",97,P,6000,181,RS SO,Howard,"Eldridge, Md."
"Green, Daquon",18,WR,6010,185,FR,Tampa Bay Tech,"Tampa, Fla."
"Hammond, Josh",10,WR,6010,184,SO,Hallandale,"Hallandale, Fla."
