Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abdul-Aziz, Jamil",85,DL,6020,293,RS FR,Broadmoor HS,"Baton Rouge, La."
"Abdul-Aziz, Jibrail",58,OC,6020,289,RS JR,Broadmoor,"Baton Rouge, LA"
"Alexander, Donnie",48,ILB,6010,212,SR,Edna Karr,"New Orleans, LA"
"Alexander, Edwin",95,DT,6020,333,SO,St. Thomas Aquinas,"Hammond, La."
"Anderson, Dee",11,WR,6050,202,SO,DeSoto HS,"DeSoto, Texas"
"Anthony, Andre",46,DE,6050,219,RS FR,Edna Karr,"New Orleans, La."
"Barney, Chance",47,LB,6010,220,JR/TR,Covington,"Covington, La."
"Battle, John",26,FS,6010,202,SR,Hallandale,"Hallandale, FL"
"Beckwith, Justin",87,WR,6020,207,RS FR,East Feliciana HS,"Jackson, La."
"Brennan, Myles",15,QB,6040,182,FR,St. Stanislaus,"Long Beach, Miss."
"Brock, Matt",43,FB,6010,214,RS SO,McCallie School,"Chattanooga, Tenn."
"Brossette, Nick",4,RB,6000,218,JR,University,"Baton Rouge, LA"
"Brown, Caleb",39,DB,6010,195,RS FR,North DeSoto HS,"Stonewall, La."
"Brumfield, Garrett",78,OG,6030,305,JR,University,"Baton Rouge, LA"
"Campbell, Donavaughn",71,OL,6040,344,SO,Ponchatula,"Ponchatula, La."
"Carter, Tory",22,FB,6010,260,FR,Lee County HS,"Leesburg, Ga."
"Chaisson, K'Lavon",4,LB,6050,230,FR,North Shore HS,"Houston, Texas"
"Chark, D.J.",7,WR,6020,187,SR,Alexandria,"Alexandria, LA"
"Charles, Saahdiq",77,OL,6050,328,FR,Madison-Ridgeland Academy,"Jackson, Miss."
"Clapp, Matt",45,FB,6020,227,FR,Brother Martin,"Metairie, La."
"Clapp, William",64,OG,6050,309,RS JR/2,Brother Martin,"New Orleans, LA"
"Clark, Deondre",98,DE,6030,272,SR,Douglass,"Oklahoma City, OK"
"Culp, Connor",34,PK,5110,186,RS FR,Lester Vista HS,"Phoenix, Ariz."
"Cushenberry III, Lloyd",79,OL,6040,306,RS FR,Dutchtown HS,"Geismar, La."
