Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen-Williams, Bryson",4,WLB,6000,229,SR,Cedar Grove,"Ellenwood,Ga"
"Almond, Michael",85,K/P,6030,229,RS SO,Westminster,"North Augusta, S.C."
"Asbury, Ben",45,LS,6000,206,RS JR/TR,Holy Innocents' Episcopal,"Atlanta, Ga."
"August, Jacob",40,TE,6060,251,RS JR,Cardinal Newman,"Columbia, SC"
"Bailey, Zack",78,OG,6060,311,JR,Summerville,"Summerville, S.C."
"Banks, Korey",7,WR,5110,185,SO,Sandy Creek,"Tyrone, Ga."
"Bentley, Jake",19,QB,6040,223,SO,Opelika,"Opelika, Ala."
"Blackshear, Shameik",91,DE,6050,253,RS SO,Bluffton,"Bluffton, S.C."
"Bowen, Davonne",54,LB,6010,218,FR,Woodmont,"Simpsonville, S.C."
"Brown, Zay",33,DB,5110,194,FR,Clarke Central,"Athens, Ga."
"Brunson, T.J.",6,IB,6010,228,SO,Richland Northeast,"Columbia, S.C."
"Camper, Blake",63,OL,6080,306,JR,Frank W. Cox,"Virginia beach, Va."
"Carlay, Summie",73,OL,6050,270,FR,Laurens,"Laurens, S.C."
"Carroll, Slade",31,RB,5100,205,FR,Lexington,"Lexington, S.C."
"Carty, Jordon",75,OL,6050,299,FR,South Broward,"Lauderdale Lakes, Fla."
"Chalmers, Kaleb",12,DB,5110,179,RS SO/TR,Greenwood HS,"Greenwood, S.C."
"Charleston, Javon",17,DB,6000,183,RS SO,Warren,"Gurnee, Ill."
"Charlton, Joseph",20,K/P,6050,184,RS SO,AC Flora,"Columbia, S.C."
"Chiazza, Brandon",62,PK,5110,165,FR,Malvern Prep,"Malvern, Pa."
"Connor, Austin",22,WR,6000,180,FR,Dutch Fork,"Irmo, S.C."
"Crosby, Kevin",3,TE,6010,230,RS JR,Bamberg-Ehrhardt,"Bamberg, SC"
"Daley, Dennis",74,OL,6060,330,JR/TR,Ridge View,"Columbia, S.C."
"Davis, Cole",58,LB,6010,215,FR,Bartram Trail,"St. Johns, Fla."
"Davis, Randrecous",8,WR,5110,199,RS FR,Mays,"Atlanta, Ga."
"Davis Jr., Stephen",35,RB,6030,206,RS FR/TR,Dutch Fork,"Irmo, S.C."
"Dawkins, Chavis",83,WR,6020,209,SO,Byrnes,"Duncan, S.C."
"DeLoach, Alex",59,LB,6030,210,FR,Ashley Ridge,"Summerville, S.C."
"Denson, Mon",34,RB,5100,205,RS SO,LaGrange,"LaGrange, Ga."
"Derouen, Trey",79,OL,6040,307,RS SO,Parkview,"Lilburn, Ga."
"Dickerson, Jaylin",26,DB,6010,180,FR,Pinecrest,"Southern Pines, N.C."
