Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Alaka, Otara",42,OB,6030,240,JR,Cypress Falls,"Houston, TX"
"Anderson, Austin",55,OT,6040,297,SO,Mineola,"Mineola, Texas"
"Anderson, Riley",51,OT,6050,294,RS SO,Mineola,"Mineola, Texas"
"Ausbon, Jhamon",2,WR,6020,220,FR,IMG Academy,"Houston, Texas"
"Azakytu, Ke'undre",42,WR,6000,180,RS FR,Wilmer-Hutchins,"Dallas, Texas"
"Baldree, Cagan",63,OL,6040,283,RS FR,Cathage,"Carthage, Texas"
"Beakey, Drew",67,OL,6030,295,RS SO,Lutheran South Academy,"Houston, Texas"
"Bean, Justice",33,WR,5110,180,RS FR,Frankston,"Frankston, Texas"
"Blumrick, Connor",8,QB,6050,205,FR,Pearland,"Pearland, Texas"
"Buckley, Camron",14,WR,6020,185,FR,Cedar Hill,"Cedar Hill, Texas"
"Bussey, Kendall",25,RB,5090,200,RS SO,Isidore Newman,"New Orleans, LA"
"Capers-Smith, DeShawn",26,CB,6000,192,JR,Warren Easton,"New Orleans, LA"
"Carper, Keldrick",14,DB,6020,190,FR,Plain Dealing,"Plain Dealing, La."
"Chattman, Clifford",22,DB,6050,190,SO,McDonough 35,"New Orleans, La."
"Chriss, Clyde",80,WR,6000,170,RS FR,Warren Easton,"New Orleans, La."
"Clark, John",27,RB,5080,200,RS FR,Glenbrook North,"Northbrook, Ill."
"Clemons, Michael",2,DE,6050,240,JR/TR,Sachse HS,"Garland, Texas"
"Cline, Kalvin",89,TE,6050,245,RS SR/TR,Pine Crest,"Boca Raton, Fla."
"Congel, Robert",66,OL,6030,310,FR,IMG Academy,"Greenwood Village, Colo."
"Crider, Jett",47,LB,6000,230,RS JR,Bellville,"Bellville, Texas"
"Cunningham, Qualen",9,DE,6030,240,SR,Hamilton,"Chandler, AZ"
"Daimler, Christian",0,OT,6070,320,RS SR/TR,Stratford HS,"Houston, Texas"
"Davis, Quartney",1,WR,6020,200,RS FR,Langham Creek,"Houston, Texas"
"Diesch, Kellen",74,OT,6050,307,RS FR,Byron Nelson,"Trophy Club, Texas"
"Dodson, Tyrel",25,ILB,6020,242,SO,Centennial,"Franklin, Tenn."
"Dunning, Justin",8,SS,6040,235,SO,Whitehouse,"Whitehouse, TX"
"Durham, Landis",46,DL,6030,255,JR,Plano East,"Plano, TX"
"Dworaczyk, Justin",68,OL,6060,280,RS SO,Langham Creek,"Houston, Texas"
"Elam, Roney",27,CB,6020,185,RS SO,Newton,"Newton, TX"
"Estes, Landry",60,DL,6020,280,JR,Byron Nelson,"Trophy Club, Texas"
"Etwi, Kwame",22,RB,5090,200,JR,Oak Ridge,"Conroe, Texas"
"Ford, Keith",7,RB,5110,215,RS SR/TR,Cypress Ranch,"Cypress, Texas"
"Frey, Austin",45,LS,6010,225,RS JR,Tomball,"Tomball, TX"
"Fuller, Travon",28,CB,6010,170,RS FR,Athens,"Athens, Ga."
"Garner, Riley",35,IB,6030,220,JR,A&M Consolidated,"College Station, TX"
"Gillaspia, Cullen",45,OB,6020,234,RS JR,Taylor,"Katy, TX"
"Green, Carson",54,OL,6060,272,FR,Southlake Carroll,"Southlake, Texas"
"Grimes, K.J.",91,DL,6030,230,RS FR,College Station,"College Station, Texas"
"Gustafson, Grant",43,TE,6040,235,RS SO,All Saints,"Fort Worth, Texas"
"Hansford, Aaron",15,WR,6030,230,SO,St. John's College HS,"Washington, D.C."
"Harvey, Nick",1,CB,5100,185,SR,Richmond Travis,"Lancaster, TX"
"Henderson, Zaycoven",92,DT,6020,305,SR,Longview,"Longview, TX"
"Hines III, Anthony",19,LB,6030,220,FR,Plano East,"Plano, Texas"
"Hocker, Jared",73,OL,6050,318,FR,Birdville,"North Richland Hills, Texas"
"Horry, Camron",85,TE,6050,261,FR,James E. Taylor,"Katy, Texas"
