Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abernathy, Micah",22,FS,6000,195,JR,Greater Atlanta Christian,"Atlanta, Ga."
"Bailey, Terrell",26,CB,5110,178,FR,John Ehret,"Harvey, La."
"Bain, Paul",97,DL,6050,290,RS JR/TR,Hillgrove,"Powder Springs, Ga."
"Bates, Dillon",17,OLB,6030,220,RS JR,Ponte Vedra,"Ponte Vedra, FL"
"Bembry, Marquez",0,DE,6020,215,FR,Mount Vernon Presbyterian,"Stone Mountain, Ga."
"Benedict , Brandon",88,DL,6020,260,RS FR,Father Ryan,"Nashvillle, Tenn."
"Bennett, Kivon",95,DT,6010,275,FR,St. Thomas Aquinas,"Hollywood, Fla."
"Berry, Elliott",41,DB,5110,222,SR,Creekside,"Fairburn, GA"
"Berry, Evan",29,SS,5110,207,SR,Creekside,"Fairburn, GA"
"Bituli, Daniel",35,OB,6030,235,SO,Nashville Christian School,"Nashville, Tenn."
"Blakely, Ja'Quain",48,OB,6020,230,RS FR,Colquitt County,"Moultrie, Ga."
"Boulware, Venzell",50,OL,6030,306,RS SO,Creekside,"Union City, Ga."
"Brooks, Devante",77,OL,6050,255,RS FR,St. John's College HS,"Washington, D.C."
"Brown, James",84,TE,6040,222,FR,Jones,"Orlando, Fla."
"Buchanan, Baylen",28,CB,5110,190,SO,Peachtree Ridge,"Suwanee, Ga."
"Bumphus, LaTrell",23,TE,6030,258,FR,Hardin County,"Savannah, Tenn."
"Butler, Matthew",56,DT,6040,274,FR,Garner Senior,"Raleigh, N.C."
"Byrd, Tyler",10,WR,6000,195,SO,Naples,"Naples, Fla."
"Calbert, K'Rojhn",74,OT,6050,316,FR,Warren County Senior,"McMinnville, Tenn."
"Callaway, Marquez",1,WR,6020,199,SO,Warner Robins,"Warner Robins, Ga."
"Cave, Joey",96,DL,6050,285,RS FR,Hardin Valley Academy,"Knoxville, Tenn."
"Chandler, Ty",3,RB,5110,195,FR,Montgomery Bell Academy,"Nashville, Tenn."
"Cimaglia, Brent",30,K,6010,193,FR,Fred J. Page,"Franklin, Tenn."
"Coleman, Trey",24,RB,5110,215,FR,West Monroe,"West Monroe, La."
"Craig, Andrew",86,TE,6050,245,RS FR,Webb School,"Knoxville, Tenn."
"Crosby, Eric",27,DT,6010,336,FR,Ocean Lakes,"Virginia Beach, Va."
"Daniel, Trevor",93,P,6010,248,RS SR,Dickson County,"Dickson, Tenn."
"Dormady, Quinten",12,QB,6040,216,JR,Boerne,"Boerne, Texas"
"Dowdy, Taeler",35,RB,6010,185,SO,Blackman,"Murfreesboro, Tenn."
"Doyle, Joe",47,P,6000,196,FR,Farragut,"Knoxville, Tenn."
"Edwards, Thomas",79,OL,6040,315,RS SR,Dobyns-Bennett,"Kingsport, Tenn."
"Fant, Princeton",18,WR,6030,216,FR,Lavergne,"Nashville, Tenn."
"Fetzner, Logan",87,WR,5090,182,RS SR,Bradley Central,"Cleveland, Tenn."
"Fils-Aime, Carlin",27,RB,5110,175,SO,Naples,"Naples, Fla."
"Garvey, Brian",69,OL,6040,295,RS FR,Brentwood Academy,"Brentwood, Tenn."
"Gatewood, MaLeik",33,DB,5100,193,RS SO,Memphis University School,"Memphis, Tenn."
