Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Patrick",58,OT,6040,298,RS SO,Franklin,"Reisterstown, Md."
"Atkins, John",97,DL,6040,315,RS SR,Hargrave Military Academy,"Thomson, Ga."
"Baker, Deandre",18,CB,5110,175,JR,Miami Northwestern,"Miami, Fla."
"Baker, Kendall",65,OT,6060,305,RS JR,Marist,"Atlanta,Ga"
"Barnes, Chris",61,OG,6030,301,SO,Lee County HS,"Leesburg, Ga."
"Barnett, Michael",52,OL/DT,6040,292,RS SO,Woodland,"Dorchester, S.C."
"Beal, Robert",0,LB,6040,244,FR,Peachtree Ridge,"Lawrenceville, Ga."
"Bellamy, Davin",17,OLB,6050,240,RS SR,Chamblee HS,"Chamblee, Ga."
"Bishop, Detravion",0,DB,6030,200,FR,Terrell Co.,"Dawson, Ga."
"Blankenship, Rodrigo",98,PK,6010,191,RS SO,Sprayberry,"Marietta, Ga."
"Blazevich, Jeb",83,TE,6050,248,SR,Charlotte Christian,"Charlotte, NC"
"Blount III, Trey",0,WR,6020,193,FR,Pace Academy,"Atlanta, Ga."
"Brini, Latavious",0,DB,6020,196,FR,Mater Academy,"Miami Gardens, Fla."
"Brown, Keyon",11,OLB,6030,257,RS JR,Hardee County,"Wauchula,Fla"
"Burke, Patrick",26,WR,6030,197,RS FR,Pope,"Marietta, Ga."
"Bynum, Aulden",70,OT/TE,6050,292,RS SR,Valwood School,"Valdosta, Ga."
"Carter, Lorenzo",7,OLB,6060,242,JR,Norcross,"Norcross,Ga"
"Carter, Michail",76,DT,6030,293,SO,Jackson HS,"Jackson, Ga."
"Carter, Reggie",45,ILB,6010,230,SR,South Gwinnett,"Snellville, Ga."
"Chigbu, Michael",82,WR,6020,216,JR,Holy Cross,"New Orleans, La."
"Chubb, Nick",27,RB,5100,228,SR,Cedartown,"Cedartown,Ga"
"Clark, Tyler",52,DT,6040,305,SO,Sumter County Camp HS,"Americus, Ga."
"Cleveland, Ben",74,OL,6060,341,SO,Stephens County,"Toccoa, Ga."
"Courson, John",56,LS,5110,190,RS JR,North Oconee,"Athens, GA"
"Cowart, Will",97,P,6030,164,RS JR/TR,N/A,"Warner Robins, Ga."
"Crowder, Tae",30,RB,6030,228,RS SO,Harris County,"Hamilton, Ga."
"D'Angola, Michael",91,P,6020,196,JR,Georgia Perimeter,"Suwanee, Ga."
"Davis, Aaron",35,CB,6010,189,RS SR,Luella,"Locust Grove,Ga"
"Davis, Jordan",85,TE,6040,235,RS SR,Thomson HS,"Thomson, Ga."
"Demery, D'Antne",0,OL,6060,312,FR,Brunswick,"Brunswick, Ga."
"Dixon, Dante",36,RB,5070,170,SR/TR,N/A,"Dacula, Ga."
"Donald-McIntyre, Ian",33,RB,5100,207,RS FR,Whitewater,"Fayetteville, Ga."
"Eason, Jacob",10,QB,6050,235,SO,Lake Stevens,"Lake Stevens, Wash."
"Erdman, Willie",19,WR,5100,191,RS FR,Melbourne Central,"Merritt Island, Fla."
"Essex, Alex",57,OT,6050,276,RS JR,St. Christopher's,"Richmond, VA"
"Fogarty, Sean",68,OL,6040,303,RS JR/TR,Benedictine Military,"Savannah, Ga."
"Fortin, Turner",49,FB,6010,230,RS SO,Northview,"Johns Creek, Ga."
"Frix, Trent",69,LS,6000,215,RS SR/TR,Calhoun HS,"Calhoun, Ga."
"Fromm, Jake",11,QB,6020,225,FR,Houston County,"Warner Robins, Ga."
"Gaillard, Lamont",53,DT,6020,301,RS JR,Pine Forest,"Fayetteville,NC"
"Gibbs, Deangelo",8,DB,6010,200,FR,Grayson,"Oxford, Ga."
"Godwin, Terry",5,WR,5110,185,JR,Callaway,"Hogansville, Ga."
"Gothard, Daniel",71,OL,6060,324,RS FR,Dunwoody,"Dunwoody, Ga."
"Grant, Walter",0,LB,6040,232,FR,Cairo,"Cairo, Ga."
"Gross, Jacob",55,ILB,6000,228,RS JR/TR,Upson-Lee,"Molena, Ga."
"Hall, Carson",93,DL,6050,272,SR/TR,East Paulding,"Dallas, Ga."
"Hardin, Sage",63,OL,6060,290,RS SO,Marist,"Atlanta, Ga."
"Hardman, Mecole",4,WR,5110,183,SO,Elbert County Comprehensive HS,"Elberton, Ga."
"Harper, Daniel",47,OLB,6010,215,RS JR/TR,Lakeside,"Atlanta, Ga."
"Harris, Jackson",88,TE,6060,247,JR,Columbia Central,"Columbia, Tenn."
"Hawkins-Muckle, DaQuan",96,DT,6040,320,JR,Westlake,"Atlanta, Ga."
"Hayes, D'Marcus",78,OL,6050,315,JR/TR,Madison Central,"Madison, Miss."
"Herrien, Brian",35,RB,6000,210,SO,New Manchester,"Manchester, Ga."
"Herring, Malik",0,DL,6030,265,FR,Mary Persons,"Forsyth, Ga."
"Herzwurm, Matthew",59,LS,6000,233,RS SR,Augusta Christian,"Augusta,Ga"
"Hill, Tim",29,DB,5110,170,RS SR/TR,Mountain View,"Atlanta, Ga."
