Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Afemui, Feleti",17,LB,6030,235,FR,Maui,"Kahului, Hawaii"
"Anderson, Colin",18,LB,6020,215,FR,Brooks,"Florence, Ala."
"Auwae-McMoore, Sean",53,OC,6040,305,RS FR,Kapolei,"Kapolei, Hawaii"
"Bailey, Bryce",78,OL,6050,305,FR,Castle,"Newburgh, Ind."
"Barksdale, Gil",38,DB,5100,180,SO,Solon,"Solon, Ohio"
"Birchmeier, Drew",91,DT,6040,292,RS FR,Cosby,"Midlothian, Va."
"Blasingame, Khari",23,ILB,6010,235,RS JR,Buckhorn,"New Market,Ala"
"Bostic, James",81,WR,6030,208,FR,Cardinal Gibbons,"Fort Lauderdale, Fla."
"Buchanan, Jonah",92,DL,6040,270,FR,Iolani,"Honolulu, Hawaii"
"Burks, Oren",20,S,6030,226,RS SR,South County,"Fairfax Station, Va."
"Clemens, Cole",74,OL,6060,305,FR,Bingham,"South Jordan, Utah"
"Cochran, Devin",77,OT,6070,305,RS FR,Greater Atlanta Christian School,"Norcross, Ga."
"Cockrell, Turner",82,TE,6050,230,RS FR,Allatoona,"Acworth, Ga."
"Coppet, Frank",35,CB,5110,185,RS FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Crawford, Josh",22,RB,5100,202,JR,Edgewood Academy,"Wetumpka, Ala."
"Daley, Tae",12,DB,6000,185,FR,Northside,"Warner Robins, Ga."
"DeBrossard, Darion",70,OL,6050,295,RS SO,Shiloh HS,"Snellville, Ga."
"DellaRipa, EJ",76,OL,6040,295,RS JR/TR,West Ranch,"Castaic, Calif."
"DeVault-Smith, Brayden",52,LB,6030,208,FR,Pearl Cohn,"Nashville, Tenn."
"Dobbs, Sam",84,TE,6040,230,JR,Landmark Christian HS,"Douglasville, Ga."
"Duncan, C.J.",19,WR,5110,203,RS SR,St. James School,"Montgomery, Ala."
"Edwards, Stone",99,DL,6050,245,FR,Orange,"Hillsborough, N.C."
"Ellis, Trey",36,WR,5090,170,SR,Charlotte,"Charlotte, NC"
"Ferguson, Taurean",3,CB,5090,190,RS SR,Jonesboro,"Jonesboro, Ga."
"Floyd, David",55,OL,6050,290,RS FR,Lipscomb Academy,"Nashville, Tenn."
"Free, Jacob",12,QB,6040,215,FR,Brantley,"Brantley, Ala."
"George, Allan",28,DB,6010,185,FR,Andalusia,"Andalusia, Ala."
"George, Jaire",27,RB,6010,215,RS SO,DeMatha Catholic HS,"Hyattsville, Md."
"Granier, Bailey",75,OT,6060,316,RS JR,South LaFourche,"Galliano,La"
"Griffin, Jordan",40,ILB,6000,223,JR,Armwood HS,"Tampa, Fla."
"Guay, Ryley",98,PK,5100,170,SO,Benet Academy,"Naperville, Ill."
"Hamilton, Elijah",15,CB,6020,195,RS FR,Blessed Trinity Catholic,"Roswell, Ga."
"Haynie, Randall",24,DB,6000,185,FR,Cardinal Gibbons,"Fort Lauderdale, Fla."
"Hebert, Kenny",42,OB,6040,222,RS FR,Holy Cross,"New Orleans, La."
"Herndon, Tre",31,CB,6010,188,SR,East Hamilton,"Chattanooga,Tn"
"Hockaday, Jay",33,ILB,6030,228,RS SO,Christ Presbyterian Academy,"Nashville, Tenn."
"Jones, Zaire",6,DB,6000,198,RS FR,Meridian,"Meridian, Miss."
"Kopp, Braden",65,OT,6050,288,RS FR,Houston Christian,"Houston, Texas"
"Lealao, Nifae",77,DL,6050,312,SR,Capital Christian,"Sacramento,Ca"
"Lewis, Bryce",30,DB,6000,185,RS JR,Parkview,"Lilburn,Ga"
"Lipscomb, Kalija",16,WR,6010,192,SO,Jesuit HS,"New Orleans, La."
"Loy, Sam",19,P,6010,200,SO,Santa Margarita Catholic,"Rancho Santa Margarita, Calif."
"Marcus, Nathan",83,TE,6050,245,RS SR,Glenbard West,"Glen Ellyn, Ill."
"Markel, Cody",45,TE,6050,245,RS FR,Middleton,"Middleton, Wis."
"Mayle, Kade",54,DL,6020,275,JR,Morgan,"McConnelsville, Ohio"
"McElwain, Bailey",39,FB,6010,238,SO,Hewitt-Trussville,"Trussville, Ala."
"Miller, Grant",63,OL,6040,260,FR,St. Thomas Aquinas,"Fort Lauderdale, Fla."
"Mintze, Andre",48,OLB,6030,232,RS FR,Imhotep Institute,"Philadelphia, Pa."
"Moore, Dimitri",7,LB,6030,208,FR,Cedar Hill,"Cedar Hill, Texas"
"Nelson, Reid",97,P,6020,215,SR,Hueytown HS,"Hueytown, Ala."
"Odeyingbo, Dare",34,DE,6020,262,JR,Cistercian Prep HS,"Irving, Texas"
"Odeyingbo, Dayo",10,DL,6060,250,FR,Carrollton Ranchview,"Irving, Texas"
"Openshaw, Tommy",17,PK/P,6020,200,RS SR,Creekside,"Jacksonville, Fla."
"Osei, Baffour",40,RB,5080,180,RS JR,Oaks Christian HS,"Oxnard, Calif."
"Owusu, Michael",88,LB,6050,228,FR,Oaks Christian,"Oxnard, Calif."
"Peart, Caleb",9,OLB,6010,234,RS SO,Hamilton HS,"GIlbert, Ariz."
"Pfeifer, Ean",57,OL,6040,305,RS SO,Bentonville HS,"Bentonville, Ark."
"Pierce, Chris",85,WR,6040,208,FR,Smithfield,"Smithfield, Va."
"Pinkney, Jalen",44,DL,6040,230,FR,Norcross,"Norcross, Ga."
"Pinkney, Jared",80,TE,6040,250,RS SO,Norcross HS,"Norcross, Ga."
"Quillen, Austin",29,S,5110,190,RS FR,Jenks,"Jenks, Okla."
"Reagan, Bruno",61,OG,6030,315,RS JR,Clarksville,"Clarksville,TN"
"Rector, Andrew",26,S,6000,198,JR,Father Ryan HS,"Nashville, Tenn."
"Rivers, Dallas",28,RB,6010,225,SR,Stephenson,"Stone Mountain,Ga"
"Sa'o, Josiah",57,DT,6020,298,RS FR,Kearney,"San Diego, Calif."
"Schiager, Tommy",47,FB,6000,220,RS FR,Sunset,"Portland, Ore."
"Scott, Caleb",9,WR,6020,202,SR,North Gwinnett,"Suwanee,Ga"
"Sheffield, Donovan",21,DB,5110,195,JR,Ensworth HS,"Nashville, Tenn."
"Sherfield, Trent",10,WR,6010,200,SR,Danville,"Danville,Ill"
"Shurmur, Kyle",14,QB,6040,224,JR,LaSalle College HS,"Philadelphia, Pa."
"Skule, Justin",58,OL,6060,310,JR,Centreville HS,"Clifton, Va."
"Smith, Emmanuel",4,S,6020,225,SR,Oakland,"Murfreesboro,Tn"
"Smith, Josh",25,ILB,6040,236,JR,Oakland HS,"Murfreesboro, Tenn."
"Southers, Jared",71,OL,6050,310,RS SO,Seton Hall Prep HS,"South Orange, N.J."
"Stankavage, Shawn",3,QB,6020,198,RS SO,Cardinal Gibbons,"Durham,NC"
"Stewart, Jonathan",73,OL,6080,305,FR,Mountain View,"Lawrenceville, Ga."
"Stump, Alex",15,WR,6030,210,RS SO/TR,St. Edward,"Lakewood, Ohio"
"Sypniewski, Scott",51,LS,6010,231,RS SR/TR,Marquette,"Ottawa, Ill."
"Tarpley, Tre",2,FS,6000,202,SR,Central Catholic,"Pittsburgh,Pa"
"Tennyson, Donaven",4,WR,5100,170,SO,Benedictine,"Richmond, Va."
"Tidd, Cameron",90,DT,6030,290,RS FR,Center Grove,"Greenwood, Ind."
"Vaughn, Ke'Shawn",5,RB,5100,215,JR/TR,Pearl-Cohn HS,"Antioch, Tenn."
"Wakefield, Jamauri",32,RB,6010,218,RS FR,Providence,"Jacksonville, Fla."
"Wallace, Deuce",2,QB,6020,205,RS FR,Sevier County,"Sevierville, Tenn."
"Webb, Ralph",7,RB,5100,202,RS SR,Gainesville,"Gainesville, Fla."
"White, Ryan",14,DB,5100,192,RS SR,Trinity,"Louisville, Ky."
"Wiley, Ladarius",5,DB,6010,205,SR,Cathedral,"Los Angeles,Ca"
"Williams, Joejuan",8,CB,6030,205,SO,Father Ryan/Hendersonville,"Nashville, Tenn."
"Winrow, Jackson",13,WR,6010,185,RS FR,Shawnee,"Shawnee, Okla."
"Woods, Jay",74,DE,6030,292,RS SR,Jackson,"Jackson, Ga."
"Wright, Charles",11,OLB,6030,242,RS JR,Beckman,"Irvine,C a"
"Wynn, Jonathan",49,DE,6040,265,RS SR,Stephenson,"Stone Mountain, Ga."
"Young, Saige",56,OG,6040,315,JR/TR,Woodford County,"Versailles, Ky."
