Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Absher, Brad",18,WR,5100,173,JR,West Montgomery HS,"Troy, N.C."
"Adams, Mock",15,WR,6040,200,RS SO,Greenwood HS,"Greenwood, SC"
"Appling, Jake",64,OL,6030,295,FR,Shelby,"Shelby, N.C."
"Barrett, Brody",68,DL,6030,305,RS SO,J. Serra Catholic HS,"San Juan Capistrano, CA"
"Blackston, Gage",0,OL,6040,280,FR,Benedictine Military,"Savannah, Ga."
"Boggs, Eric",45,ILB,6030,235,SR,Belton-Honea Path,"Belton, S.C."
"Boyd, Josh",8,RB,5100,185,JR,Norcross,"Norcross, Ga."
"Brandle, Zeke",0,DL,6050,250,FR,Chase,"Forest City, N.C."
"Cecil,  Bill",46,ILB,6000,225,SR,T.C. Roberson,"Asheville, N.C."
"Cook, Noel",53,OLB,6000,200,SO,Reidsville,"Reidsville, N.C."
"Critcher, Rylee",94,K,6000,195,RS FR,Watauga,"Boone, N.C."
"Davis, Akeem",24,OLB,6020,200,RS SO,Thomasville HS,"Thomasville, NC"
"Davis, Edward",33,ILB,6000,230,RS SO,Farmville Central HS,"Farmville, NC"
"Derrick, Peyton",0,QB,6020,185,FR,Conway,"Conway, S.C."
"Diarrassouba, Elijah",96,DL,6000,250,RS FR,Page,"Greensboro, N.C."
"Duck, Clifton",22,DB,5100,175,SO,Butler,"Matthews, N.C."
"Duffield, Levi",86,OLB,6020,220,SR,Tuscola,"Waynesville, N.C."
"Easter, Jake",16,QB,6020,190,RS SO,Reagan HS,"Pfafftown, NC"
"Edge-Campbell, Tobias",52,OC,6020,295,JR,Hoke County,"Raeford, N.C."
"Evans, Darrynton",19,ATH,5110,185,SO,New Smyrna Beach,"Oak Hill, Fla."
"Exford, Austin",9,S,6020,200,JR,Shiloh,"Snellville, Ga."
"Fehr, Jordan",59,OLB,6020,220,FR,Providence,"Charlotte, N.C."
"Fitch, Curtis",17,QB,6000,195,JR,Steinbrenner HS,"Lutz, Fa."
"Flory, Anthony",44,ILB,6020,235,JR,American Heritage HS,"Fort Lauderdale, FL"
"Franklin, Desmond",34,S,6020,200,RS SO,Citrus HS,"Inverness, FL"
"Frizzell, Tim",0,LB,6020,215,FR,Hardin Valley Academy,"Knoxville, Tenn."
"Fuller, Caleb",51,DE,6000,241,SR,New Hanover,"Wilmington, N.C."
"Fuller, Teh'Ron",37,ILB,6020,230,JR,South Fort Myers,"Fort Myers, Fla."
"Garrison, Cole",73,OL,6040,280,RS FR,Clay-Chalkville,"Pinson, Ala."
