Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abercrombie, Osharmar",32,RB,5090,205,SR,Emerald,"Greenwood, S.C."
"Anderson, Josh",82,WR,6010,180,SO,Waconda,"Volo, Ill."
"Arbertha, Ronald",58,DE,6050,250,JR,McKinley Tech,"Washington, D.C."
"Battaglia, Peter",72,OL,6040,270,SO,Christian Brothers,"Syracuse, N.Y."
"Bedosky, Steven",60,OL,6020,295,RS FR,Landmark Christian,"Douglasville, Ga."
"Bennett, Ra'Quan",34,RB,5110,200,RS SO,Manning,"Manning, S.C."
"Billings, Michael",41,DB,5100,200,JR,Georgetown,"Georgetown, S.C."
"Black, Omar",84,WR,6020,190,JR,Hillgrove,"Marietta, Ga."
"Bowen, Blake",14,QB,6010,200,RS FR,Trinity Episcopal,"Richmond, Va."
"Bradley, Austin",5,QB,6030,215,SO,Orangeburg-Wilkinson,"Orangeburg, S.C."
"Bradshaw, Gary",3,WR,5070,155,SR/TR,Ridgeview,"Columbia, S.C."
"Brewer, C.J.",52,DL,6020,270,RS FR,Bowdon,"Bowdon, Ga."
"Brown, Jave",0,DB,5100,185,SO/TR,Franklin Regional,"Franklin Park, N.J."
"Brown, Laquay",88,TE/LS,6020,255,JR,St. Joseph,"Mays Landing, N.J."
"Carey, Preston",14,DB,5110,155,SO,North Hagerstown,"Hagerstown, Md."
"Carter, Trey",63,OL,6010,300,RS FR,Monroe Academy,"Monroeville, Ala."
"Cathers, Kyle",91,DL,6040,265,RS FR,Salesianum,"Wilmington, Del."
"Chandler, Antawn",80,WR,5100,160,SO,Aiken,"Aiken, S.C."
"Chesley, Anthony",17,DB,5110,185,JR,Gwynn Park,"Temple Hills, Md."
"Church, Eric",1,CB,5090,190,SR/TR,Timber Creek,"Pennsauken, N.J."
"Clark, Nicholas",11,DB,5110,150,SR,Bethel,"Hampton, Va."
"Claybourne, Mallory",0,WR,5100,175,JR/TR,Sto-Rox,"Pittsburgh, Pa."
"Clayton, Jonathan",99,DL,6020,260,RS FR,Sandalwood,"Jacksonville, Fla."
"Collins Jr., Larry",29,WR,6010,205,RS FR,Lower Richland,"Hopkins, S.C."
"Culbertson, Ryan",0,LS,6000,210,FR,Greenwood,"Greenwood, S.C."
"D'Angelo, Lorenzo",23,TE,6000,215,SR,Italian Republic Ministry of Education,"Rome, Italy"
"Derrick, Josh",56,OL,6060,250,SO,Gray Collegiate Academy,"Little River, S.C."
