Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Ackerman, Kevin",79,OL,6050,245,RS SO,The Bolles School,"Jacksonville, FL"
"Adcock, Gavin",73,DT,5110,255,FR,Oconee,"Watkinsville, Ga."
"Alexander, Ross",46,TE,6020,237,SR,Rock Bridge,"Columbia, Mo."
"Allen, Tre",43,LB,6010,225,FR,Woodland,"Stockbridge, Ga."
"Anderson, Darion",81,WR,6000,180,RS FR,Houston County,"Warner Robins, Ga."
"Anderson, Jahee",36,S,5100,150,FR,Northgate,"Newnan, Ga."
"Anthony, LaBaron",2,QB,6000,185,RS JR/TR,Bradwell Institute,"Hinesville, Ga."
"Babers III, Mike",49,RB,5100,210,FR,Habersham Central,"Cornelia, Ga."
"Backer, Peyton",71,OL,6030,270,FR,Rabin County,"Tiger, Ga."
"Baker Jr., Darrell",46,CB,6010,190,RS FR,Hepzibah,"Hepzibah, Ga."
"Bass, Tyler",16,K,5100,175,RS SO,Dutch Fork,"Irmo, S.C."
"Bauerle, Magill",85,P,6010,200,RS FR,Athens Academy,"Athens, Ga."
"Belvin, Jacorey",38,LB,5100,215,RS JR,Mitchell County HS,"Camilla, Ga."
"Bowdry, Jay",26,S,6000,200,RS SO,Thomasville HS,"Thomasville, GA"
"Boynton, Tommy",77,OL,6040,300,RS JR,Mandarin,"Jacksonville, Fla."
"Bradley, Todd",50,LB,6000,230,SO,Valdosta,"Valdosta, Ga."
"Brinson, Monquavion",4,CB,5110,175,SO,Mays,"Atlanta, Ga."
"Brown, Cam",48,H/TE,6020,225,FR,Peachtree Ridge,"Suwanee, Ga."
"Brown, Kado",13,QB,6010,195,RS JR/TR,Rio Mesa,"Ventura, Calif."
"Brown Jr., Melton",94,DT,6030,260,FR,Jefferson County,"Louisville, Ga."
"Bush, Ian",95,DT,6000,305,RS JR,Charlotte HS,"Port Charlotte, Fa."
"Butler, D.J.",80,H/TE,6020,220,FR,Bob Jones,"Madison, Ala."
"Byrd, Rashad",45,LB,6000,230,RS FR,North Augusta,"North Augusta, S.C."
"Campbell, Myles",6,WR,5060,165,RS SR,Duluth,"Duluth, Ga."
"Carter Jr., Dexter",84,WR,6000,180,RS FR,Bolles School,"Jacksonville, Fla."
"Cofield, Tra",35,S,5110,180,SO/TR,Frederick Douglas,"Ellenwood, Ga."
"Cooper, Deshon",41,TE,6030,240,RS JR/TR,Columbia,"Atlanta, Ga."
"Cooper, Jakob",64,OL,6030,285,RS SO,Parkview,"Lilburn, Ga."
"Copeland, Zack",57,DE,6010,260,RS JR,Lowndes,"Valdosta, Ga."
"Cox, Logan",90,LS,6000,205,FR,Woodstock,"Canton, Ga."
"Cross, Bryce",40,CB,5110,170,FR,Chattahoochee,"Alpharetta, Ga."
"Culbreth, Jeremiah",58,OC,6040,320,JR,Langston Hughes HS,"Fairburn, GA"
"Daniels, Jared",47,RB,5090,175,FR,Macon County,"Macon, Ga."
"DeLaRosa, Chris",34,ILB,6010,225,SR,Lake Brantley,"Longwood, FL"
"Delesline, Tori",37,LB,6010,205,RS FR,Hillcrest,"Hampton, S.C."
"Duncan Jr., Kenderick",27,S,6030,195,FR,Stockbridge,"Stockbridge, Ga."
"Ecton, Lane",37,LB,5110,190,RS SO,Dutch Fork HS,"Irmo, SC"
"Edwards, Jake",66,OL,6040,285,RS JR/TR,Heard County,"Franklin, Ga."
"Edwards, Lawrence",74,OT,6060,300,RS FR,Spruce Creek,"Port Orange, Fla."
"Fields, Wesley",21,RB,6000,200,JR,Americus-Sumter,"Americus, GA"
"Flynn, Matt",55,PK,6000,200,RS SR,Loganville,"Loganville, Ga."
"Fortune, Obe",9,WR,6010,190,RS SO,Milton HS,"Alpharetta, GA"
"Frazier, Jaalon",18,QB,6020,195,FR,Liberty County,"Riceboro, Ga."
"Freeman, Sean",24,S,6000,190,JR/TR,Peach County,"Fort Valley, Ga."
"Garrett, Jaden",10,CB,5110,170,FR,Durant,"Plant City, Fla."
"Garrett, Monteo",15,RB,5100,190,RS JR,Munford,"Talladega, Ala."
"Glenn, D'Ondre",19,WR,6050,220,RS SO,Douglas County HS,"Douglasville, GA"
"Godfrey, Demarcus",29,RB,5090,195,RS SR,East Coweta HS,"Sharpsburg, GA"
"Grall, Drake",52,OL,5100,285,RS JR,Henry County HS,"Locust Grove, GA"
"Griffin, Quan",52,DT,6030,260,FR,Baker County,"Glen Saint Mary, Fla."
"Harris Jr., Chris",32,LB,6010,235,FR,Benedictine Military,"Savannah, Ga."
"Henry, Malik",87,WR,6000,175,JR,Tift County HS,"Tifton, GA"
"Hill, Tristan",65,OG,6040,275,RS JR,Mustang,"Mustang, Okla."
"Holley, Brandon",39,LB,6000,205,RS SO,Mill Creek,"Buford, Ga."
"Howard, NaQuan",85,WR,6020,180,RS SO,Buchholz HS,"Gainesville, FL"
"Hunt, Logan",91,DE,6020,270,JR,Washington County HS,"Sandersville, GA"
"Johnson, Josh",99,DE,6050,235,FR,Peachtree Ridge,"Suwanee, Ga."
"Johnson III, Raymond",92,DE,6030,225,FR,Sumter,"Sumter, S.C."
"Johnson Jr., George",25,WR,5090,165,RS JR,Coffee,"Broxton, Ga."
"Josue, Benz",54,LB,6000,190,FR,Mountain View,"Lawrenceville, Ga."
"Kelly, Caleb",50,OL,6020,295,FR,Northside,"Warner Robins, Ga."
"Kennedy III, Wesley",12,WR,5100,165,FR,Benedictine Military,"Savannah, Ga."
"Kouassi, J.B.",44,DE,6020,245,RS SO,Norcross HS,"Norcross, GA"
"Langan, Ryan",82,LS,6010,210,FR,Bob Jones,"Madison, Ala."
"LaRoche, Matt",36,RB,5090,165,FR,Venice,"Venice, Fla."
"Lawson, Connor",51,LB,6010,205,FR,Deerfield Windsor,"Albany, Ga."
"Lee, Josh",89,H/TE,6020,245,FR,Veterans,"Kathleen, Ga."
"Leeds, Jarrod",70,OL,6040,265,FR,Clay,"Green Cove Springs, Fla."
"Liptrot, Jessie",30,CB,6000,190,RS SO,Fletcher HS,"Atlantic Beach, FL"
"Lofton, Demetrice",93,DE,6050,215,FR,Creekside,"Fairburn, Ga."
"Malloy, Tra",54,OL,6050,300,RS JR,Parkview,"Lilburn, Ga."
"Mann, Tristan",60,OL,6020,235,RS SO,Sandy Creek,"Tyrone, Ga."
"Martinez, Luis",97,PK,5090,215,RS FR,Colquitt County,"Moultrie, Ga."
"Matthew, Christian",48,CB,6030,175,RS SO,Chattahoochee County,"Columbus, Ga."
"Matthews Jr., Mitch",76,OL,6020,285,FR,Lincoln County,"Lincolnton, Ga."
"McConnell, Hampton",14,QB,6020,205,RS SO,West Forsyth HS,"Cumming, GA"
"Michaud, Mark",23,WR,6040,220,SO,Paramus Catholic,"Brooklyn, N.Y."
"Miller, Brian",56,DE,6030,260,FR,Memorial Day,"Savannah, Ga."
"Montgomery, Eric",35,RB,6010,210,RS SO,Hillgrove HS,"Marietta, GA"
"Moon, Joshua",22,S,6000,190,JR,Creekside HS,"Fairburn, GA"
"Murray, Malik",33,WR,6000,160,FR,Peachtree Ridge,"Duluth, Ga."
"Murray, Roderick",2,LB/S,6000,205,RS JR,NA,"Duluth, GA"
"Northrup, Ryan",62,OL,6020,290,RS JR,Norcross,"Norcross, Ga."
"Okwilagwe, Mike",78,OL,6030,245,FR,Mount Vernon,"Sandy Springs, Ga."
"Phillips, Ty",96,DL,6030,290,SO,Colquitt County,"Moultrie, Ga."
"Piatt, Colton",92,LS,6020,210,FR,Lipscomb Academy,"Nashville, Tenn."
"Rainey, Curtis",75,OL,6020,290,JR,Robert E. Lee HS,"Jacksonville, FL"
"Ramsby, Alfred",1,RB,5110,200,RS SR,Colerain,"Cincinnati, Ohio"
"Ransom, Colby",83,WR,5110,190,RS SO,South Gwinnett,"Stone Mountain, Ga."
"Reese, Tomarcio",33,LB,5110,220,JR/TR,Colquitt County,"Moultrie, Ga."
"Richardson, Ellis",5,H/TE,6030,225,RS JR/TR,Douglas County,"Villa Rice, Ga."
"Sapp, Darrius",90,NT,6010,320,SR,Valdosta,"Valdosta, Ga."
"Shuman, Seth",10,QB,6010,195,SO,Valdosta,"Valdosta, Ga."
"Smith, Alex",67,OL,6040,280,RS FR,Etowah,"Woodstock, Ga."
"Summers Jr., Mike",31,WR,6010,200,RS SR/TR,Statesboro,"Statesboro, Ga."
"Thompson, Amari",28,S,6020,180,RS FR,Lake Minneola,"Minneola, Fla."
"Townsend Jr., Shelby",97,DL,6010,245,RS JR/TR,Woodland,"Cartersville, Ga."
"Tucker Jr., Kenton",55,DT,6030,285,FR,First Coast,"Jacksonville, Fla."
"Ukwu, Ike",54,LB,6010,230,RS SR/TR,Grady,"Nashville, Tenn."
"Vildor, Kindle",20,CB,5110,180,SO,North Clayton,"College Park, Ga."
"Vliem, Traver",49,DE,6040,260,RS FR,Midland,"Midland,Texas"
"Wade Jr., Randy",47,LB,6020,240,RS FR,Early County,"Blakely, Ga."
"Walker, Grant",7,RB,6010,200,FR,Cedar Grove,"Ellenwood, Ga."
"Ward Jr., Alvin",42,LB,6040,225,RS FR,Hertford County,"Ahoskie, N.C."
"Washington, Chris",69,DL,6000,315,RS SR/TR,Burke County,"Hephzibah, Ga."
"Washington Jr., Martial",17,S,6030,210,RS FR,Liberty County,"Riceboro, Ga."
"Werts, Shai",4,QB,5110,190,RS FR,Newberry,"Clinton, S.C."
"Williams, Christian",68,OL,6000,325,RS JR,Wetumpka,"Wetumpka, Ala."
"Williams, Parker",57,OL,6010,285,RS SO,Georgia Military College Prep,"Milledgeville, Ga."
"Wilson, Drew",61,OL,6040,295,SO,Bamberg-Ehrhardt,"Bamberg, S.C."
"Wright, Logan",39,RB,6000,230,FR,Sandalwood,"Jacksonville, FL"
