Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Akanno, Charles",43,LB,6010,245,RS FR,Morningside HS,"Inglewood, Calif."
"Amos, Gunnar",15,QB,6010,191,RS SO,Coeur d'Alene HS,"Coeur d'Alene, ID"
"Anderson, Arie",93,DL,6010,326,SR/TR,Stanhope Elmore HS,"Millbrook, Ala."
"Archie, Darius",73,OL,6020,285,FR,Cosines Oak,"Elk Grove, Calif."
"Ashby, Harrison",0,TE,6050,220,FR,Capital,"Boise, Idaho"
"Bafus, Zach",30,RB,6000,207,SO,Troy HS,"Troy, ID"
"Bamis, Jack",34,RB,6030,205,RS SO,Gonzaga Prep,"Spokane, Washington"
"Barnett, Qendarrion",31,DB,6000,177,SO,Noxubee County HS,"Macon, Miss."
"Beeler, Dylan",41,LB,6030,250,RS FR,Clarkston,"Clarkston, Wash."
"Boatman, Alex",37,OL,6000,242,RS JR,Lewiston,"Lewiston, ID"
"Borisch, Zach",0,QB,6000,180,FR,Kamiakin,"Kennewick, Wash."
"Boston, Jante",7,WR,5100,165,RS SO,Riboult HS,"Jacksonville, Fla."
"Brantley, Denzal",4,RB,6000,213,RS SO,Los Alamitos HS,"Los Alamitos, Calif."
"Cable, Zach",90,DE,6030,258,RS SR,Hazen High School,"Renton, Wash."
"Carnahan, Seth",0,OL,6070,225,FR,Sumner,"Sumner, Wash."
"Carter, Brett",71,OL,6020,275,RS FR,Mountain View,"Meridian, Idaho"
"Clark, Dorian",20,DB,6000,182,JR,Baldwin,"Jacksonville, FL"
"Coffey, Cade",15,K,6010,189,RS FR,Lakeland HS,"Rathdrum, Idaho"
"Coleman, Aikeem",97,DE,6030,284,SR/TR,Hattiesburg HS,"Hattiesburg, Miss."
"Collado III, Carlos",69,OL,6040,250,FR,Sandpoint,"Sandpoint, Idaho"
"Crawford, Rahsaan",55,DT,5100,326,RS FR,Tucker HS,"Tucker, Ga."
"Daggs, Vaughn",39,CB,6000,160,RS FR,Auburn Mountainview HS,"Auburn, Wash."
"Dedmon, Tyrese",0,S,6010,180,FR,Antelope Valley,"Lancaster, Calif."
"Degraw, Nate",0,DE,6030,235,FR,Post Falls,"Post Falls, Idaho"
"Dixon, Zion",70,OL,6040,303,RS SO,Lake City HS,"Coeur d' Alene, Idaho"
"Duckworth, Aaron",23,RB,5080,203,SR,Oakleaf HS,"Orange Park, FL"
"Duke, Tevin",19,CB,5100,170,FR,West Valley,"Spokane, Wash."
"Eades II, Wayne",51,DE,6000,260,RS FR,Memphis Central HS,"Memphis, Tenn."
"Ellingson, Josh",81,WR,5100,174,RS SO,Orting HS,"Orting, Wash."
"Elliss, Christian",0,LB,6030,215,FR,Valor Christian,"Highlands Ranch, Colo."
"Elliss, Kaden",3,OLB,6030,222,JR,Judge Memorial Catholic HS,"Salt Lake City, Utah"
"Fenlason, Sam",52,K,5100,199,SO,Rancho San Bernardino,"San Diego, Calif."
"Garner, Michael",88,WR,5110,178,RS SO,Madison HS,"San Diego, CA"
"Grabski, Jordan",21,SS,6000,195,JR,Southeast High School,"Bradenton, Fla."
"Graham, Ty",10,S,6000,205,SO,Cheney HS,"Cheney, Wash."
"Greene, Kahshan",18,DB,5100,170,RS SR/TR,St. Francis Mountain View,"East Palo Alto, Calif."
"Griffin, Theo",99,DL,6000,224,RS FR,Todd Beamer,"Federal Way, Wash."
"Hale, Eric",91,DE,6020,225,RS SO,Lake Minneola HS,"Orlando, Fla."
"Hall, Ed",50,LB,6000,212,RS JR,Eagle River,"Chugiak, AK"
"Hamilton, Micah",84,WR,5100,186,RS SO,Woodinville HS,"Woodinville, Wash."
"Hawkins, Armond",8,CB,5100,205,SR,Rancho Cucamonga,"Rancho Cucamonga, Calif."
"Haywood, Cutrell",0,WR,6000,190,FR,Stagg,"Stockton, Calif."
"Hazewood, Leonard",22,DE,6040,248,RS SR/TR,Atelope HS,"Antelope, CA"
"Henderson, D.J.",2,DL,6000,281,JR/TR,Clinton,"Clinton, Miss."
"Herman, Josh",45,FB,6010,254,SR/TR,Tulsa East Central HS,"Tulsa, Okla."
"Hightower, Lloyd",5,WR,5090,173,SO,Chaparral HS,"Temecula, Calif."
"Hoover, Jalen",0,S,5100,170,FR,Northwest Rankin,"Brandon, Miss."
"Hyde, Luke",47,FB,6020,241,RS SO,Emmett HS,"Emmett, Idaho"
"James, Alex",80,TE,6060,231,JR/TR,Soutmoore,"Moore, Okla."
