Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Abraham, Tevis",8,WR,6010,196,FR,Southern Lab,"Baton Rouge, La."
"Adkins, Josh",0,QB,6020,210,FR,Smithson Valley,"Spring Branch, Texas"
"Aganon, Josh",6,WR,5100,175,RS SR/TR,Chaparral HS,"Scottsdale, Ariz."
"Allen, Calvin",0,DE,6060,285,RS SR/TR,La Cueva,"Albuquerque, N.M."
"Anderson, Darius",98,DL,6010,310,SO,Hightower HS,"Fresno, Texas"
"Anderson, Sebastian",55,OL,6060,300,RS SO,Desert Edge HS,"Goodyear, Ariz."
"Arellano, Jacob",0,DL,6020,255,SO,Socorro,"El Paso, Texas"
"Ash, David",0,OL,6040,310,FR,Eastwood,"El Paso, Texas"
"Bell, Brandon",30,DB,5090,185,SO,Manvel HS,"Fresno, Calif."
"Bello, Tony",65,OL,6040,280,RS SO,Bear Creek HS,"Lakewood, Colo."
"Bob, Kolton",67,OL,6030,300,RS SO,Ruidoso HS,"Mescalero, N.M."
"Boone, Johnathan",13,WR,6030,185,RS JR/TR,Freedom HS,"Orlando, Fla."
"Bradley, Stody",9,DT,6020,245,SR,Bowie,"Arlington, Texas"
"Brohard, Trevor",0,LB,6030,310,FR,Los Lunas,"Los Lunas, N.M."
"Buckley, Marcus",0,DL,6020,250,FR,Weatherford,"Weatherford, Texas"
"Caldwell, Royce",1,WR,5080,175,RS JR,Columbus,"Columbus, TX"
"Candielarie, Dezmand",58,OT,6030,315,SR,North Mesquite,"Mesquite, Texas"
"Clark, OJ",2,WR,5070,163,RS SO,Wichita Falls HS,"Wichita Falls, Texas"
"Clement, Will",44,OLB,6030,209,RS JR,Kinkaid,"Houston, Texas"
"Corley, Cassius",4,WR,6010,200,RS JR,Grants,"Grants, N.M."
"Cramer, Conner",11,QB,6020,200,RS SR/TR,Alma Bryant HS,"Mobile, Ala."
"Dan, Drew",15,WR,6030,191,SO,Checotah HS,"Muskogee, Okla."
"Davidson, Parker",24,PK,5110,175,JR,Plano West HS,"Plano, Texas"
"Demby, Malik",25,SS,6020,230,RS JR,Chino,"Chino, Calif."
"Doxtater, Sage",76,OT,6070,343,SO,Canada Prep Academy,"Ontario, Canada"
"Edwards, Kris'Sean",0,OL,6040,265,SO/TR,Union,"Tulsa, Okla."
"Fa'amasino, Lui",49,LB,6000,230,JR/TR,West,"Anchorage, Alaska"
"Ferguson, Javahn",7,LB,6010,225,JR,Southern Lab HS,"Baton Rouge, La."
"Gibson, Christian",25,DB,6010,206,JR,Prime Prep Academy,"Dallas, Texas"
"Guerrero, Jalen",0,DL,6060,240,FR,Mayfield,"Las Cruces, N.M."
"Hagan, Jefferson",61,OG,6030,327,SO,Westlake HS,"Moorepark, Calif."
"Hanks, Terrill",2,OLB,6030,225,JR,LaSalle HS,"Miami, Fla."
"Harker, Davis",62,OL,6030,310,JR/TR,Union,"Tulsa, Okla."
"Hart, Dallas",36,DB,6000,200,SR/TR,Hanks HS,"Honolulu, Hawaii"
"Herrington, Dalton",31,OLB,6020,230,SR,Halletsville HS,"Halletsville, Texas"
"Hill, Bobby",97,DL,6020,245,SR/TR,Woodrow Wilson HS,"Long Beach, Calif."
"Hodge, Jeremy",0,QB,6020,210,FR,Parish Episcopal,"Plano, Texas"
"Hogan, Gregory",7,WR,6010,200,RS SR,Summer Creek HS,"Houston, Texas"
"Hood, Jonathan",20,CB,6000,218,JR,North Crowley HS,"Fort Worth, Texas"
"Huntley, Jason",14,RB,5090,175,SO,Martin HS,"Arlington, Texas"
"Ibekwe, Derek",3,ILB,6000,240,SR,Lamar Consolidated HS,"Rosenberg, Texas"
"Jackson, Shane",28,OLB,6000,225,RS SO,Manvel HS,"Manvel, Texas"
"Jeanty, Nick",12,QB,6020,200,RS JR,Miramar,"Miramar, Fla."
"Johnson, Dominic",9,QB,6040,190,SO,Highlands HS,"Albuquerque, N.M."
"Koffie, Komotay",5,DB,6010,185,SO/TR,NDSCS,"Providence, R.I."
"Kowalski, Brett",15,DL,6010,227,RS SO,Mayfield HS,"Las Cruces, N.M."
"LaForce, Ron",23,DB,6010,187,JR/TR,Alma Bryant,"Bayou La Batre, Ala."
"Lloyd, DeShawnte",63,DL,6010,320,SR/TR,Digital Harbor HS,"Baltimore, Md."
"Locklin, Tymon",12,S,6020,207,JR,,
"Lomax, Shamad",22,DB,5100,200,SO,Copperas Cove HS,"Copperas Cove, Texas"
"Lombardi, Louie",0,LB,5110,215,SO,Mayfield,"Las Cruces, N.M."
"Lopez, Roy",51,DL,6020,310,SO,Mesquite HS,"Tempe, Ariz."
"Lottie, Izaiah",10,WR,6000,197,RS SO,Cherokee Trail HS,"Aurora, Colo."
"Mascorro, Jaylon",0,LB,6010,230,FR,Refugio,"Refugio, Texas"
"Matthews, Cameron",5,QB,6030,205,FR,Trinity Valley School,"Crowley, Texas"
"McClain, Isaac",0,OL,6020,305,JR/TR,Manteca,"Manteca, Calif."
"McIntyre, Isaiah",19,WR,5110,190,SO,Las Cruces HS,"Las Cruces, N.M."
"McQuaker, Leon",41,LB,6010,212,JR/TR,Josey,"Augusta, Ga."
"Medina, Brayton",70,OL,6040,326,RS SR/TR,Mesa Ridge HS,"Colorado Springs, Colo."
"Muse, Anthony",21,WR,6000,160,RS SO,Slymar HS,"Slymar, Calif."
"Nash, Anthony",0,DB,5110,200,JR/TR,Elgin,"Elgin, Texas"
"Nipp, Billy",43,ILB,5110,225,RS JR,Father Ryan HS,"Nashville, Tenn."
"Nwangwa, Jacob",1,FS,6000,207,SR,Arlington,"Arlington, Texas"
"Owens, Demarcus",4,CB,5100,191,JR,Yukon HS,"Yukon, Okla."
"Parnell, Travis",17,LB,6030,212,RS SO,,
"Perkins, Austin",19,S,5090,175,RS SO,Tucson HS,"Tucson, Ariz."
"Phipps, Jared",29,CB,5090,165,SO,Martin HS,"Arlington, Texas"
"Posey, Troy",86,WR,5080,174,RS SR,,
"Provencio, Miguel",85,TE,6030,250,RS FR/TR,Socorro,"Chihuahua, Mexico"
"Reese, Jassavia",8,DE,6040,260,JR,John Tyler HS,"Tyler, Texas"
"Reese, Jaylon",56,LB,6010,240,JR/TR,John Tyler,"Tyler, Texas"
"Renteria, Humberto",92,DL,6000,300,RS JR,N/A,N/A
"Roberts, Bryce",87,TE,6040,270,FR,Mustang HS,"Yukon, Okla."
"Rogers, Tyler",17,QB,6030,218,RS SR/TR,Liberty,Peoria AZ
"Rose III, Larry",3,RB,5110,195,SR,Fairfield,"Fairfield, Texas"
"Scott, Jaleel",16,WR,6060,215,RS SR/TR,Rock Hill HS,"Rock Hill, S.C."
"Sharmoug, Billy",69,OL,6020,325,JR/TR,N/A,"Manteca, Calif."
"Shaw, Austin",13,DB,6000,170,SO,Frisco HS,"Frisco, Texas"
"Shepard-Creer, Nakota",14,DB,6020,185,SO/TR,Salesian Prep,"Vallejo, Calif."
"Slater, Sy",24,DB,6010,206,RS SO,Katy HS,"Johnson City, Kan."
"Smith, Jamin",74,OC,6030,300,SR,Douglas County HS,"Castle Rock, Colo."
"Solbeck, Jackson",89,TE,6040,260,JR,Cypress Ranch HS,"Cypress, Texas"
"Theisler, Peyton",16,P,5080,145,SO,Desert Vista HS,"Phoenix, Ariz."
"Trujillo, Brian",78,OG/OC,6040,310,RS SO,Volcano Vista HS,"Albuquerque, N.M."
"Vigne, Myles",99,DL,6010,310,SO,Warren Easton HS,"New Orleans, La."
"Watson, Derek",18,DE,6040,231,RS SO,Denton Guyer HS,"Denton, Texas"
"Wilcots, Cedric",10,DT,6040,260,RS SO,Wilmer-Hutchins HS,"Dallas, Texas"
"Wilson, Jacob",42,LB,5100,216,FR,Santa Teresa,"Santa Tersea, N.M."
"Wright, Jaden",21,SS,6000,212,SR,Lewisville,"Lewisville, Texas"
"Yarberough, Xander",0,TE,6060,245,FR,Roosevelt,"San Antonio, Texas"
"Young, Matthew",0,LB,6020,240,FR,Onate,"Las Cruces, N.M."
