Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Anderson, Josh",33,RB,5110,250,SR,South Paulding,"Douglasville, Ga."
"Barker, Antoine",40,DE,6030,253,RS SO,Pensacola Catholic HS,"Pensacola, Fla."
"Barker, Kaleb",18,QB,6010,210,SO,Priceville HS,"Decatur, Ala."
"Barto, Montae",30,FB,6010,241,RS FR,Baker HS,"Baker, Fla."
"Bell, T.J.",0,WR,5090,163,SO,Merritt Island HS,"Merritt Island, Fla."
"Billingsley, D.K.",20,RB,5090,195,FR,Scottsboro,"Scotsboro, Ala."
"Blatt, Tanner",32,CB,5100,192,RS FR,Opelika HS,"Opelika, Ala."
"Boring, Johnathan",62,OG,6050,306,RS SR,Lexington,"Lexington, S.C."
"Bradshaw, Dylan",65,OL,6020,300,RS FR,Enterprise HS,"Enterprise, Ala."
"Branner, Zach",70,OL,6050,305,RS SO,Buckhorn HS,"Huntsville, Ala."
"Bridges, Zo",50,BANDIT,6020,225,SO,Opelika HS,"Opelika, Ala."
"Brown, Blace",18,CB,6010,186,RS JR,Cherokee,"Canton, GA"
"Bryant, Alvin",28,WR,5100,175,RS FR,Dr. Phillips HS,"Orlando, Fla."
"Bryant, Jarvis",96,DT,6000,293,JR,West Florida HS,"Pensacola, Fla."
"Calhoun, Ethan",64,OL,6010,285,JR/TR,Central HS,"Phenix City, Ala."
"Calloway, Seth",94,DT,6030,252,SR,Ariton,"Ariton, AL"
"Chairs, Kelan",49,ILB,6000,218,SR/TR,St. Augustine,"Harvey, La."
"Chunn, Jordan",38,RB,6010,231,RS SR,Madison County,"Huntsville, Ala."
"Clark, Bret",23,WR,5110,179,FR,New Hope,"New Hope, Ala."
"Clemons, Rasool",52,DE,6050,241,SO/TR,South Aiken,"Newark, N.J."
"Cook, Cason",89,TE,6040,265,RS FR,Marengo Academy,"Linden, Ala."
"Corbett, Terrance",41,BANDIT,6040,221,RS FR,East Limestone HS,"Athens, Ala."
"Crowder, Tristan",54,OL,6040,314,SO,Carrollton HS,"Carrollton, Ga."
"Crumitie, Deontae",57,RG,6020,296,JR,Columbia HS,"Lake City, FL"
"Daughtry-Frye, Jabir",5,RB,5070,170,SO,Escambia,"Pensacola, Fla."
"Davis, Jeb",44,TE,6050,240,RS JR,Thomasville,"Thomasville, AL"
"Davis, Sidney",6,WR,5110,219,JR,Natchez HS,"Natchez, Miss"
"Douglas, Deondre",80,WR,6010,197,JR,James Clemens HS,"Madison, Ala."
"Dunlap, Terence",14,CB,5110,174,FR,Maplesville,"Maplesville, Ala."
"Dye, Jay",59,OC,6020,296,RS JR,Burke County,"Waynesboro, GA"
"Flakes, Andre",15,SPEAR,5080,200,SR,Milton,"Milton, FL"
"Folsom, Tron",29,LB,6020,218,RS SO,Bacon County HS,"Alma, Ga."
"Gaston, J.L.",69,OL,6040,295,SO,Monroe Academy,"Monroeville, Ala."
"Gentili, Nick",0,OL,6020,295,RS FR,Mosley,"Lynn Haven, Fla."
"Hallman, Richard",10,WR,6020,197,RS SO,Hillgrove HS,"Powder Springs, Ga."
"Harris, Jalen",9,CB,6000,188,RS SR,Northview,"Dothan, Ala."
"Harris, Travius",77,OL,6020,350,FR,Rickards,"Tallahassee, Fla."
"Henderson, Jamarius",9,RB,5110,200,RS SO/TR,Dale County,"Ozark, Ala."
"Hill, Gabe",42,TE,6020,245,RS JR,Gardendale HS,"Gardendale, Ala."
"Hudson, Blaine",53,OL,6040,260,FR,Elba HS,"Elba, Ala."
"Johnson, Bubba",81,WR,6040,210,FR,Lee-Montgomery,"Montgomery, Ala."
"Johnson, John",2,WR,5110,193,SR,Charles Henderson,"Troy, AL"
"Johnson, Keith",27,RB,5070,179,SR,Hueytown HS,"Hueytown, Ala."
"Johnson, Robert",34,FS,6000,202,RS JR,Hueytown HS,"Hueytown, Ala."
"Jones, Jeremiah",36,SPEAR,5110,189,RS FR,Bessemer City HS,"Bessemer, Ala."
"Jones, Marcus",8,CB,5090,170,FR,Enterprise,"Enterprise, Ala."
"Kaye, Cameron",74,LS,6020,220,RS FR,Gulf Coast HS,"Naples, Fla."
"Kelley, Kirk",78,OL,6040,310,RS SO,John Ehret HS,"Marrero, La."
"Knudsen, Kyler",39,S,6040,198,RS SO,North Gwinnett HS,"Sugar Hill, Ga."
"Langham, Preston",51,LS,5090,170,RS SO,Foley HS,"Foley, Ala."
"Lebbie, Sam",5,BANDIT,6030,244,RS SR,DeMatha Catholic,Washington D.C.
"Legassey, Evan",99,K/P,6030,195,FR,Tate,"Pensacola, Fla."
"Letton, Sam",17,WR,6020,226,SO,Walton HS,"Marietta, Ga."
