Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Aneke, Andrew",5,CB,6000,190,RS JR,Elkins Hs,"Missouri CIty, Texas"
"Antwine, Darrell",52,DT,5100,250,RS FR,Central HS,"Beaumont, Texas"
"Anyama, Easy",14,OLB,6030,240,SR/TR,Stafford HS,"Stafford, Texas"
"Awad, Sami",0,NT,6010,300,JR/TR,Duncanville,"Duncanville, Texas"
"Ballard, Robert",75,OT,6050,300,JR/TR,Johnson,"San Antonio, Texas"
"Banks, Jeff",41,DE,6060,240,RS SR,Killeen High School,"Killeen, Texas"
"Bedford, T.J.",0,WR,6030,195,FR,St. Paul's,"Covington, La."
"Brannon, John",0,ILB,6000,235,FR,Prosper,"Prosper, Texas"
"Brewer, Aaron",54,OC,6030,270,SO,Dallas Skyline HS,"Dallas, Texas"
"Brown, Robert",20,RB,5090,200,RS FR,Eisenhower HS,"Houston, Texas"
"Carlile, Caleb",0,OL,6050,305,FR,Waxahachie,"Waxahachie, Texas"
"Coleman, Markeveon",22,OLB,6020,215,RS FR,Dallas Skyline HS,"Dallas, Texas"
"Daniels, Gjemar",0,DL,5110,315,FR,Kennedale,"Kennedale, Texas"
"Daniels, Nikolas",30,MLB,6000,235,SO,Clear Creek HS,"League City, Texas"
"Davis, Ishmael",42,DE,6020,260,RS JR,Ellison HS,"Kileen, Texas"
"Dimery, Preston",0,DB,6000,185,FR,Tivy,"Kerrville, Texas"
"Dixon, Jhamar",31,S,5100,170,RS FR,Lehman HS,"Kyle, Texas"
"Eastling, Jordan",19,CB,5100,180,SO,Southwest DeKalb HS,"Decatur, Ga."
"Ezenagu, Xavier",32,S,5110,200,SR/TR,Berkner HS,"Richardson, Texas"
"Foster, Nic",0,OL,6040,275,FR,Arlington,"Arlington, Texas"
"French, Chris",87,TE,6040,245,SR/TR,San Clemente,"San Clemente, Calif."
"Fryrear, Jacob",61,C,6020,285,RS FR,Caldwell HS,"Caldwell, Texas"
"Gambrell, Cedric",64,OT,6060,290,RS JR,Cleveland HS,"Cleveland, Texas"
"Gipson, Jaylen",0,QB,6020,190,FR,Mexia,"Mexia, Texas"
"Gonzales, Joseph",19,QB,6000,205,RS FR,Deer Park,"Deer Park, Texas"
"Graham, Gavin",27,ILB,6010,225,SO,Anderson HS,"Austin, Texas"
"Griffin, Frankie",18,OLB,6000,205,RS JR,Klein Collins HS,"Spring, Texas"
"Grimes, Steven",97,DE,6020,240,FR,Channelview,"Channelview, Texas"
"Harris, LeDarrius",40,WR,5100,180,SO/TR,Fountain-Fort Carson,"Fountain, Colo."
"Harris, London",0,LB,6010,215,FR,Manvel,"Manvel, Texas"
