Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Allen, Alex",31,TE,6000,215,RS SO,Northshore,"Slidell, La."
"Arceneaux, Jake",16,QB,6020,190,RS FR,Ascension Episcopal,"Lafayette, La."
"Archie, SchDarren",31,DB,6020,185,FR,Brandon,"Brandon, Miss."
"Artigue, Stevie",36,PK,5100,185,JR,Lafayette,"Lafayette, La."
"Bailey, Brayden",26,LB,6020,215,JR/TR,Desert Hills,"St. George, Utah"
"Baker, Kendall",76,OL,6050,295,RS FR,McAdory,"McCalla, Ala."
"Barnes, Keenan",21,WR,6030,208,JR,Madison Central,"Madison, Miss."
"Barnes, Matthew",10,TE,6030,233,SR,Groesbeck,"Groesbeck, Texas"
"Bird, Aaron",86,PK/PT,6000,200,RS JR,Westgate,"New Iberia, LA"
"Booker, Tra'Vontae",99,DL,6040,330,SO,East Feliciana,"Jackson, La."
"Boudreaux, Jacques",59,LB,6010,228,SO,Holy Cross,"New Orleans, La."
"Boudreaux, Paul",0,LS,5100,240,FR,Brother Martin,"Harahan, La."
"Bradley, Ja'Marcus",2,WR,6010,195,RS SO,Choctaw County,"Ackerman, Miss."
"Brewster, Kordell",79,OL,6020,300,JR/TR,San Gorgonio,"San Bernardino, Calif."
"Britton, Maurice",0,RB,5080,185,FR,Bonnabel,"Kenner, La."
"Brooks, Blair",37,DB,6010,200,SO,Thibodaux,"Thibodaux, La."
"Brown, Alonzo",21,LB,6000,200,RS SO,Magee,"Magee, Miss."
"Brown, Errol",37,DB,6010,180,RS SO,St. Augustine,"New Orleans, La."
"Calais, Raymond",25,RB,5090,175,SO,Cecilia,"Breaux Bridge, La."
"Calloway, Lenard",0,WR,5100,155,JR,Covenant Christian Academy,"Houma, La."
"Cederquist, Christian",53,OL,6030,320,JR/TR,N/A,"Copenhagen, Denmark"
"Chapman, Daniel",62,DT,6010,261,RS FR,Atascocita,"Humble, Texas"
"Collins, Chris",28,WR,5080,182,RS JR,Dutchtown,"Prairieville, LA"
"Crawford, Travis",7,SS,5110,185,SR,Holy Cross,"New Orleans, LA"
"Cryer, Lorenzo",11,DB,6020,173,RS JR,Riverdale,"Jefferson, LA"
"Cunningham, Caden",69,OL,6000,275,RS SO,Acadiana,"Lafayette, La."
"Dace, Brijuan",41,LB,5090,202,FR,Quitman,"Shubuta, Miss."
"Davis, Jordan",3,QB,6030,205,RS JR,Klein Oak,"Spring, TX"
"Dillon, Joe",3,DE,6030,215,RS SO,Tylertown,"Tylertown, Miss."
"Dotson, Kevin",75,OL,6040,309,RS SO,Plaquemine,"Plaquemine, La."
"Duncan, Leon",30,WR,5070,150,SR,Pope John Paul II,"New Orleans, La."
"Fontenot, Noah",48,LB,6000,228,FR,St. Thomas Moore,"Lafayette, La."
"Ford, Raynard",11,TE,6050,294,RS SR/TR,Duval,"Washington, D.C."
"Franklin, LeRoy",29,WR,5110,165,RS FR,George Ranch,"Richmond, Texas"
"Fredericks, Kaleb",43,LB,6020,215,RS SO,Gulfport,"Gulfport, Miss."
"Gardner, Ferrod",34,LB,6020,215,SO/TR,Trotwood-Madison,"Dayton, Ohio"
"Gardner, Spencer",0,OL,6050,270,FR,Opelousas Catholic,"Opelousas, La."
"Goodacre, Adrian",77,OG,6040,317,RS JR,Carthage,"Carthage, TX"
"Gossett, Calif",85,WR,6050,188,RS FR,Pensacola,"Pensacola, Fla."
"Greenhouse, Kamar",9,DB,6010,175,RS SO,Marksville,"Marksville, La."
"Harrison, Kadon",19,QB,6030,180,FR,Memorial,"Port Arthur, Texas"
"Higgins, Bennie",15,DE,6000,223,SO/TR,Greenwood,"Greenwood, Miss."
"Hill, Zi'Yon",39,DT,6020,280,FR,Catholic,"New Iberia, La."
"Hoggins, Darius",23,RB,5070,176,SR,Monarch,"Coconut Creek, Fla."
"Holmes, Tanner",44,LB,6010,225,RS FR,Newton,"Newton, Texas"
"Horst, Grant",72,OC,6050,302,SR,Spanish Fort,"Spanish Fort, Ala."
"Howard, Denarius",16,DB,6000,190,SR/TR,N/A,"Greenwood, Miss."
"Howell, Cameron",84,WR,6020,190,RS FR,Airline,"Bossier City, La."
"Hudson, David",73,OL,6010,280,FR,Lafayette,"Lafayette, La."
"Hulett, Justin",39,LS,6000,190,SO/TR,Biloxi,"Biloxi, Miss."
"Hunt, Robert",50,OL,6050,328,RS SO,Burkville,"Burkville, Texas"
"Jackson, Jarrod",20,WR,6000,190,RS SO,East St. John,"Reserve, La."
"Jacquet, Michael",6,WR,6020,185,RS SO,Beaumont Central,"Beaumont, Texas"
"Jeffries, Jarvis",10,DE,6030,245,SR/TR,N/A,"Gastonia, N.C."
"Johnson, Ashton",36,RB,5100,198,SO,Woodlawn,"Baton Rouge, La."
"Johnson, Darryl",93,DL,6030,319,RS SO,Morgan City,"Morgan City, La."
"Johnson, Ja'len",40,DB,6030,200,FR,Central Catholic,"Morgan City, La."
"Jones, Andarious",94,DL,6020,270,RS SO,Northside,"Fort Smith, Ark."
"Jones, Andre",50,DE,6050,200,FR,Varnado,"Angie, La."
"Jones, Ken",51,LB,6020,230,FR,Westminster Christian,"Lafayette, La."
"Jones, Terrence",56,DE,6030,223,RS SO,Pearland HS,"Pearland, Texas"
"Kidd, LaDarrius",98,DT,6030,307,RS JR,Harrison Central,"Gulfport, MS"
"Kootsouradis, Seth",88,P,6020,185,RS FR,Crestview,"Crestview, Fla."
"Ladner, Jackson",57,LS,6000,210,JR,De La Salle,"New Orleans, La."
"Landry, Andre",47,TE,6050,250,FR,Acadiana,"Lafayette, La."
"LaPorte, Shay",45,LB,6000,223,JR,Vermilion Catholic,"Abbeville, La."
"Lee, Taboris",92,DT,6020,295,SR,Choctaw County,"Ackerman, MS"
"Lemoto, David",96,DT,6020,310,SR/TR,Canoga Park,"Los Angeles, Calif."
"Lewis, Levi",17,QB,5110,175,FR,Scotlandville Magnet,"Baton Rouge, La."
"Linden, Calvin",38,K,6000,221,JR,John Curtis,"River Ridge, La."
"Malbrue, Chaiziere",35,LB,6020,209,RS JR,Westminster Academy,"Carencro, LA"
"Malone, Ryheem",13,WR,5090,182,JR/TR,Bellaire,"Houston, Texas"
"Marks, Ken",67,OL,6040,311,RS SO,Beaumont,"Beaumont, Texas"
"McCollum, Troy",19,CB,6000,177,RS SR,North Miami,"Miami, Fla."
"Miller, D.J.",18,DB,5110,200,JR/TR,Cedar Hill,"Cedar Hill, Texas"
"Miller, Terik",38,LB,6000,215,RS SO,Escambia,"Pensacola, Fla."
"Miller, Trevara",4,DE,6010,273,SR/TR,Noxapater Attendance Center,"Noxapeter, Miss."
"Mitchell, Damar'ren",17,DB,5110,185,SO,Magnolia West,"Magnolia, Texas"
"Mitchell, Elijah",15,RB,5110,215,FR,Erath,"Erath, La."
