Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Armstrong, Reuben",36,S,5090,178,SO,Holy Savior Menard HS,"Alexandria, La."
"Arroyo, Travis",0,OL,6030,303,SO,Hendrickson,"Pflugerville, Texas"
"Badie, Bryant",0,WR,5100,180,FR,North Shore,"Houston, Texas"
"Baggs, Keaton",79,OT,6050,297,RS JR,Broken Arrow,"Broken Arrow, OK"
"Batiste, Brandius",4,WR,6010,170,SO,Welsh HS,"Roanoke, La."
"Bishop, Tajhnick",0,CB,6000,175,FR,Ashdown,"Ashdown, Ark."
"Bradley, Brennen",80,WR,6040,201,RS JR,St. Stanislaus,"Pass Christian, MS"
"Brown, Jarell",12,CB,5090,170,RS JR,Wylie,"Wylie, Texas"
"Brown, Xavier",17,WR,6000,186,JR,Duncanville HS,"Duncanville, texas"
"Carter, Perry",0,WR,5100,170,FR,St. Pius X,"Houston, Texas"
"Carter IV, Duke",26,RB,5090,185,SO,Lake Ridge HS,"Grand Prairie, Texas"
"Chuks, Greg",37,S,6010,196,SR/TR,Alief Elsik HS,"Houston, Texas"
"Clemons, Billy",84,TE,5100,210,RS SO,Natchitoches Central HS,"Natchitoches, La."
"Collins, Will",9,QB,6010,211,RS SO,MacArthur HS,"Lawton, Okla."
"Dallas, J.J.",0,CB,6010,195,JR/TR,Corpus Christi,"San Diego, Calif."
"Day, Chase",32,LB,6010,216,RS SO,The Dunham School,"Baton Rouge, La."
"Doss, Sterling",48,DE,6000,225,RS JR,Salmen,"Slidell, LA"
"Dunn, Jarred",5,OLB,6000,219,RS SR,Richwood HS,"Monroe, La."
"Easton, Walker",74,SP,6020,265,RS SO,Joplin HS,"Joplin, Mo."
"Elias, Jr., David",91,NT,6020,274,RS SR,Dutchtown HS,"Prairieville, La."
"Ellison, Trace",0,OT,6040,294,RS SO/TR,Centennial,"Frisco, Texas"
"Evans, Caleb",6,QB,6040,195,SO,Bishop Dunne HS,"Mansfield, Texas"
"Fiailoa, T.J.",68,OL,6040,340,RS FR,MacArthur HS,"Lawton, Okla."
"Fletcher, C.J.",0,WR,6010,182,FR,Lamar,"Houston, Texas"
"Ford, Craig",16,PK/PT,6020,168,RS JR,Paradis,"Paradis,La"
"Ford, Derion",99,DL,6000,290,JR,Starkville HS,"Starkville, Miss."
"Franklin, Semaj",41,CB,5100,169,SO,Bonnabel HS,"Kenner, La."
"Gardner, Matt",11,QB,6030,194,SO,St. Thomas Moore,"Lafayette, La."
"Gillespie, D'Marius",10,WR,6000,210,RS JR,Center Hill,"Olive Branch, MS"
"Gore, Derrick",0,RB,5110,215,SR/TR,Milford Academy,"Syracuse, N.Y."
"Green, Marcus",3,WR,5080,190,RS JR,North Pontotoc,"Pontotoc, MS"
"Griffith, David",14,OLB,6000,211,RS JR,Plano,"Plano, TX"
"Harding, Rashaad",0,LB,6010,215,FR,Carencro,"Lafayette, La."
"Harris, Demonde",0,DT,6020,283,FR,Edna Karr,"New Orleans, La."
"Hawley, Austin",0,S,6010,210,FR,Gladewater,"Gladewater, Texas"
"Heddins, Reagan",85,TE,6030,215,RS SO,South Grand Prairie HS,Grand Prairie
"Hedrick, Luke",34,S,6020,192,SO,West Forsyth HS,"Clemmons, N.C."
"Heim, Harrison",39,P,5100,176,JR/TR,Tomball HS,"Tomball, Texas"
"Hodoh, Jonathan",18,WR,6000,199,RS SO,Dutchtown HS,"Geismar, La."
"Holmes, Jakyle",0,ATH,5100,198,FR,Ponchatula,"Hammond, La."
"Houston Jr., Howard",92,DT,6010,300,SR/TR,Rock Bridge HS,"Riverside, Calif."
"Hubbard, Marcus",9,CB,5090,173,RS JR,Sachse,"Rowlett, TX"
"Husmann, Mason",93,DE,6040,230,SO,Aurora HS,"Aurora, Mo."
"Ingram, Nick",23,CB,5100,184,RS SO,Maumelle HS,"Little Rock, Ark."
"Jackson, Zachari",0,WR,6010,190,FR,Mansfield Lake Ridge,"Grand Prairie, Texas"
"Jackson Jr., Devin",73,OL,6040,333,RS SO,Edna Karr HS,"Marrero, La."
"Jenkins, Roland",2,S,5110,198,RS SR,McDonogh 35 HS,"New Orleans, La."
"Johnson, Tyler",94,DT,6030,283,JR/TR,White Knoll HS,"Red Bank, S.C."
"Koufie, Thomas",28,RB,5110,220,SR/TR,Kecoughtan HS,"Hampton, Va."
"Lamm, Tyler",88,TE,6040,230,SO,Holy Cross,"Metairie, La."
"Latin, Logan",29,DB,5090,170,SO,Lamar HS,"Houston, Texas"
"Louis Jr., Donald",58,DL,6020,271,RS SO,Neville HS,"Monroe, La."
"Luckett, Ben",24,RB,5110,214,RS JR,Palestine,"Palestine, TX"
"Luckett, D'Marius",42,DB,6000,165,JR,Velma Jackson,"Sharon, Miss."
"Marbles, Kendrick",0,CB,5100,165,FR,Neville,"Monroe, La."
"Marshall, Lee",54,LB,6000,211,RS SO,Wossman HS,"Monroe, La."
"Maxwell IV, Frank",15,QB,6030,190,RS SO,Delhi Charter School,"Delhi, La."
"McCray, Markis",12,WR,5100,165,JR,Trinity HS,"Euless, Texas"
"McGuire, Cody",47,ILB,6020,231,RS JR,Sterlington,"Monroe, LA"
"Miller, Sam",98,DL,6030,219,RS SO,Canton HS,"Canton, Texas"
"Moye, Ben",66,OL,6030,284,RS SO,Sachse HS,"Garland, Texas"
"Myers, Javin",0,RB,5100,185,FR,Woodlawn,"Baton Rouge, La."
"Offray, Juwan",1,DB,6010,174,SR/TR,Karr,"New Orleans, La."
"Pederson, Josh",86,TE,6040,210,SO,Blue Valley North HS,"Overland Park, Kan."
"Ramsey, Noah",71,OL,6040,285,SO,Southeast Whitfield HS,"Dalton, Ga."
"Ratcliff, Logan",0,RB,5100,180,SO,West Ouachita,"West Monroe, La."
"Reynaud, Korian",43,S,5110,180,RS SO,Destrehan,"Destrehan, La."
"Reynolds, Bobby",56,OL,6020,286,RS SO,Keller HS,"Keller, Texas"
"Rodrigue, Darius",30,WR,5100,181,SO,Holy Cross HS,"New Orleans, La."
"Savage, Joquarius",0,OL,6070,365,JR/TR,Neville,"Monroe, La."
"Shelby, Ty",44,DBE,6050,225,SO,Friendswood HS,"Houston, Texas"
"Sibley, Chris",0,S,6030,195,SO,Red River,"Coushatta, La."
"Sisco Jr., Cortez",7,S,5110,199,RS SO,DeSoto Central HS,"Southaven, Miss."
"Smith, Garrett",13,QB,6000,211,RS JR,Smithson Valley,"Spring Branch, TX"
"Smith, Hunter",0,LB,6000,220,FR,West Feliciana,"St. Francisville, La."
"Spiller, Sloan",0,TE,6020,230,JR/TR,Katy,"Katy, Texas"
"Starks, Kerry",97,DE,6020,235,SO,John Ehret HS,"Marrero, La."
"Straughter, Corey",0,CB,5110,171,FR,Neville,"Monroe, La."
"Sutton, Jr., Frank",75,OG,6030,302,RS SR,Forest Hill HS,"Jackson, Miss."
"Thlang, Brian",70,OG,6010,299,RS JR,Palestine,"Palestine, TX"
"Thomas, Eastwood",64,OL,6050,304,RS SO/TR,Jackson,"Jackson, Ala."
"Thomas, Tralon",0,LB,6020,218,FR,Ville Platte,"Ville Platte, La."
"Thompson, Wesley",6,S,6010,193,RS JR,Chapel Hill,"Tyler, TX"
"Torbert, Dakota",0,OL,6050,310,FR,Destrehan,"St. Rose, La."
"Townsend, Aaron",31,S,6000,175,RS JR,Timber Creek,"Fort Worth, TX"
"Tucker, Caleb",8,LB,6020,231,RS SR/TR,Ouachita Parish HS,"Monroe, La."
"Turner, Collin",0,S,5110,190,JR/TR,Martin,"Arlington, Texas"
"Turner, R.J.",2,WR,6010,197,JR,Natchitoches Central HS,"Natchitoches, La."
"Vaughn, Austin",33,RB,5090,226,RS SO,Menard HS,"Alexandria, La."
"Veasley, Jaylen",90,DL,6020,278,RS SO,Rockwall HS,"Rockwall, Texas"
"Wadley, Trequerrios",35,S,5090,177,RS SO,Ouachita Parish HS,"Monroe, La."
"Warren, Shaquille",45,DE,6020,246,RS JR,Chapel Hill,"Tyler, TX"
"Webster, Traveion",0,S,6010,205,FR,Longview,"Longview, Texas"
"White, Kayin",25,RB,5110,222,SO,Parkview Baptist,"Baton Rouge, La."
"Williams, Brian",1,WR,6040,213,RS SR,Bogalusa HS,"Bogalusa, La."
"Williams, Chris",10,CB,6000,189,SO,Summer Creek HS,"Houston, Texas"
"Williams, Rhoy",0,S,6030,195,JR/TR,Yazoo County,"Vaughan, Miss."
"Williams, Samuel",72,OL,6070,275,RS FR,Bearden HS,"Fordyce, Ark."
"Wilson, Re'Lik",53,LB,5090,222,SO,Franklinton HS,"Franklinton, La."
"Wilson, Re'Naz",55,LB,5090,217,RS FR,Franklinton HS,"Franklinton, La."
