Name,Number,Position,Height,Weight,Class,High School/JUCO,Hometown
"Albritton, Roy",91,DT,6020,340,RS FR,Pensacola,"Pensacola, Fla."
"Alexander, Ryan",64,OL,6030,290,RS FR,Jireh Prep,"Floral Park, N.Y."
"Alford, Dewayne",22,DE/OLB,6030,240,SR,Nansemond River High,"Suffolk, Va."
"Alford, Tre",78,NT,5100,280,RS JR,Hillcrest,"Tuscaloosa, Ala."
"Allen, D.J.",41,CB,6010,190,SO/TR,Riverdale HS,"Riverdale, Ga."
"Allen, Randy",20,DE/OLB,6020,245,SR,Inderkum High,"Sacramento, Calif."
"Ankerson, Brian",66,OL,6010,265,FR,Theodore HS,"Theodore, Ala."
"Applewhite, Deshawn",25,WR,5090,160,RS FR,Lyman HS,"Altamonte Springs, Fla."
"Ayoola, Dami",4,RB,5100,205,SR/TR,St. Thomas Aquinas,"Ft. Lauderdale, Fla."
"Barge, Bull",8,LB,5100,230,SO,Colquitt County,"Moultrie, Ga."
"Barr, Raphael",81,WR,6010,210,JR/TR,Etiwanda HS,"Fontana, Calif."
"Barrette, Sean",51,OL,6020,305,SO/TR,John Curtis HS,"Metairie, La."
"Befort, Zach",56,DT,6020,290,JR/TR,Bishop Carroll HS,"Wichita, Kan."
"Brown, Sean",75,DL,6020,305,FR,Pleasant Grove HS,"Pleasant Grove, Ala."
"Buchanan, Roman",23,LB,6020,220,SR,Daleville,"Enterprise, Ala."
"Buggs, Malcolm",9,CB,5090,195,RS SO,Opelika,"Opelika, AL"
"Buie, Jalin",20,RB,5070,165,FR,Trinity Christian Academy,"Jacksonville, Fla."
"Burt, Clay",68,OL,6040,280,JR/TR,Liberty HS,"Bixby, Okla."
"Butler, Caleb",29,DE/OB,6040,280,JR,Enterprise,"Enterprise, AL"
"Butler, Cole",19,QB,5100,190,FR,Cottage Hill Christian Academy,"Theodore, Ala."
"Bynes, James",21,TE,6030,240,SR/TR,Booker T. Washington,"Miami, Fla."
"Cole, Riley",33,LB,6030,225,FR,Oneonta HS,"Oneonta, Ala."
"Collier, Sa'Mory",17,WR,5110,165,JR/TR,Owasso HS,"Owasso, Okla."
"Crosby, Zac",10,TE,6030,215,FR,The Bolles School,"Yulee, Fla."
"Daniels, D.J.",34,S,5100,170,FR,Chamberlain HS,"Riverview, Fla."
"Daniels, Jaylan",4,DE,6030,220,RS JR,Dooly County,"Vienna, Ga."
"Davis, Dallas",11,QB,6020,215,RS SO,Rutherford,"Panama City, FL"
"Davis, Zach",50,OL,6060,275,RS FR,Lauderdale County HS,"Rogersville, Ala."
"Dent, Quinton",13,CB,6030,175,SR/TR,Haines City High,"Haines City, FL"
"Earl, Devon",7,CB,5100,190,SR,Hoover,"Hoover, Ala."
"Esposito, Dominic",76,OL,6010,305,JR/TR,West Springfield HS,"Springfield, Va."
"Everett, Gerald",12,TE,6026v,227v,SR/TR,Columbia HS,"Lithonia, Ga."
"Farni, Keller",99,PK,5110,225,FR,Murphy HS,"Mobile, Ala."
"Fields, Nick",90,DL,6010,270,FR,Dothan HS,"Dothan, Ala."
"Fisher, Noah",57,OT,6040,295,RS SO,Decatur,"Decatur, GA"
"Flott, Bobby",15,CB,6010,175,FR,Baker HS,"Mobile, Ala."
"Fluellen, Marice",43,CB,5100,175,SO/TR,Northview HS,"Dothan, Ala."
"Forde, Wade",37,OLB/S,6030,230,RS JR,Vanguard,"Ocala, Fla."
"Foster, Steven",74,OG,6040,315,RS SR,Demopolis,"Demopolis, Ala."
"Francis, Maaseiah",85,TE,6030,205,SO/TR,Norcross HS,"Lithonia, Ga."
"Gardner, David",84,WR,6010,180,RS FR,Atlantic Coast HS,"Jacksonville, Fla."
"Garvin, Cole",17,QB,6010,210,RS SO/TR,Sandy Creek,"Tyrone, Ga."
"Gipson III, Jimmie",40,DE,6000,255,SR/TR,Olive Branch,"Coldwater, Miss."
"Godwin, Rowan",56,OL,6040,275,RS FR/TR,Providence Christian School,"Dothan, Ala."
"Grayer, Desean",17,LB,6020,255,SO,Clay,"Green Cove Springs, Fla."
"Grimsley, Tyler",69,OL,6000,290,RS SO/TR,Clay HS,"Green Cove Springs, Fla."
"Harris, Sam",83,WR,5070,175,SO,Spanish Fort HS,"Spanish Fort, Ala."
"Henderson, Chris",31,DE,6040,215,FR,Lovejoy HS,"Hampton, Ga."
"Houston, Konnor",92,DL,6020,265,FR,Army Prep,"Buford, Ga."
"Jackson, Kalen",6,S,6010,210,SR/TR,Magee,"Magee, Miss."
"Johnson, Wayne",25,CB,5100,170,SR/TR,N/A,"Columbus, Ga."
"Johnson, Xavier",28,RB,5110,180,RS JR,Chamberlain,"Tampa, Fla."
"Kutchera, Kevin",80,WR,6030,205,SR,Granada HS,"Livermore, Calif."
"Lane, Quinton",8,CB,6010,190,RS JR/TR,Ackerman,"Ackerman, Miss."
"Lanier, Luke",50,DE/OLB,5110,230,RS SR,Thomasville,"Thomasville, Ala."
"Lawrence, Nigel",16,DB,5110,185,SO,Smiths Station,"Smiths, Ala."
"Lewis, Chris",3,WR,5070,175,SR,McGill-Toolen,"Mobile, Ala."
"Littles, Jeremiah",42,LB,6010,235,FR,Wayne County HS,"Jesup, Ga."
"London, Antonio",26,CB,6000,190,RS JR,Pelham,"Pelham, Ala."
"Louden, Harrison",65,OC,6040,290,RS JR,McGill-Toolen,"Mobile, Ala."
"Magee, Josh",1,WR,5110,175,SR,Hoover HS,"Hoover, Ala."
"Marshall, Easton",29,LS,6010,235,SR/TR,Moss Point,"Moss Point,Ms"
"Mason, Parker",86,WR,5110,200,SO,Gulf Shores HS,"Orange Beach, Ala."
"McCray, Jordan",18,WR,6050,180,FR,North Cobb HS,"Marietta, Ga"
"McDonald, Khalil",47,LB,5100,210,RS FR,James Clemens HS,"Madison, Ala."
"McKee, Brandon",39,P/PK,6010,190,SR,South Forsyth,"Cumming, Ga."
"McKenzie, Steve",73,OL,6010,310,RS SR,Stephenson,"Lithonia, Ga."
"McWilliams, Rocel",98,DE,6030,235,RS SO/TR,West,"Pensacola, Fla."
"Middleton, Finesse",57,DE,6010,230,RS JR/TR,Gadsden,"Gadsden, Ala."
"Mills, Darian",24,CB,5110,190,RS SO,Winter Haven,"Winter Haven, FL"
"Milner, Chason",28,DE/OLB,6030,245,RS SO,Spanish Fort,"Spanish Fort, AL"
"Moore, Deonta",35,RB,5100,205,RS SO,Huntsville,"Owens Cross Roads, AL"
"Moore, Rashad",33,TE,6010,240,JR/TR,N/A,"Biloxi, Miss."
"Orth, Evan",16,QB,6020,195,SO/TR,Fletcher,"Neptune Beach, Fla."
"Patterson, Gavin",89,PK,5070,200,SO,Bourbonnais,"Bourbonnais,IL"
"Pearsall, Christian",26,WR,5110,190,RS SO,UMS-Wright Prep,"Mobile, AL"
"Powell, Grant",6,TE,6020,230,RS SR,Christian Brothers Academy,"Germantown, Tenn."
"Reaves, Jeremy",1,CB,5110,185,JR,Pensacola Catholic,"Pensacola, FL"
"Reinkemeyer, Andrew",7,TE,6040,245,JR/TR,Blue Valley HS,"Overland Park, Kan."
"Revell, Milton",27,RB,5080,200,SR/TR,Bolles School,"Jacksonville, Fla."
"Robinson, Carlos",30,RB,5110,215,RS JR,Enterprise,"Enterprise, Ala."
"Robinson, John",44,ILB,6010,220,RS JR/TR,Hoover,"Hoover, Ala."
"Robinson, Neiko",14,S,6000,185,JR/TR,Northview HS,"Century, Fla."
"Robinson, Ryan",30,CB,5070,170,RS FR,George Washington Carver HS,"Montgomery, Ala."
"Robinson, T'Qwan",38,S,6010,190,RS JR,Walton HS,"Marietta, Ga."
"Santiago, Nelson",58,OL,6030,285,RS FR,Oakleaf HS,"Orange Park, Fla."
