Name,Number,Position,Height,Weight,Class,Hometown
Matt Keeth,--,PK,6000,165,FR,"Mountain View, CA"
Michael Roth,--,WR,6050,185,FR,"Woodinville, WA"
B.J. Nard,1,DB,6020,212,SR,"Bakersfield, CA"
Jerek Rosales,2,DB,6000,188,SR,"Hercules, CA"
Kevin Griffin,3,DB,6010,190,SR,"El Cerrito, CA"
Kyle Lewis,4,RB,6000,207,SR,"San Marcos, CA"
Lepi Lataimua,5,DB,5080,195,FR,"San Bruno, CA"
Joe Protheroe,5,FB,6000,230,SR,"Concord, CA"
J.J. Koski,6,WR,6020,200,SO,"Danville, CA"
Kitu Humphrey,8,DB,5100,185,SO,"Los Angeles, CA"
Dominic Frasch,9,DB,5100,185,JR,"Bakersfield, CA"
Khaleel Jenkins,10,QB,6020,214,JR,"San Diego, CA"
R.J. Mazolewski,10,LB,6000,225,SR,"Mission Viejo, CA"
Tully McCalister,11,DB,6000,200,JR,"Palo Alto, CA"
Jake Smeltzer,11,WR,6030,205,SO,"Coto De Caza, CA"
Mason Hurst,12,DB,6010,190,FR,"Loomis, CA"
Kyle Reid,12,QB,6010,205,FR,"Los Gatos, CA"
Conor Bruce,13,QB,6000,190,FR,"Bakersfield, CA"
Darren Adjei,14,DB,6030,220,SR,"Bakersfield, CA"
Anders Turner,15,LB,6010,215,JR,"Alamo, CA"
Charlie Davis,16,LB,6020,230,SR,"San Leandro, CA"
Mark Reza,17,DB,6000,187,SO,"Huntington Beach, CA"
Aaryn Bouzos,18,DB,5090,190,SR,"La Mirada, CA"
Jake Jeffrey,18,QB,6000,180,FR,"Folsom, CA"
Ryan McNab,19,WR,5100,160,FR,"Northridge, CA"
Bradley Mickey,20,DB,5110,185,FR,"Arroyo Grande, CA"
Alex Suchesk,20,RB,5100,190,JR,"Ladera Ranch, CA"
Kam Dennis,21,DB,5110,191,SO,"La Palma, CA"
Malcolm Davis,22,RB,5080,175,JR,"Chicago, IL"
Aaron Johnson,22,DB,6020,190,JR,"Fresno, CA"
Raven Middleton,23,RB,6020,211,SO,"National City, CA"
Tre Green,24,RB,5100,190,FR,"Folsom, CA"
Daniel Fox,25,DB,5110,175,FR,"Thousand Oaks, CA"
Broc Mortensen,25,RB,6010,195,FR,"Ventura, CA"
Matthew Spigelman,25,RB,5110,185,FR,"Half Moon Bay, CA"
Peyton Witcher,26,DB,5090,180,SO,"Nipomo, CA"
Drew Hernandez,27,RB,5090,180,FR,"Antioch, CA"
Matt McNab,27,DB,5070,185,SR,"Northridge, CA"
Chuby Dunu,28,RB,6000,188,FR,"Clovis, CA"
Zach Fuchs,28,DB,5100,185,SO,"Redondo Beach, CA"
Carter Nichols,29,DB,5110,185,SO,"Danville, CA"
Mekai Sheffie,30,DB,5100,185,JR,"Los Angeles, CA"
Blake Carbonneau,31,DB,6000,187,FR,"Redwood City, CA"
Ben Hakimi,31,DB,5090,160,FR,"Bakersfield, CA"
Duy Tran-Sampson,31,RB,6020,210,FR,"Claremont, CA"
Cameron Crump,32,DB,6020,190,FR,"Stockton, CA"
Trey Nahhas,32,RB,6020,215,SO,"Sacramento, CA"
Ryan Boehm,33,LB,6040,225,FR,"Temecula, CA"
CJ Cole,33,RB,6000,195,FR,"Santa Maria, CA"
Jacob Naschke,33,RB,5090,190,FR,"Woodland, CA"
Joshua Jeter,34,RB,5050,175,SR,"Paso Robles, CA"
Mason Montgomery,34,LB,6000,240,SR,"Ashland, OR"
Jared Mohamed,35,FB,6000,227,SR,"Brawley, CA"
Joey Ruiz,35,LB,6010,228,FR,"Selma, CA"
Patrick Walker,36,LB,6010,220,JR,"Sacramento, CA"
Will Gallo,37,RB,6010,215,SO,"Modesto, CA"
Jayson Lee,37,LB,6000,205,SO,"Oakhurst, CA"
Lance Vecchio,38,LB,6020,215,FR,"Bellflower, CA"
Will Semone,39,RB,5090,195,FR,"Oakdale, CA"
Grant Alton,40,LB,6020,225,JR,"Arroyo Grande, CA"
Noah Thompson,41,LB,6020,215,SO,"Rancho Santa Margarita, CA"
Matt Shotwell,42,LB,6010,225,FR,"Goleta, CA"
Reagan Enger,43,TE,6030,245,SR,"Bakersfield, CA"
Miles Williams,44,DL,6010,255,SR,"Anaheim, CA"
Nik Navarro,46,LB,6010,235,SO,"Fontana, CA"
Aaron Cooper,47,DB,6020,185,FR,"Lancaster, CA"
Nick White,48,TE,6060,207,FR,"Georgetown, CA"
De'Jon Stuckey,50,OL,6030,300,FR,"Los Angeles, CA"
Ben Sandrin,51,LB,6020,205,FR,"Centennial, CO"
Fenton Will,52,LB,6000,220,FR,"Santa Maria, CA"
Tiasamo Savusa,54,DL,6010,303,JR,"San Diego, CA"
Jack Ferguson,55,DL,6020,270,SR,"San Luis Obispo, CA"
Myles Cecil,56,DE,6030,245,FR,"Panorama City, CA"
Stanton Manumaleuna,59,DL,6000,300,FR,"Riverside, CA"
Tyler Whisenhunt,60,OL,6040,270,SO,"San Ramon, CA"
Paul Trujillo-Langdon,61,OL,6010,285,SO,"Lytle Creek, CA"
Harry Whitson,62,OL,6050,290,JR,"Redondo Beach, CA"
Joey Kuperman,63,OL,6010,300,SR,"San Diego, CA"
Drew Gilmore,64,OL,6040,255,FR,"Vallejo, CA"
Peter Moa,64,DL,6020,270,JR,"Manteca, CA"
Sam Ogee,65,OL,6040,280,JR,"Livermore, CA"
Colin Goebel,66,OL,6040,273,SR,"Lisle, IL"
Junior Gaitan,67,OL,6040,275,FR,"Santa Ana, CA"
Josh Wallunas,69,OL,6030,250,FR,"Diablo, CA"
Zach Hickman,70,OL,6020,265,JR,"Rancho Santa Margarita, CA"
Zach Shallcross,71,OL,6040,280,JR,"Anaheim, CA"
Wade Willet,72,OL,6050,280,FR,"Brentwood, CA"
Nico DiFronzo,73,OL,6030,275,FR,"Newbury Park, CA"
Sawyer Sobelman,77,OL,6030,270,FR,"Elk Grove, CA"
David Chellsen,79,OL,6050,275,SO,"San Luis Obispo, CA"
Alex Egurbide,80,WR,6050,215,JR,"Westlake Village, CA"
Quentin Harrison,81,WR,6020,195,FR,"Chula Vista, CA"
Eli Shelton,82,WR,5100,165,FR,"Chula Vista, CA"
Chris Volek,83,WR,5100,165,FR,"Diamond Springs, CA"
Dan Sanchez,84,WR,6000,185,SO,"Chula Vista, CA"
Victor Beglitsoff,85,WR,6010,205,JR,"Millbrae, CA"
Alex Vega,87,PK,5090,180,JR,"Gilroy, CA"
Casey Sublette,88,PK,5100,180,JR,"Redondo Beach, CA"
Sean Pascoe,89,WR,6040,193,FR,"Bakersfield, CA"
Orlando Yepez,89,WR,6000,190,FR,"Salinas, CA"
Caleb Melton,90,DL,6030,265,SR,"Placerville, CA"
