Name,Number,Position,Height,Weight,Class,Hometown
Nate Stinson,2,RB,5070,185,FR,"San Diego, CA"
Elijah Marks,3,WR,6010,175,SO,"Goodyear, AZ"
LeAndre Vaughn,4,S,5100,170,JR,"Avondale, AZ"
Myles Dumas,5,CB,6010,175,FR,"San Diego, CA"
Aaron Manning,6,RB,5080,185,FR,"Rancho Cucamonga, CA"
Byron Evans,7,LB,6010,235,JR,"Phoenix, AZ"
Emmanuel Butler,8,WR,6030,210,SO,"Phoenix, AZ"
Hunter Correll,9,QB,6010,180,FR,"San Diego, CA"
Marc Cooper,10,WR,6010,185,FR,"Eagle, ID"
Blake Kemp,10,QB,6010,207,--,"Chandler, AZ"
Jake Casteel,11,LB,5110,200,FR,"Tucson, AZ"
Cole Norris,12,QB,6010,200,FR,"Newport Beach, CA"
Kendyl Taylor,13,RB,5100,210,JR,"Chandler, AZ"
Griffin Roehler,14,PK,5110,205,FR,"Litchfield Park, AZ"
Case Cookus,15,QB,6040,200,FR,"Thousand Oaks, CA"
Cole Sterns,16,CB,5110,175,FR,"Tucson, AZ"
Delshawn McClellon,17,WR,5090,175,--,"Long Beach, CA"
Mo White II,17,CB,5110,180,SO,"Scottsdale, AZ"
Dan Galindo,18,WR,6010,185,SO,"Phoenix, AZ"
Dallis Todd,19,WR,6050,201,--,"La Mirada, CA"
Maurice Davison,20,CB,5090,160,FR,"Anaheim, CA"
William Morehand,21,WR,0,0,--,"Lakewood, CA"
Joe Logan,22,RB,5110,200,FR,"Buckeye, AZ"
Corbin Jountti,23,RB,6010,200,SO,"Bakersfield, CA"
Kam'ron Johnson,25,S,6010,200,FR,"Scottsdale, AZ"
Jairus Woodson,26,S,6010,180,FR,"Pleasanton, CA"
Ju'Shawnte Spann,27,CB,6010,180,FR,"San Diego, CA"
Wes Sutton,28,CB,6010,175,SO,"Chandler, AZ"
Khalil Dorsey,29,S,5090,170,FR,"Ontario, CA"
Ryan Phillippe,30,S,6020,190,FR,"Euless, TX"
Brandon Worthy,31,LB,5100,190,SO,"Murrieta, CA"
Andrew Gose,32,CB,5110,160,FR,"Bellflower, CA"
Devon McPeek,33,S,5110,170,JR,"Tucson, AZ"
Billy McEowen,34,LB,6020,215,FR,"Glendale, AZ"
Desi Ethridge,35,S,5110,190,FR,"Mesa, AZ"
Kendall Greer,36,S,0,0,--,"Etiwanda, CA"
Brandon Long,36,RB,0,0,--,--
Tristen Vance,37,LB,6010,215,FR,"Chandler, AZ"
Taylor Powell,38,LB,6010,240,FR,"Tucson, AZ"
Jabril Taylor,39,RB,5060,180,JR,"Buckeye, AZ"
Jacob Thompson,39,LB,0,0,--,--
Keith Graham,40,S,5110,185,JR,"Phoenix, AZ"
Luis Aguilar,41,PK,6010,190,FR,"Nogales, AZ"
Xavier Stephens,42,LB,6010,230,JR,"Tulare, CA"
Justin Madrola,43,FB,0,0,--,"Phoenix, AZ"
Jake Thomas,44,LB,6010,235,JR,"Mesa, AZ"
Roland Chavez,45,TE,6030,215,FR,"Clovis, NM"
Clarence Smith,45,DE,6020,237,--,"Buckeye, AZ"
Logan Palmer,47,DE,6040,235,SO,"Tempe, AZ"
Brian Barry,48,S,0,0,--,"Santa Clarita, CA"
Dylan Kegans,48,PK,6020,200,JR,"Claremont, CA"
Andrew Robateau,50,DL,6030,275,SR,"Moreno Valley, CA"
Jake Skadeland,50,LB,6010,205,FR,"Glendale, AZ"
Javere Smith,51,DL,6020,250,SO,"Lake City, FL"
Luke Rudolph,52,OL,6040,275,FR,"Scottsdale, AZ"
Jalen Cook,53,S,6010,185,FR,"Goodyear, AZ"
Lorenzo Melvin,54,DL,6020,230,JR,"Maricopa, AZ"
Blake Porter,55,OL,6010,260,SO,"Newhall, CA"
Deon Young,56,DL,6010,265,SO,"Inglewood, CA"
Kaimi Batoon,57,LB,0,0,--,"Henderson, NV"
Nick Davis,58,OL,6030,265,SO,"Tucson, AZ"
Andy Rodriguez,59,LS,5100,200,SO,"Palmdale, CA"
Owen Sweeney,60,DL,0,0,--,"Scottsdale, AZ"
Cole Habib,61,OL,6050,255,FR,"San Diego, CA"
Jamison Pruitt,62,OL,6040,290,FR,"Glendale, AZ"
Shane Susic,63,OL,6020,270,FR,"Scottsdale, AZ"
