Name,Number,Position,Height,Weight,Class,Hometown
Cody Demps,1,WR,6040,210,SR,"Elk Grove, CA"
Jordan Thomas,2,DB,6000,195,FR,"Sacramento, CA"
Kolney Cassel,3,QB,6020,200,JR,"Yakima, WA"
Demetrius Warren,4,RB,5060,175,SR,"Fresno, CA"
Isiah Hennie,5,WR,5070,155,JR,"San Diego, CA"
Andre Lindsey,7,WR,6030,190,JR,"Stockton, CA"
Caelan Barnes,8,DB,6010,195,FR,"Sacramento, CA"
Malcolm Thomas,9,LB,6000,215,SO,"Roseville, CA"
Austin Clark,10,DB,5110,195,JR,"Cottonwood, CA"
Stone Sander,11,TE,6040,235,JR,"Auburn, CA"
Damon Jackson,12,WR,5100,170,SO,"Tracy, CA"
Jaelin Ratliff,13,WR,5100,170,SO,"Stockton, CA"
Mister Harriel,15,DB,6000,190,SO,"Sacramento, CA"
Daniel Kniffin,16,QB,6020,205,JR,"Fort Worth, TX"
Nolan Merker,17,QB,5100,185,SO,"Elk Grove, CA"
Roman Ale,18,QB,6020,170,FR,"Carson, CA"
Nick Crouch,19,DB,6000,195,SR,"Trabuco Canyon, CA"
Nicholas Payne,20,DB,6010,190,SR,"San Diego, CA"
Marcus Green,21,DB,5090,185,JR,"Elk Grove, CA"
Jeremiah Reddick,22,TE,6000,215,SO,"Bakersfield, CA"
Dre Terrell,23,DB,5070,190,SO,"Elk Grove, CA"
Anthony Payne,24,DB,6010,195,SR,"San Diego, CA"
Jordan Robinson,25,RB,5110,185,SR,"Chino Hills, CA"
Ernest Jenkins,26,DB,6000,180,JR,"Sacramento, CA"
Quincy Jountti,27,RB,5100,200,FR,"Bakersfield, CA"
Manny Scott-Anderson,29,DB,5110,200,SO,"Vallejo, CA"
Luke Bussey,30,DB,5110,190,SO,"Granite Bay, CA"
Tamas Stewart,31,DB,6000,195,JR,"Rialto, CA"
Kevin McKinney,32,LB,6000,230,FR,"Rancho Santa Margarita, CA"
Remmy Nerio,33,DB,6020,195,FR,"Riverside, CA"
Marcus Bruce,34,DB,5100,180,SO,"Bakersfield, CA"
Riley Condon,35,DB,6000,195,FR,"Brentwood, CA"
Elijah Wallace,36,DB,6000,205,SO,"Victorville, CA"
John Wagstaff,37,LB,6030,220,SO,"Sacramento, CA"
Nick Melchor,38,DB,6000,185,JR,"San Jose, CA"
Allen Perryman,39,DB,6010,180,FR,"Lemoore, CA"
Tyree Thompson,40,LB,6030,225,FR,"Los Angeles, CA"
Casey Longaker,41,DL,6000,250,FR,"Petaluma, CA"
Ernie Timoteo,42,RB,6020,225,FR,"Richmond, CA"
Josiah Erickson,44,LB,6030,230,FR,"San Dimas, CA"
Jacob Bowman,45,LB,6010,230,SR,"Palmdale, CA"
Morgan Nicholas,46,WR,6040,175,FR,"Winters, CA"
Michael Wright,47,DB,5100,195,FR,"Visalia, CA"
Ian Lauvai,48,LS,5110,250,FR,"Corona, CA"
Martin Robles,49,TE,6040,225,FR,"Live Oak, CA"
Brandon Boccaleoni,50,OL,6030,290,FR,"Rohnert Park, CA"
Taylor Tappin,51,OL,6040,290,SO,"Windsor, CA"
Pj Johnson,52,DL,6030,300,SO,"Sacramento, CA"
Ivan Espiritu,53,OL,6020,275,SO,"Reedley, CA"
Tyler Meteer,54,LB,6020,220,JR,"Loomis, CA"
Manoah Pearson,55,LB,6000,225,SO,"Carson, CA"
Xavier Hernandez,56,LB,6030,220,FR,"Villa Park, CA"
Tanner Kuljian,57,PK,5100,170,FR,"Temecula, CA"
Tyler Hawkins,58,DL,6030,250,FR,"Palm Springs, CA"
Wyatt Ming,59,DL,6020,310,SO,"Acampo, CA"
Nick Bianco,60,OL,6020,285,FR,"Visalia, CA"
Jaime Medina,61,P,6000,240,FR,"San Diego, CA"
Blake Cuzzopoli,62,P,6000,210,FR,"Mission Viejo, CA"
Blake Cuzzupoli,62,P,6000,210,FR,--
John Canes,63,PK,5110,180,JR,"Hollister, CA"
