Name,Number,Position,Height,Weight,Class,Hometown
Ramon Vargas,1,WR,6030,191,SR,"Huntington Beach, CA"
Delvin Alexander,2,CB,6010,205,SR,"San Diego, CA"
Keelan Doss,3,WR,6030,206,SO,"Alameda, CA"
Corey Collins,4,WR,5080,160,SR,"Los Angeles, CA"
Isiah Olave,5,CB,5100,190,SO,"San Ysidro, CA"
Luke Williams,6,WR,6020,205,SR,"Monrovia, CA"
Brandyn Lee,7,WR,6000,190,SO,"Santa Clarita, CA"
Keleen Culberson,8,S,5110,205,SR,"Corona, CA"
C.J. Spencer,8,QB,6020,205,SO,"Sacramento, CA"
Chris Martin,9,WR,6010,185,SR,"Chula Vista, CA"
Manusamoa Luuga,10,RB,5090,215,SR,"Long Beach, CA"
Brandon Weaver,10,DL,6030,240,JR,"Vacaville, CA"
Nas Anesi,11,LB,6020,225,FR,"Carson, CA"
Jared Harrell,11,WR,6020,200,FR,"Los Angeles, CA"
Brock Dale,12,QB,6000,195,JR,"Long Beach, CA"
Ben Scott,13,QB,6030,203,SR,"Vacaville, CA"
Nico Hillier,14,QB,6030,205,FR,"Arcadia, CA"
Colby Wadman,15,P,6010,213,SR,"Thousand Oaks, CA"
Erron Duncan,16,RB,5090,190,FR,"Stockton, CA"
Justin Clarkston,17,WR,6030,214,FR,"Moreno Valley, CA"
Christian Skeptaris,18,TE,6030,235,FR,"Scottsdale, AZ"
Mitchell Sheppard,19,WR,6030,205,JR,"Petaluma, CA"
Vincent White,20,DB,6000,187,SO,"Lynwood, CA"
Darryl Graham,21,DB,6000,190,JR,"Corona, CA"
Josh Januska,22,WR,5090,179,FR,"Ventura, CA"
Isaiah Thomas,22,CB,5090,170,FR,"Van Nuys, CA"
Bransin Johnson,23,DB,5110,185,FR,"Fresno, CA"
Marqel McCoy,24,S,6030,205,FR,"Pittsburg, CA"
Dylan Rutledge,24,RB,5100,183,FR,"Carlsbad, CA"
Elias Jbeily,27,WR,5110,190,FR,"Antelope, CA"
Ryan Parenteau,28,S,6020,200,SO,"Anthem, AZ"
Patrick Wells,29,CB,5110,192,SR,"Woodland Hills, CA"
Ethan Hicks,30,FB,5110,230,SO,"Atascadero, CA"
Mitchell Layton,32,RB,6010,214,SO,"Roseville, CA"
Quincy Bennett,33,LB,6020,240,FR,"Oxnard, CA"
Desmond Lewis,34,CB,6000,175,JR,"Stockton, CA"
Justin Williams,34,RB,5100,212,JR,"Oceanside, CA"
Khanii Lesane,35,S,6020,187,FR,"Antelope, CA"
Ryan Martinez,36,RB,5100,194,SO,"Planada, CA"
Mitch Casas,37,DB,6000,195,SR,"Saratoga, CA"
Matt Blair,38,PK,6010,195,FR,"Moraga, CA"
Tiger Garcia,39,S,6030,181,FR,"Moraga, CA"
Will Allen,40,DL,6030,270,FR,"Gresham, OR"
Joshua Kelley,41,RB,6000,207,SO,"Lancaster, CA"
Deandre Diggs-Ray,42,DE,6030,240,JR,"Berkeley, CA"
Derek Baljeu,43,FB,6000,240,JR,"Huntington Beach, CA"
Zach Jones,44,DB,6000,200,SR,"Napa, CA"
Wesley Preece,45,TE,6050,238,FR,"Rocklin, CA"
Forrest Ferguson,46,LB,6020,228,JR,"Castro Valley, CA"
George Lamen,47,RB,6020,230,SR,"San Rafael, CA"
Brandon Jamison,48,DE,6030,235,FR,"Scottsdale, AZ"
Matthew Slade,49,LB,6010,237,JR,"Laguna Niguel, CA"
Donnell Toliver,50,OL,6030,260,JR,"Menifee, CA"
Sione Aliki,51,DL,6030,250,FR,"North Hollywood, CA"
Brady Stibi,52,LB,6020,245,SR,"Windsor, CA"
Russell Reeder,53,LB,6030,225,SR,"Encinitas, CA"
Ryan Bua,54,LB,6000,224,JR,"Union City, CA"
Pat Miller,55,WR,6020,215,FR,"San Luis Obispo, CA"
Jordan Allen,56,DL,6050,220,FR,"Fairfield, CA"
Xavier Griggs,57,LB,6010,226,JR,"Portland, OR"
Christian Leota,58,LB,6020,250,FR,"San Lorenzo, CA"
Kyle Sulka,58,OL,6040,275,JR,"Sherman Oaks, CA"
Terrell Sayles,59,LB,6010,234,FR,"Corona, CA"
Charles Hays,60,OL,6040,305,FR,"La Quinta, CA"
Will Bowes,61,LB,6040,250,FR,"San Jose, CA"
Hunter Wharton,63,LB,6030,235,JR,"Brawley, CA"
Majid Firoozi,64,OL,6040,277,FR,"Seattle, WA"
Dakota Dosch,65,OL,6040,295,JR,"Ventura, CA"
Max Harrison,66,OL,6040,290,JR,"West Sacramento, CA"
Andrew Carriger,67,OL,6070,290,JR,"Yorba Linda, CA"
Armando Ceja-Lua,68,OL,6050,290,SR,"Indio, CA"
Julian Bertero,69,OL,6070,305,JR,"Redwood City, CA"
Chris Schneider,70,OL,6060,305,SR,"Glendora, CA"
Kevin Gavigan,71,OL,6030,285,SR,"Yucaipa, CA"
Alex Hanes,73,OL,6030,285,SR,"Antioch, CA"
Kyle Morales,74,OL,6040,284,FR,"Glendora, CA"
Inoke Raikadroka,75,DL,6000,294,SR,"Inglewood, CA"
Kooper Richardson,76,OL,6060,298,FR,"Folsom, CA"
Ramsey Hufford,77,OL,6030,296,SO,"Newport Beach, CA"
Taylor Prenovost,78,DE,6040,230,SO,"Ladera Ranch, CA"
Riley Gallant,79,OL,6060,300,FR,"Portland, OR"
Marcus Cummins,80,WR,6020,204,FR,"Clovis, CA"
Gabe Martinez,81,WR,6070,248,SO,"Vallejo, CA"
Aaron Moore,82,WR,6000,185,FR,"Altadena, CA"
Khris Vaughn,83,WR,6010,183,FR,"Redlands, CA"
Nolan Tooley,84,TE,6030,229,JR,"Santa Barbara, CA"
Nehemiah Winston,85,TE,6050,265,SR,"Pinole, CA"
Liam Godfrey,86,WR,6000,192,SO,"Kensington, CA"
Dan Plum,88,TE,6030,238,FR,"San Diego, CA"
Ryan Green,89,WR,5100,173,JR,"La Mesa, CA"
Zak Pettit,90,DL,6040,260,SR,"Truckee, CA"
Nick Fehrenbach,91,DL,6000,235,FR,"Rancho Santa Margarita, CA"
Anthony Baumgart,92,DL,6010,240,SO,"Antelope, CA"
Erik Holmer,93,LB,6030,234,JR,"Truckee, CA"
Jordan Franklin,94,DL,6010,285,FR,"Altadena, CA"
Roland Ocansey,95,DL,6040,238,FR,"Hayward, CA"
Hunter O'Brion,96,DT,6050,280,SO,"Madera, CA"
Justin Garza,97,LS,5110,215,SO,"Carlsbad, CA"
Grant Hilton,98,LS,6010,205,JR,"Coto De Caza, CA"
Bryce Rodgers,99,DT,6030,285,FR,"East Palo Alto, CA"
