Name,Number,Position,Height,Weight,Class,Hometown
Riley Bradshaw,--,?,6010,190,--,"Meridian, ID"
Cameron Livingston,1,WR,6020,195,SR,"Ocala, FL"
Jeremy Maxwell,2,DB,5110,175,JR,"Santa Ana, CA"
Darryl Denby,3,WR,5090,170,JR,"Murrieta, CA"
Zach Smith,4,RB,6010,220,JR,"Kissimmee, FL"
TyJuan Prince,5,WR,6010,170,SO,"Sutter, CA"
Drew Batchelor,6,WR,6010,185,JR,"Saint George, UT"
Josh Burton,7,S,5110,190,SR,"Roseland, LA"
Emmett Tela,8,LB,6010,225,JR,"Provo, UT"
Jalen Fields,9,S,5100,175,SR,"San Diego, CA"
Jadrian Clark,10,QB,6030,225,SR,"Lakeland, FL"
Stefan Cantwell,11,QB,6020,230,JR,"South Jordan, UT"
Justin Shaw,12,QB,6050,195,SO,"West Haven, UT"
Eric Wilkes,13,RB,5070,200,JR,"Las Vegas, NV"
Braden Miles,14,QB,6030,200,FR,"Highland, UT"
Hunter Evans,15,QB,6020,190,FR,"Layton, UT"
Justus Brown,16,S,6050,205,SO,"Brigham City, UT"
Alema Key,17,LB,6010,230,JR,"Springville, UT"
Kory Wilson,18,DB,6010,170,SO,"Peoria, AZ"
Colby Child,19,WR,5070,165,FR,"Fruit Heights, UT"
Brandon Sherlin,19,WR,5110,175,FR,"Lubbock, TX"
Parker Preator,20,DB,5110,175,JR,"Mountain Green, UT"
Taron Johnson,21,CB,6010,180,JR,"Sacramento, CA"
Xequille Harry,22,CB,5110,160,JR,"Bountiful, UT"
Emmanuel Pooler,24,RB,5100,205,SR,"Fontana, CA"
Jared Afalava,25,LB,6030,240,SR,"South Jordan, UT"
Treshawn Garrett,26,RB,5110,200,SO,"Palmdale, CA"
Dre Snowden,27,CB,5100,150,SR,"American Fork, UT"
Japheth Pleasant,28,CB,6030,185,JR,"Reseda, CA"
Elias Miller,29,S,6010,190,SO,"Las Vegas, NV"
Trey Hoskins,30,CB,6030,165,FR,"Oakland, CA"
Haini Moimoi,31,RB,6010,210,SR,"Maplewood, MN"
Jawain Harrison,32,S,5100,175,JR,"Richmond, CA"
Tui Satuala,33,TE,6020,240,JR,"Bountiful, UT"
Arnold Lopez,34,S,5100,190,JR,"San Jose, CA"
Cory Thomson,35,RB,5100,215,SR,"Mission Viejo, CA"
David Jones,36,RB,5100,160,FR,"Richmond, CA"
Mitch Tulane,37,S,6010,190,JR,"Syracuse, UT"
Noah Montano,38,S,6010,185,FR,"Holladay, UT"
Cooper Clark,39,LB,6030,200,FR,"Ferndale, WA"
Luke Latteier,40,S,0,0,--,--
Brady May,41,FB,5110,220,SO,"Heyburn, ID"
Adam Rodriguez,42,DL,6020,210,FR,"Springville, UT"
Kevin Smith,43,S,6010,200,FR,"Fairfield, CA"
Cardon Malan,44,DL,6030,250,JR,"Fruit Heights, UT"
Landon Stice,45,LB,6030,200,SO,"Stansbury Park, UT"
Austin Hunt,46,TE,6060,220,FR,"Las Vegas, NV"
Taylor Hintze,47,PK,6010,195,FR,"Sandy, UT"
Jacob DeMaio,48,P,6050,205,JR,"Danville, CA"
Kallin Fisher,49,LS,5110,205,FR,"Kaysville, UT"
Jayden Palauni,50,DL,6020,255,FR,"Salt Lake City, UT"
Conner Mortensen,51,LB,6010,185,FR,"Overton, NV"
Rayshawn Henderson,52,DT,6010,295,JR,"Las Vegas, NV"
Auston Tesch,53,LB,6020,205,FR,"Eden, UT"
Iosua Opeta,55,OL,6040,250,SO,"Stansbury Park, UT"
Kayden Killpack,56,DL,6010,250,FR,"Rigby, ID"
Jared Schiess,57,DL,6030,240,FR,"Manti, UT"
Legrand Toia,58,LB,6020,210,SO,"Riverton, UT"
Cole McGinnis,59,DL,6040,275,FR,"Gooding, ID"
Jaxon Clark,60,PK,5080,155,FR,"Grants Pass, OR"
Devan Alldredge,61,OL,6010,290,SO,"Castle Rock, CO"
Chase Larson,62,C,6030,280,SR,"Springville, UT"
Tyrone Brown,63,OL,6020,305,SR,"Orlando, FL"
Bowman Loo,64,OL,6010,235,FR,"Saint George, UT"
Baron Bruce,65,OL,6040,290,SO,"Sandy, UT"
Bradyn Swanson,66,OL,6050,275,FR,"Springville, UT"
Blake Schiess,68,OT,6050,280,FR,"Manti, UT"
Brady Simpson,69,OL,6020,280,SO,"Richlands, VA"
Ben Bos,71,OL,6030,275,FR,"Heber City, UT"
Calvin Steyn,73,OL,6040,320,SR,"Rancho Santa Margarita, CA"
Cameron Young,74,OL,6030,315,SR,"Cove, TX"
Ty Whitworth,75,OL,6040,300,FR,"Temecula, CA"
Stetson Wood,76,OL,6040,255,FR,"Layton, UT"
Luke Thomas,77,OL,6060,260,FR,"Fruitland, ID"
Robert Geoffrion,78,OL,6040,260,FR,"Newbury Park, CA"
Connor Shannon,79,G,6040,295,SR,"Fresno, CA"
