Name,Number,Position,Height,Weight,Class,Hometown
Chris Reynolds Jr.,1,WR,6030,200,SO,"Lakewood, WA"
Anthony Ricks,1,DB,5080,170,JR,"San Marcos, CA"
Mitch Gueller,2,WR,6030,220,SO,"Rochester, WA"
Tanner Gueller,4,QB,6030,235,JR,"Rochester, WA"
Jayson Miller,4,DB,6010,180,JR,"San Dimas, CA"
Caleb Brown,5,DB,5100,175,SO,"Ravensdale, WA"
Hagen Graves,6,WR,6000,185,SR,"Nampa, ID"
Matt Peterson,7,WR,6030,187,FR,"Blackfoot, ID"
Justin Dorsey,8,DB,5110,175,JR,"Cathedral City, CA"
Jrue Perkins,8,DB,6020,180,FR,"Layton, UT"
Atoa Fox,9,DB,6010,208,FR,"Chula Vista, CA"
Isaiah Walter,10,WR,5100,188,FR,"Yakima, WA"
Trey Bell,11,WR,5090,165,FR,"Meridian, ID"
Adkin Aguirre,12,DB,5100,180,SO,"Brawley, CA"
Anthony Pasada,12,QB,6000,185,FR,"Chula Vista, CA"
Tristan Beard,13,WR,6010,185,SO,"University Place, WA"
Kory Garcia,14,DB,6000,185,JR,"Anaheim, CA"
Mike Goggin,14,QB,6030,210,SO,"Couer d'Alene, ID"
Drew Cash,15,QB,6030,235,FR,"Murray, UT"
Koby Lowe,15,DB,6000,193,JR,"Bellflower, CA"
Robert Kvinsland,16,QB,6030,195,SO,"Gig Harbor, WA"
Tucker Louie-McGee,17,DB,5110,180,JR,"Coeur d'Alene, ID"
Sean Cheney,18,P,6020,210,JR,"Jonesboro, GA"
Parker Johnson,18,PK,5090,175,FR,"Meridian, ID"
Michael Dean,20,WR,5060,155,SO,"Rancho Cucamonga, CA"
Brandon Monroe,21,DB,6000,170,SO,"San Mateo, CA"
Nikko Hayes,22,DB,5110,200,JR,"Lompoc, CA"
James Madison,23,RB,5110,205,JR,"Banning, CA"
Ty Flanagan,24,RB,5100,190,SO,"Las Vegas, NV"
Joe Martin,25,LB,6000,210,JR,"Spanaway, WA"
Alex Espinoza,26,DB,5110,185,FR,"Salt Lake City, UT"
Andy Whittier,27,DB,5070,165,JR,"Pocatello, ID"
Brock Davis,28,DB,5110,185,FR,"Idaho Falls, ID"
Nehamiah McFarlin,29,RB,5110,185,FR,"Mission Hills, CA"
Trey Green,30,DB,5090,170,FR,"Diamond Bar, CA"
Kennon Smith,31,LB,6010,208,SO,"Fruitland, ID"
Bryson Toles,32,DB,6020,175,FR,"Reno, NV"
Lonell Woodhouse,34,RB,5110,220,JR,"Cerritos, CA"
Alvin Delve,35,DB,5110,195,FR,"Naples, FL"
Zak Johnson,36,PK,5110,180,SR,"Meridian, ID"
Tate Razor,37,DL,6040,227,JR,"Bellevue, WA"
Kody Graves,38,LB,6010,225,SO,"Nampa, ID"
Mason Farnsworth,39,RB,5100,185,FR,"Emmett, ID"
Aren Manu,40,LB,6000,240,FR,"Pocatello, ID"
Luke Holloway,43,LB,6030,215,SO,"El Cajon, CA"
Christian Holland,44,LB,6000,225,JR,"Bellflower, CA"
Oshea Trujillo,45,LB,5110,210,FR,"Seattle, WA"
Austin Campbell,46,TE,6040,245,SO,"Blackfoot, ID"
Mario Jenkins,47,LB,6010,245,SR,"Nampa, ID"
Zach Wright,48,DB,6000,185,FR,"Kimberly, ID"
Colton Belnap,49,DB,5090,166,FR,"Pocatello, ID"
Andrew Burtenshaw,50,LS,6020,235,SR,"Pocatello, ID"
Paea Moala,51,LB,6010,220,JR,"Reno, NV"
Micah Breland,52,DL,6010,245,SR,"Tukwila, WA"
Jack Tufono,53,OL,6040,275,FR,"Aiea, HI"
Mason Jackson,54,DL,6010,245,SO,"Pasco, WA"
Tristan Cano,55,OL,6020,275,SO,"Rigby, ID"
DJ Hagler,56,LB,6000,195,FR,"Middleton, ID"
Ryan Gray,57,LB,6010,235,JR,"Auburn, CA"
Dallen Collins,58,OL,6020,285,SO,"Caldwell, ID"
Dane Kordopatis,59,DL,6020,263,FR,"Boise, ID"
Jake Wilkerson,60,OL,6020,275,FR,"Meridian, ID"
Garrett Smith,64,OL,6070,325,SO,"Shelley, ID"
Brian Fineanganofo,66,OL,6060,295,JR,"Los Angeles, CA"
Chris Miedema,68,OL,6040,305,JR,"Everett, WA"
Skyler Phillips,71,OL,6020,315,SR,"Eugene, OR"
Kelton Simons,73,OL,6020,305,SO,"Pocatello, ID"
Carson Sutherland,74,OL,6030,305,FR,"La Costa, CA"
Jacob Molenaar,75,OL,6040,335,SO,"Boise, ID"
Chase Collins,77,OL,6050,295,SR,"Spokane, WA"
Caleb Eldred,78,OL,6050,295,FR,"Washougal, WA"
Dakota Wilson,79,OL,6060,295,SO,"Saint Anthony, ID"
Tanner Conner,80,WR,6030,180,FR,"Kent, WA"
Isaiah Brimmer,81,WR,6050,200,FR,"Kennewick, WA"
Tracey Reynolds,82,WR,6040,195,FR,"Lakewood, WA"
Jake Johnson,84,TE,6060,245,FR,"Kuna, ID"
Rasheed Williams,85,DL,6010,275,SO,"Buena Park, CA"
Taylor Pearson,86,WR,6010,201,FR,"Blackfoot, ID"
Chance Salutregui,87,DL,6050,245,SO,"Nampa, ID"
Nate Page,88,TE,6030,245,SO,"Pocatello, ID"
Nate Shubert,89,TE,6030,235,SO,"Mukilteo, WA"
Chase Downs,90,DL,6020,240,FR,"Caldwell, ID"
Clark Jeppesen,92,DL,6040,265,JR,"Garland, UT"
Daniel Heck,93,DL,6020,295,SO,"Emmett, ID"
JonRhyeem Peoples,94,DL,6050,320,SR,"Rigby, ID"
TJ Togiai,95,DL,6000,315,SO,"Blackfoot, ID"
Treven Aloi,96,DL,6010,330,JR,"Murray, UT"
Raemo Trevino,97,DL,6000,305,FR,"Seattle, WA"
Hunter Eborn,98,DL,6030,255,FR,"Pocatello, ID"
