Name,Number,Position,Height,Weight,Class,Hometown
Nate Stinson,2,RB,5070,185,FR,"San Diego, CA"
Elijah Marks,3,WR,6010,175,SR,"Goodyear, AZ"
Jaeren Burch,4,WR,6000,185,JR,"Peoria, AZ"
Jahlil Pinkett,5,CB,5100,175,FR,"Woodland Hills, CA"
Cory Young,6,RB,5100,205,JR,"Corona, CA"
Byron Evans,7,LB,6010,235,SR,"Phoenix, AZ"
Emmanuel Butler,8,WR,6040,220,SR,"Phoenix, AZ"
Hunter Correll,9,QB,6000,180,JR,"San Diego, CA"
Elijah Orr,10,S,6000,185,SO,"Sacramento, CA"
Jake Casteel,11,LB,5110,200,JR,"Tucson, AZ"
Gerrit Groenewold,12,QB,6020,205,SR,"Goodyear, AZ"
Anthony Sweeney,12,S,5100,170,FR,"American Canyon, CA"
Marcel Myers,13,CB,6020,185,SO,"Los Angeles, CA"
Griffin Roehler,14,PK,5110,205,SO,"Litchfield Park, AZ"
Case Cookus,15,QB,6040,200,SO,"Thousand Oaks, CA"
Connor Leavens,16,QB,0,0,FR,"Marana, AZ"
Cole Sterns,16,CB,5110,175,JR,"Tucson, AZ"
Stone Smartt,17,QB,6040,190,FR,"Antelope, CA"
Dan Galindo,18,WR,6000,185,JR,"Phoenix, AZ"
Brandon Porter,18,WR,5100,165,FR,"Victorville, CA"
Derek Arnson,19,P,6000,185,FR,"Chandler, AZ"
Rodney Thompson,19,QB,6010,185,FR,"San Diego, CA"
Maurice Davison,20,CB,5090,160,JR,"Anaheim, CA"
William Morehand,21,WR,6000,180,JR,"Lakewood, CA"
Joe Logan,22,RB,5110,200,SO,"Buckeye, AZ"
Josh Clarke,24,S,6020,185,JR,"Fremont, CA"
Kam'Ron Johnson,25,S,6010,225,JR,"Scottsdale, AZ"
Curtiss Wilson,25,RB,5110,190,FR,--
Cole Beaty,26,WR,6000,170,FR,"Bakersfield, CA"
Nate Perkins,26,CB,6030,170,FR,"Fontana, CA"
Myles Dumas,27,CB,6010,175,FR,"San Diego, CA"
Wes Sutton,28,S,6000,175,JR,"Chandler, AZ"
Khalil Dorsey,29,CB,5090,170,SO,"Ontario, CA"
Jalen Cook,30,S,6000,185,SO,"Goodyear, AZ"
Aramis Aldredge,31,RB,5100,0,FR,"Hesperia, CA"
Jermiah Boyd,32,RB,5100,170,FR,"Queen Creek, AZ"
Andrew Gose,32,CB,5110,160,JR,"Bellflower, CA"
Tristen Vance,33,LB,6010,230,SO,"Chandler, AZ"
Billy McEowen,34,LB,6020,215,JR,"Glendale, AZ"
Jayden Wooden,36,S,6010,180,FR,"Peoria, AZ"
Robby Hauck,37,S,5100,170,FR,"San Diego, CA"
Taylor Powell,38,LB,6010,240,SO,"Tucson, AZ"
Jake Skadeland,39,DB,6010,205,SO,"Glendale, AZ"
Damahny Whittle,40,LB,6010,200,FR,"Las Vegas, NV"
Luis Aguilar,41,PK,6010,190,FR,"Nogales, AZ"
Marcus Carrasco,42,LB,6030,200,FR,"La Habra, CA"
Kaelen Levy,43,DB,0,0,SO,"Oakley, CA"
Max Michalczik,44,TE,6020,205,FR,"Tucson, AZ"
Clarence Smith,45,DE,6020,220,SR,"Buckeye, AZ"
Tommie Dorsey,46,WR,5100,180,JR,"Ontario, CA"
Joey Gatewood,47,WR,6020,215,JR,"Glendale, AZ"
Dyvine Wallace,47,CB,6000,180,FR,"Peoria, AZ"
Brian Barry,48,DB,5090,170,FR,"Santa Clarita, CA"
Quntion Garrett,48,WR,5110,170,JR,"Phoenix, AZ"
Hamilton To'o,50,DL,6010,260,JR,"San Leandro, CA"
Seth Long,51,DL,6040,230,FR,"West Linn, OR"
Luke Rudolph,52,OL,6040,275,FR,"Scottsdale, AZ"
Jacob Faver,53,LB,6020,230,FR,--
Blake Porter,55,OL,6000,280,SR,"Newhall, CA"
Brandon Lawless,56,DL,6040,260,SO,"Los Angeles, CA"
Markquise Simmons,57,LB,6010,230,JR,"Tempe, AZ"
Nick Davis,58,OL,6030,265,SR,"Tucson, AZ"
Owen Dickens,59,LB,6000,200,FR,"Rathdrum, ID"
Andy Rodriguez,59,LS,5100,200,SR,"Palmdale, CA"
Ebi Odeh,60,LB,5110,0,SO,"Los Angeles, CA"
Cole Habib,61,OL,6050,295,JR,"San Diego, CA"
Jamison Pruitt,62,OL,6040,290,SO,"Glendale, AZ"
Justin Hathoot,64,LS,6020,195,FR,"Albuquerque, NM"
Malik Noshi,65,OL,6020,310,SO,"Las Vegas, NV"
Chase Laurita,66,OL,6030,245,FR,"Oro Valley, AZ"
Brandon Miles,67,DL,6010,255,FR,"Phelan, CA"
Zach Land,68,DL,6020,190,FR,"Tempe, AZ"
Jonas Leader,69,OL,6050,261,FR,"Tucson, AZ"
Jason Lower,70,DL,6040,220,JR,"San Mateo, CA"
Jason Linden,71,OL,6070,320,JR,"Bisbee, AZ"
Eddie Rivas,72,OL,6040,288,FR,"Phoenix, AZ"
Laroy Thomas,73,DL,5110,280,FR,"Long Beach, CA"
Josh Sparks,74,OL,6060,290,JR,"Fontana, CA"
Jake Leonard,75,OL,6030,310,JR,"Peoria, AZ"
Tyler Shank,77,OL,6030,285,SR,"Chandler, AZ"
Shawn Yuhas,78,OL,6040,265,FR,"Redwood City, CA"
CJ Murray,79,DL,6030,0,FR,"Orange, CA"
Harrison Goebel,80,LS,6060,245,SO,"Santa Clara, UT"
Justis Stokes,81,WR,6010,185,FR,"Gilbert, AZ"
Chance Brewington,82,WR,6030,185,FR,"Chandler, AZ"
Terrell Brown,83,WR,6030,170,FR,"Chandler, AZ"
Matthew Kempton,85,TE,6040,200,FR,"Scottsdale, AZ"
Luke Nguyen,86,WR,5080,165,SO,"Tempe, AZ"
Hunter Burton,87,WR,6000,165,SR,"Centennial, CO"
Alex Martin,88,TE,6020,230,JR,"Glendale, AZ"
Jonathan Baldwin,89,TE,6040,230,JR,"Paso Robles, CA"
Aaron Andrews,90,DL,6020,245,SO,"Livermore, CA"
Sione Talakai,91,DL,6000,280,JR,"Salt Lake City, UT"
James Walton,92,DL,6020,250,JR,"Charleston, WV"
Chauntez Thomas,93,DL,6010,220,FR,"Las Vegas, NV"
Quentin Robinson,94,DL,6010,280,JR,"Plant City, FL"
Jalen Goss,95,DL,6010,300,JR,"Dallas, TX"
Neal Murphy,97,DL,6010,240,SR,"Nampa, ID"
Gregory Jordan,98,DL,6010,280,FR,"Windsor Hills, CA"
Carson Taylor,99,DL,6040,215,FR,"Glendale, AZ"
