Name,Number,Position,Height,Weight,Class,Hometown
Marshaun Cameron,1,CB,5100,185,SO,"Los Angeles, CA"
Isaiah Swopes,2,DB,5090,170,JR,"Ocean Springs, MS"
Stone Kane,3,S,5110,205,SR,"Fairbank, IA"
Dontay Warren,4,QB,6020,185,FR,"Houston, TX"
Conor Martin,5,QB,6020,170,FR,"Highlands Ranch, CO"
Michael Walker,5,DB,6010,180,SO,"Oakland, CA"
Tyree McNeil,6,DB,6000,170,FR,"Detroit, MI"
Jacob Knipp,7,QB,6040,210,JR,"Arvada, CO"
Conor Regan,8,QB,6030,205,SO,"Santa Maria, CA"
Justice Littrell,9,LB,5110,215,SO,"Colorado Springs, CO"
Frank Stephens,10,WR,5110,180,SR,"Oakland, CA"
Hakeem Deggs,11,WR,5070,157,SR,"Plaquemine, LA"
Ellis Onic II,13,WR,5060,163,SR,"Dallas, TX"
Keaton Mott,14,QB,6040,182,SO,"South Jordan, UT"
Noel Reid,15,LB,5110,205,SO,"Pahokee, FL"
Tristan Brown,16,TE,6030,230,FR,"Delta, CO"
Luke Mondt,16,QB,6020,180,SO,"Loveland, CO"
Noah Sol,17,WR,6020,205,FR,"Danville, CA"
Samad Hinds,18,TE,6050,255,SR,"Miami, FL"
Xavier Laing,19,LB,6010,215,FR,"Miramar, FL"
Marques Combs,20,P,5090,185,JR,"Palisade, CO"
Anthony Davis,21,RB,5090,190,SR,"Fountain, CO"
Gerad Davis,22,S,6040,200,SR,"Las Vegas, NV"
Brandon Cartagena,23,RB,5110,190,SR,"Colorado Springs, CO"
Trey Adams,24,DB,5100,180,FR,"Corvallis, OR"
Zachary Lindsay,25,RB,5090,200,JR,"Denver, CO"
Billy Reagins Jr.,26,LB,6020,220,FR,"Sugar Land, TX"
Trae Riek,27,RB,5110,200,JR,"Palm Desert, CA"
Sherand Boyd Jr.,28,S,6000,200,SO,"Belleville, IL"
Luke Nelson,29,LB,6000,220,SO,"Highlands Ranch, CO"
Willie Fairman,30,DB,5100,165,SO,"Fresno, CA"
Jacob Bobenmoyer,31,LB,6020,230,JR,"Cheyenne, WY"
Denario Critton,32,DB,5110,170,FR,"Atlanta, GA"
Denzel Hatcher,33,LB,5110,240,JR,"Miramar, FL"
Cayden Dunn,34,RB,5100,180,FR,"Mission Hills, CA"
Jullen Ison,35,RB,5070,190,FR,"Oakland, CA"
Sterling Watkins,36,DB,5090,165,FR,"Colorado Springs, CO"
Jerone Jackson,37,DB,5100,175,FR,"Carson, CA"
Kendrick Igbinoba,38,FB,6020,240,SR,"Richardson, TX"
Trey Jones,38,DB,6010,160,FR,"Aurora, CO"
Keifer Glau,39,S,5100,240,JR,"Aurora, CO"
Evan Villanueva,40,LB,6010,215,JR,"Parker, CO"
Jamond DuBose,41,DB,5090,160,FR,"Raleigh, NC"
Nick Johnson,42,DE,6020,230,SO,"Sauk Village, IL"
Nic Vinson,43,DB,5100,180,FR,"Raleigh, NC"
Henry Stelzner,44,LB,6010,210,JR,"Santa Rosa, CA"
Xavier Dreiling,45,LB,6020,215,FR,"Wheat Ridge, CO"
Isaiah Williams,46,DE,6010,260,SR,"Mesquite, TX"
Theron Verna,47,TE,6020,235,JR,"Grand Junction, CO"
Brooks Talkington,48,LB,6040,240,FR,"Flower Mound, TX"
Shaquan Baines,49,DE,6020,230,JR,"Bakersfield, CA"
Peter Mitchell,50,LB,6020,220,JR,"Louisville, CO"
James Riddle,51,LB,6040,195,SR,"Lakewood, CO"
Austin Bown,52,OL,6060,270,SR,"Manitowoc, WI"
Eddie Gonzales,53,DL,6030,280,SO,"Denver, CO"
Brin Hayden,54,LB,6010,225,FR,"Loveland, CO"
Kody Mommaerts,54,OL,6060,305,JR,"Superior, CO"
Jamari Logan,55,DL,6060,425,FR,"Norfolk, VA"
Tank Terrell,56,DE,6020,260,JR,"Chicago, IL"
Keenan Leary,57,DT,6030,280,JR,"Arvada, CO"
Suraj Dhillon,58,OL,6040,285,SO,"Fort Worth, TX"
Keifer Morris,59,DE,6040,250,JR,"Parker, CO"
Sean Reemts,60,OL,6030,295,FR,"Gig Harbor, WA"
Jackson Block,61,DE,6040,225,FR,"Littleton, CO"
Robert Moss,62,DL,6020,291,FR,"Centennial, CO"
Joe Layzell,63,OL,6050,297,JR,"Bloomington, IL"
Dan Ryan,64,OL,6020,288,JR,"Shiloh, IL"
