Name,Number,Position,Height,Weight,Class,Hometown
Isiah Hennie,1,WR,5070,160,SR,"San Diego, CA"
Mister Harriel,2,DB,6010,200,JR,"Sacramento, CA"
Kolney Cassel,3,QB,6020,200,SR,"Yakima, WA"
Nolan Merker,4,WR,5100,185,JR,"Elk Grove, CA"
Erick Buchanan,6,RB,5090,175,FR,"San Diego, CA"
Andre Lindsey,7,WR,6030,190,JR,"Stockton, CA"
Caelan Barnes,8,DB,6010,195,SO,"Sacramento, CA"
Kevin Thomson,8,QB,6010,205,JR,"Auburn, WA"
Malcolm Thomas,9,LB,6000,225,JR,"Roseville, CA"
Austin Clark,10,DB,5110,195,JR,"Cottonwood, CA"
Stone Sander,11,TE,6040,240,SR,"Auburn, CA"
Damon Jackson,12,WR,5100,170,JR,"Tracy, CA"
Marcus Kirkpatrick,12,DB,5100,170,JR,"Lake Elsinore, CA"
Jaelin Ratliff,13,WR,5100,170,JR,"Stockton, CA"
Wyatt Clapper,14,QB,6030,225,JR,"Turlock, CA"
Marte Mapu,15,DB,6020,190,FR,"Hawthorne, CA"
Jack Rice,16,QB,6020,210,FR,"Eureka, CA"
Dewey Cotton,17,WR,5050,150,FR,"Stockton, CA"
Roman Ale,18,QB,6010,200,FR,"Carson, CA"
Tamas Stewart,18,DB,6000,195,JR,"Rialto, CA"
Tristan Meyer,19,QB,6000,185,FR,"La Mirada, CA"
Randy Anyanwu,20,RB,5110,200,FR,"Hawthorne, CA"
Arthur Hayes,20,DB,5110,185,JR,"Vallejo, CA"
BJ Perkinson,21,RB,5100,200,FR,"Hawthorne, CA"
Miguel Garcia,22,LB,6010,220,FR,"Sanger, CA"
Dre Terrell,23,DB,5080,200,JR,"Elk Grove, CA"
Isaiah Capoocia,24,DB,5110,195,FR,"Lakeside, CA"
Ernest Jenkins,26,DB,6000,185,SR,"Sacramento, CA"
Quincy Jountti,27,RB,5100,205,SO,"Bakersfield, CA"
Isaiah Gable,28,RB,5040,140,FR,"Arleta, CA"
Manny Scott-Anderson,29,DB,5110,200,JR,"Vallejo, CA"
Allen Perryman,30,DB,6000,185,SO,"Lemoore, CA"
Dhaamir Lomax,31,DB,5110,180,JR,"Baldwin Hills, CA"
Kevin McKinney,32,LB,6000,225,SO,"Rancho Santa Margarita, CA"
Pierre Williams,32,WR,6010,195,FR,"Gustine, CA"
Elijah Dotson,33,RB,6000,185,FR,"Sacramento, CA"
