Name,Number,Position,Height,Weight,Class,Hometown
Somotochukwu Achebo,--,S,6010,205,FR,"West Valley City, UT"
Patrick Baker,--,LB,6030,225,SO,"Monroe, UT"
Akili Gray,--,S,5110,175,SO,"Kailua, HI"
Viliami Lutui,--,LB,5110,180,SO,"Roosevelt, UT"
Quiad Murray,--,LB,6010,200,FR,"Cedar City, UT"
Michael Musto,--,LB,6000,195,SO,"Cedar City, UT"
Micah Ngatuvai,--,OL,6020,235,FR,"Provo, UT"
Antwaun Rainey,--,CB,6010,180,FR,"Las Vegas, NV"
Jackson Vasi,--,LB,6010,200,SO,"Cedar City, UT"
Mario Williams,--,CB,6000,175,FR,"Harbor City, CA"
Nick Wohlforth,--,DL,6030,210,SO,"Nephi, UT"
Terrance Barnes,1,WR,6000,198,SR,"Pittsburg, CA"
Emmanuel Roker,2,CB,6020,180,SR,"Lauderdale Lakes, FL"
Elijah Holt,3,CB,6010,190,JR,"Arroyo Grande, CA"
Patrick Tyler,3,QB,6040,195,SR,"Compton, CA"
Jarmaine Doubs,4,CB,5100,180,SR,"Los Angeles, CA"
Anthony Catalano,5,QB,5100,175,SO,"Corona, CA"
Cameron Chambers,6,WR,6020,200,SR,"Dallas, TX"
Kyle Hannemann,7,S,5110,205,SR,"Alpine, UT"
Taylor Pili,8,DL,6040,240,SR,"West Valley City, UT"
Tannon Pedersen,10,S,6030,205,SR,"Highland, UT"
Tyler Penkalski,12,LB,6010,210,JR,"Henderson, NV"
Ty Rutledge,13,WR,6020,198,JR,"Saint George, UT"
Logan Baker,14,LB,6030,215,SR,"Monroe, UT"
Isaiah Diego-Williams,15,WR,5100,154,SO,"Los Angeles, CA"
Darian Fernandez,15,CB,6000,170,FR,"Rancho Santa Margarita, CA"
Brooks Ringer,16,QB,6020,205,FR,"Orem, UT"
Jalen Russell,16,CB,5110,180,FR,"Temecula, CA"
Dawson Pedersen,17,TE,6030,240,FR,"Highland, UT"
Manny Berz,18,PK,5100,185,FR,"Riverside, CA"
Landen Measom,18,WR,5100,180,FR,"South Jordan, UT"
Logan Parker,19,TE,6040,240,JR,"South Jordan, UT"
Devin Guidry,20,RB,5110,200,SO,"Compton, CA"
Jay Green,21,RB,5100,190,SO,"Modesto, CA"
Ryan Johnson,22,RB,5080,170,FR,"Chandler, AZ"
James Felila,23,RB,6000,205,SO,"Kearns, UT"
Lelon Dillard,24,RB,5110,205,FR,"Phoenix, AZ"
Kyle Tauiliili,25,LB,6000,200,SO,"Saint George, UT"
Toa Afatasi,26,RB,5090,210,SR,"Kearns, UT"
Alex Sims,28,S,6010,200,SO,"Las Vegas, NV"
Jalyn Harrison,29,CB,5100,175,JR,"Westlake Village, CA"
Tyler Collet,30,S,6020,195,SR,"Moorpark, CA"
Mitch Dalley,31,S,6000,200,SR,"Farmington, UT"
McCoy Hill,32,TE,6060,260,JR,"Sandy, UT"
Alan Holsten,32,S,5110,165,FR,"Bountiful, UT"
AJ Stanley,33,S,6010,200,FR,"Santa Clarita, CA"
Mike Needham,34,LB,6040,210,SR,"Saint George, UT"
Chinedu Ahanonu,35,LB,5110,235,JR,"West Jordan, UT"
Taelin Webb,36,CB,5110,195,JR,"Fresno, CA"
Mike Sims,37,CB,6020,185,FR,"Las Vegas, NV"
La'Akea Kaho'ohanohano-Davis,38,LB,6020,205,FR,"Kahului, HI"
Dylan Tait,38,WR,5110,180,FR,"Santa Clarita, CA"
Terrance Beasley,39,RB,5110,170,FR,"Inglewood, CA"
Jalen Saole,40,CB,6000,175,FR,"Waianae, HI"
Chandler Dowell,41,LS,5110,215,JR,"Phoenix, AZ"
Siddique Newkirk,42,RB,5110,200,JR,"Seattle, WA"
Chase Beckman,43,S,5110,190,FR,"Centerville, UT"
Brevin Dean,44,WR,5110,165,FR,"Ogden, UT"
Zeivaun Ned,44,CB,6010,185,FR,"Las Vegas, NV"
Bishop Jones,45,DL,6030,245,FR,"Las Vegas, NV"
Lehi Afatasi,46,DL,6010,300,SO,"Kearns, UT"
Rashaan Miller,47,WR,6050,200,JR,"Santee, CA"
Donovan Faumui,48,LB,6030,210,FR,"Provo, UT"
Keita Calhoun,49,PK,6000,175,SR,"Temecula, CA"
Jordan Walker,50,LB,6010,230,FR,"Henderson, NV"
Sefesi Vaa'ivaka,51,DL,6030,360,SR,"South Jordan, UT"
Sione Lapuaho,52,OL,6020,225,FR,"West Valley, UT"
Wynton Lamar,53,OL,6030,225,FR,"Roy, UT"
Josh Anderson,54,OL,6030,285,SO,"Saint George, UT"
Kobe Toa,55,OL,6030,280,FR,"Long Beach, CA"
PJ Nu'usa,56,DL,5110,265,SO,"Salt Lake City, UT"
Jake Brown,57,TE,6050,250,SO,"ST GEORGE, UT"
Zach Larsen,58,OL,6010,300,SO,"Draper, UT"
Raymond Fiame,59,DL,6030,240,FR,"Saint George, UT"
Josh Madsen,61,OL,6020,270,FR,"Garland, UT"
David Schena,62,OL,6020,280,JR,"Delta, UT"
Tyler Chorens,68,OL,6030,265,FR,"Henderson, NV"
Jacob Painter,69,OL,6040,270,SO,"Los Alamitos, CA"
Garrett Kovach,70,OL,6030,286,SR,"Fort Collins, CO"
Laisene Sewell,71,DL,6010,300,FR,"Saint George, UT"
Braxton Jones,73,OL,6070,295,FR,"Murray, UT"
Dylan Tucker,74,OL,6050,295,FR,"Layton, UT"
Austin Mikkelson,75,OL,6050,300,JR,"Saint George, UT"
Marquez Tucker,76,OL,6040,270,JR,"Chandler, AZ"
William Daines,77,OL,6050,290,FR,"Centerville, UT"
Josh McMillin,78,OL,6030,240,SO,"Herriman, UT"
Grady Sami,79,OL,6070,320,JR,"Colorado Springs, CO"
Alex Croyle,80,WR,6020,192,JR,"Ogden, UT"
Elijah Givens,81,WR,6010,205,SO,"Palo Alto, CA"
Judd Cockett,82,WR,5110,165,FR,"Honolulu, HI"
Daniel Bell,83,WR,6000,185,JR,"Los Angeles, CA"
Darrian Alton,84,WR,6000,170,FR,"Grand Junction, CO"
Lukas Kuipers,86,WR,6000,180,FR,"Hilo, HI"
Gavin Erye,87,TE,6040,230,FR,"Grantsville, UT"
Bryan Beckon,88,WR,6000,175,FR,"Tucson, AZ"
Alonzo Davis,89,WR,6020,180,FR,"Los Angeles, CA"
Anu Poleo,90,DL,5110,290,SR,"Anchorage, AK"
