Name,Number,Position,Height,Weight,Class,Hometown
Isaiah Thomas,1,CB,5090,170,FR,"Van Nuys, CA"
Derek Baljeu,2,FB,6000,240,SR,"Huntington Beach, CA"
Amir Knox,2,DB,6000,177,FR,"Bakersfield, CA"
Keelan Doss,3,WR,6030,206,JR,"Alameda, CA"
Jared Harrell,4,WR,6020,200,SO,"Los Angeles, CA"
Isiah Olave,5,CB,5100,190,JR,"San Ysidro, CA"
Anthony Baumgart,6,DL,6010,240,JR,"Antelope, CA"
Brandyn Lee,7,WR,6000,190,SO,"Santa Clarita, CA"
Keleen Culberson,8,S,5110,205,SR,"Corona, CA"
C.J. Spencer,8,QB,6020,205,JR,"Sacramento, CA"
Khris Vaughn,9,WR,6010,183,FR,"Redlands, CA"
Brandon Weaver,10,DL,6030,240,SR,"Vacaville, CA"
Nas Anesi,11,LB,6020,225,SO,"Carson, CA"
Brock Dale,12,QB,6000,195,JR,"Long Beach, CA"
Jaylin White,12,DB,5100,158,FR,"Murrieta, CA"
Braeden Bourke,13,QB,6000,205,FR,"Woodland, CA"
Namane Modise,13,RB,5090,180,JR,"San Lorenzo, CA"
Nico Hillier,14,QB,6030,205,FR,"Arcadia, CA"
Bransin Johnson,15,DB,5110,185,SO,"Fresno, CA"
Jake Maier,15,QB,6000,200,SO,"Santa Fe Springs, CA"
Erron Duncan,16,RB,5090,190,FR,"Stockton, CA"
Logan Montgomery,17,WR,5110,175,FR,"Laguna Hills, CA"
Jamel Rosales,17,DB,5100,177,FR,"Hercules, CA"
Evan Perkins,18,DB,5100,180,FR,"San Diego, CA"
Niko Harris,19,QB,6010,190,FR,"Agoura Hills, CA"
Devon King,19,DB,5100,165,FR,"Richmond, CA"
Mitchell Sheppard,19,WR,6030,205,SR,"Petaluma, CA"
Vincent White,20,DB,6000,187,JR,"Lynwood, CA"
Darryl Graham,21,DB,6000,190,SR,"Corona, CA"
Justin Williams,22,RB,5100,212,SR,"Oceanside, CA"
Jordan Perryman,23,DB,6000,185,FR,"Hanford, CA"
Dylan Rutledge,23,RB,5100,183,SO,"Carlsbad, CA"
Marqel Mccoy,24,S,6030,205,FR,"Pittsburg, CA"
Josh Januska,26,WR,5090,179,SO,"Ventura, CA"
Elias Jbeily,27,WR,5110,190,SO,"Antelope, CA"
Ryan Parenteau,28,S,6020,200,JR,"Anthem, AZ"
Ryan Martinez,29,RB,5100,194,JR,"Planada, CA"
Ethan Hicks,30,FB,5110,230,JR,"Atascadero, CA"
Desmond Lewis,31,CB,6000,175,SR,"Stockton, CA"
Mitchell Layton,32,RB,6010,214,JR,"Roseville, CA"
Quincy Bennett,33,LB,6020,240,SO,"Oxnard, CA"
Dumar Fisher,34,RB,5090,185,FR,"Moreno Valley, CA"
Khanii Lesane,35,S,6020,187,FR,"Antelope, CA"
Connor Airey,36,LB,6000,215,FR,"Chino Hills, CA"
Mac Neilson,37,RB,5100,200,FR,"Napa, CA"
Daniel Whelan,37,P,6050,215,FR,"Rancho Mirage, CA"
Matt Blair,38,PK,6010,195,SO,"Moraga, CA"
Tiger Garcia,39,S,6030,181,SO,"Moraga, CA"
Will Allen,40,DL,6030,270,SO,"Gresham, OR"
Ulonzo Gilliam,40,RB,5090,180,FR,"Merced, CA"
Tehran Thomas,41,RB,5110,230,FR,"Goodyear, AZ"
Christian Leota,42,LB,6020,250,SO,"San Lorenzo, CA"
Max ORourke,43,PK,6010,170,SO,"Rocklin, CA"
Christian Skeptaris,44,TE,6030,235,FR,"Scottsdale, AZ"
Eric Flowers,45,LB,6010,228,SO,"Van Nuys, CA"
Joey Berzins,46,TE,6030,250,FR,"Moraga, CA"
Cam Trimble,47,LB,6000,215,FR,"Westlake Village, CA"
Hunter Wharton,47,TE,6030,235,SR,"Brawley, CA"
