Name,Number,Position,Height,Weight,Class,Hometown
Wyatt Ekblad,--,LB,6000,220,FR,"Morgan, UT"
Austin Freeman,--,RB,0,0,FR,"West Haven, UT"
Kier Gibson-Adams,--,CB,5100,180,FR,"Sacramento, CA"
Doug Lloyd,--,P,5100,200,SO,"Mount Gambier, SA"
Cam Smith,--,RB,5110,185,FR,"Aurora, CO"
Semaj Stewart,--,CB,5110,170,FR,"Parker, CO"
Taron Johnson,1,CB,6000,185,SR,"Sacramento, CA"
Jawian Harrison Jr.,2,S,5100,180,JR,"Richmond, CA"
Darryl Denby,3,WR,5090,170,SR,"Murrieta, CA"
Kevin Smith,4,RB,6000,200,SO,"Fairfield, CA"
Tyjuan Prince,5,WR,6010,170,SO,"Sutter, CA"
Treshawn Garrett,6,RB,5110,200,JR,"Palmdale, CA"
Trey Hoskins,7,S,6030,175,SO,"Oakland, CA"
Rashid Shaheed,8,WR,6000,170,FR,"San Diego, CA"
Arnold Lopez,9,S,5100,190,SR,"San Jose, CA"
Keilan Benjamin,10,CB,5100,170,JR,"Richmond, CA"
Stefan Cantwell,11,QB,6020,220,SR,"South Jordan, UT"
Justin Shaw,12,QB,6050,200,SO,"West Haven, UT"
Drew Batchelor,13,WR,6000,185,SR,"Saint George, UT"
Braden Miles,14,QB,6030,220,FR,"Highland, UT"
Raphael Longangu,15,TE,6040,230,JR,"Euless, TX"
Kaden Jenks,16,QB,6020,215,FR,"Royal City, WA"
Alema Key,17,LB,6000,230,SR,"Springville, UT"
Zach Hymas,19,QB,6030,220,FR,"Logandale, NV"
Parker Preator,20,DB,5110,175,JR,"Mountain Green, UT"
David Jones,21,RB,5100,170,FR,"Richmond, CA"
Xequille Harry,22,CB,5110,160,SR,"Bountiful, UT"
Jeremy Maxwell,23,DB,5110,175,JR,"Santa Ana, CA"
Cameron Hansen,25,LB,6020,210,FR,"Taylorsville, UT"
Justus Brown,26,LB,6050,225,JR,"Brigham City, UT"
Jantz Arbon,27,S,5090,195,JR,"Ogden, UT"
Josh Davis,28,RB,5090,185,FR,"Sandy, UT"
