Name,Number,Position,Height,Weight,Class,Hometown
Daniel David,2,QB,6010,214,SO,"Hoschton, GA"
Chandler Burks,3,QB,5100,187,JR,"Douglasville, GA"
Jake McKenzie,4,RB,6000,205,JR,"Monroeville, AL"
Tommy Bryant,5,QB,6010,190,FR,"Tuscaloosa, AL"
Akebren Ralls,6,DB,5100,171,JR,"Forsyth, GA"
Ezra Naylor,7,WR,6040,200,FR,"Atlanta, GA"
TJ Reed,8,RB,5090,173,SO,"Daphne, AL"
Keon Roman,9,DB,6000,181,SR,"Miami, FL"
Tyrik Mitchell,10,DB,5090,161,FR,"Jackson, GA"
Caleb O'Neal,10,QB,6020,186,FR,"Chickamauga, GA"
Adeolu Adeleke,11,RB,5100,179,FR,"Conyers, GA"
Isaac Foster,12,RB,5100,165,FR,"Summerville, GA"
Jai'len Edwards,14,DB,5110,183,FR,"Greensboro, GA"
Justin Sumpter,15,WR,6030,214,JR,"Tyrone, GA"
Xavier Harper,16,WR,6000,190,JR,"Hoschton, GA"
Tremayne Trawick,17,DB,6040,186,SR,"Savannah, GA"
Duronte Carter,18,DB,6000,184,SR,"Covington, GA"
Jaxton Carson,19,RB,5090,224,FR,"Phenix City, AL"
Cincere Mason,20,LB,6000,208,FR,"Atlanta, GA"
Trey Chivers,22,RB,5110,210,JR,"Carrollton, GA"
Demetrius Pettway,23,LB,6010,187,FR,"Phenix City, AL"
Jace White,25,DB,6010,185,JR,"Dallas, GA"
Taylor Henkle,26,DB,5110,192,JR,"Marietta, GA"
Kamron McFolley,27,DB,6000,175,FR,"Columbus, GA"
Brandon Simmons,27,RB,6000,229,FR,"Pleasant Grove, AL"
Sam Outlaw,28,RB,6010,213,SO,"Cumming, GA"
Antavius Grier,29,RB,5090,159,FR,"Jackson, GA"
Dustin Clabough,30,DB,6000,189,SO,"Alcoa, TN"
Adesola Abisoye,31,DB,5100,186,FR,"Loganville, GA"
Bronson Rechsteiner,32,RB,6000,223,SO,"Acworth, GA"
Darnell Holland,33,RB,5100,190,JR,"Bowdon, GA"
Myles White,34,RB,6000,182,SR,"Warner Robins, GA"
Terrance Bulock,35,DB,5100,174,JR,"Marietta, GA"
Shaquil Terry,37,RB,5090,179,FR,"Bessemer, AL"
Nick Beason,38,RB,5090,165,FR,"Columbus, GA"
Cole Loden,38,DB,5110,175,FR,"Kingsland, GA"
Nicolas Snowden,39,DB,5110,187,JR,"Snellville, GA"
Anthony Gore Jr.,41,LB,6000,209,JR,"Statesboro, GA"
Bryson Armstrong,42,LB,5110,201,FR,"Marietta, GA"
Jack Ness,43,LB,6000,212,FR,"Buford, GA"
Austin Byrd,44,TE,6030,244,JR,"Calhoun, GA"
Courtney Mills,45,LB,6010,243,FR,"Powder Springs, GA"
Chris Byrd,46,LB,5090,188,FR,"Gainesville, GA"
Kevin Ficklin,47,RB,5060,183,SO,"Dacula, GA"
Kyle Glover,48,LB,5110,209,FR,"Eastman, GA"
Izzy Sam,49,LB,5110,221,SR,"Buford, GA"
Travis Bell,50,DL,6010,295,FR,"Montgomery, AL"
Kyler Eldridge,51,LB,6000,208,FR,"Rome, GA"
Ryan Warrior,52,OL,6030,245,JR,"Fayetteville, GA"
Kendal Lawrence,53,LB,6010,215,FR,"Douglasville, GA"
Brenton Wimberly,54,LB,6020,213,SR,"Albany, GA"
Samuel Collins,55,OL,6030,290,FR,"Vidalia, GA"
Evan Reese,56,DL,6020,265,FR,"Savannah, GA"
Tonarius Portress,57,DL,5110,235,SR,"Newnan, GA"
Desmond Johnson,59,DL,6020,227,SO,"Rome, GA"
Drew McCracken,61,LS,6010,187,JR,"Calhoun, GA"
Zach Mitchler,62,OL,6030,238,JR,"Alpharetta, GA"
Savon Simmons,63,OL,6020,262,FR,"Fayetteville, GA"
Jacob Potter,64,LS,6000,230,FR,"Adairsville, GA"
Luther Jones,65,OL,6000,296,JR,"Blairsville, GA"
Jake Roberts,66,OL,6020,284,JR,"Dalton, GA"
CJ Collins,67,OL,6030,256,JR,"Woodstock, GA"
Chiaza Nwadike,70,OL,6030,286,JR,"Riverdale, GA"
Matt Frank,71,OL,6030,300,SR,"Fairburn, GA"
Lorenzo Adger,72,OL,6020,300,JR,"Douglasville, GA"
William Nana Fabu,73,OL,6010,301,FR,"Columbus, GA"
Sean Brown,74,OL,6020,245,FR,"Macon, GA"
Nick Eldridge,75,OL,6020,282,FR,"Hoover, AL"
Joseph Alexander Jr.,77,OL,6040,318,JR,"East Point, GA"
Zach Thompson,78,OL,6040,296,FR,"Swainsboro, GA"
Devin Pughsley,79,DL,6010,236,JR,"Hoover, AL"
Brandon Sutton,80,TE,6000,241,JR,"Lagrange, GA"
Gordon Gray,81,WR,6020,187,JR,"Cartersville, GA"
Jordan Genovese,83,PK,6050,190,JR,"Alpharetta, GA"
Jordan Walker,84,WR,6020,180,JR,"Savannah, GA"
Dorian Miles,85,WR,6020,181,FR,"Lawrenceville, GA"
Justin Thompson,86,PK,5100,156,JR,"Evans, GA"
Christian Kinsley,87,P,6030,234,SO,"Lexington, SC"
Nathan Robertson,88,PK,5100,155,FR,"Columbus, GA"
Nicholas Jones,89,PK,6010,178,FR,"Grayson, GA"
Auzoyah Alufohai,90,DL,6040,322,JR,"Alpharetta, GA"
Abdul Davis,91,DL,6030,258,FR,"Macon, GA"
Kyle Arrasmith,92,DL,6050,257,SO,"Navarre, FL"
Barclay Miller,94,DL,6000,240,SR,"Denham Springs, LA"
Braylon Young,95,DL,6000,246,JR,"Alcoa, TN"
Michael Sharpley,96,DL,6000,282,FR,"Madison, AL"
Allen Johnson,97,DL,6040,264,FR,"Acworth, GA"
McKenzie Billingslea,98,DL,6040,273,JR,"Powder Springs, GA"
Justin Marcus,99,DL,6030,238,SR,"Macon, GA"
