Name,Number,Position,Height,Weight,Class,Hometown
Marquis Fitzgerald,1,WR,6010,190,SR,"Farmville, VA"
Brett Bitter,2,WR,6020,170,FR,"Lutz, FL"
Jeremy Peters,2,CB,5100,190,JR,"Green Cove Springs, FL"
Rion Davis,3,S,6000,190,SO,"Hopkins, SC"
Mason Cunningham,4,QB,6000,190,SO,"Shelbyville, TN"
Jaylyn McKinney,4,LB,6000,225,SO,"Lake Wales, FL"
Lucas Irons,5,LB,6000,215,JR,"Fort Lauderdale, FL"
DJ Stubbs,5,WR,5090,175,FR,"Walkersville, WV"
Ceneca Espinoza Jr.,6,S,6010,200,FR,"Arlington, VA"
Kentory Matthews,6,RB,5100,175,JR,"Virginia Beach, VA"
Kedrick Bradley,7,LB,6010,230,JR,"Chattanooga, TN"
Damian King,7,WR,5110,175,JR,--
Jimmy Faulks,8,CB,6010,175,SO,--
Frank Boyd,9,RB,5110,180,FR,"Chesterfield, VA"
Amarii Jenkins,9,LB,6000,195,FR,"Ocala, FL"
Alex Probert,10,PK,5090,170,SO,"Andover, MN"
Antonio Gandy-Golden,11,WR,6040,200,SO,"Dallas, GA"
Stephen Calvert,12,QB,6020,180,SO,"Plantation, FL"
Brandon Tillmon,12,S,6010,210,SO,"Lexington, SC"
Aidan Alves,13,PK,6010,210,FR,"Dillsburg, PA"
Rudiger Yearick,13,QB,6030,195,FR,"Matthews, NC"
Lionell McConnell,14,WR,5100,180,FR,"Allen, TX"
Landon Brown,15,QB,6020,200,FR,"Tulsa, OK"
Jayod Sanders,15,DL,6030,210,FR,"Tallahassee, FL"
Spencer Jones,16,WR,6030,185,SO,"Nashville, TN"
Solomon Ajayi,17,LB,6010,230,JR,"Frisco, TX"
Khaleb Coleman,17,WR,6020,180,FR,"Washington, DC"
Fidel Ogbeifun,18,TE,6030,225,FR,"Douglasville, GA"
David Jeremaih,19,QB,6000,185,FR,"San Diego, CA"
Solomon McGinty,20,LB,6020,220,SR,"Navasota, TX"
Khaleel Carrington,21,CB,5100,165,SR,"Largo, MD"
Mitchell Lewis,21,RB,6000,220,FR,"Auburn, AL"
Kimani Donaldson,22,CB,6000,165,FR,"Jonesboro, GA"
Todd Macon,22,RB,5100,210,JR,--
