Name,Number,Position,Height,Weight,Class,Hometown
Colin Torres,--,DL,6010,250,FR,"Snellville, GA"
Taji Whitener,--,DB,5100,185,FR,"Union, SC"
Will Brock,1,QB,6020,205,SR,"Cleveland, GA"
Rock Ya-Sin,2,DB,6010,185,JR,"Decatur, GA"
Shadarius Harvey,3,WR,5080,165,SO,"Laurens, SC"
Torrance Marable,4,RB,5100,185,FR,"Decatur, GA"
DaShawn Davis,5,WR,5090,155,JR,"Inman, SC"
Michael Fisher,6,DB,5090,180,JR,"Mooresville, NC"
Gyasi Yeldell,7,DL,6020,245,JR,"Aiken, SC"
Ben Cheek,8,QB,6010,190,JR,"Franklin, GA"
DarQuez Watson,9,WR,6020,210,SR,--
Grant Beidel,10,LB,6010,230,SR,"Roswell, GA"
Kyle Goddard,11,WR,5110,185,SO,"Leonardtown, MD"
Mario Cusano,12,QB,6010,190,FR,"Greer, SC"
Brett Norton,12,PK,6010,185,JR,"Walhalla, SC"
Zola Davis,13,RB,6020,220,JR,"North Charleston, SC"
Trey Keels,13,QB,6060,210,FR,"Chester, SC"
Elijah Turner,14,DB,6010,185,SO,"Pickens, SC"
Jaylen Lindsay,15,DB,6030,215,JR,"Newberry, SC"
John Walker,16,QB,6010,185,JR,"Simpsonville, SC"
Cal King,17,QB,6030,190,SO,"Anderson, SC"
Keith Pearson,18,WR,5090,165,FR,"Enoree, SC"
Dirk Cureton,19,CB,5100,190,FR,"Charlotte, NC"
Kenneth Coleman,20,DB,6010,185,JR,"Jacksonville, FL"
Maleek Catchings,21,LB,6040,240,JR,"Marietta, GA"
Gardner Duckworth,22,P,6010,170,SO,"Augusta, GA"
Antonio Leroy,22,LB,5110,205,FR,"Albany, GA"
Robert Baker,23,DB,6030,195,JR,"Conyers, GA"
Malachi Brown,24,DB,5110,185,SO,"Jonesboro, GA"
Ryan Burgess,25,DB,6010,185,JR,"Lithonia, GA"
Orinthius Byrd,25,DB,6010,195,FR,"Spartanburg, SC"
Rod Haygood,26,DB,5100,175,FR,"Macclenny, FL"
DeAngilo Drayton,27,RB,6010,205,FR,"Aiken, SC"
Trent Carrington,28,DB,6010,190,FR,"Fayetteville, GA"
Joey Junius,29,DB,5110,200,SO,"Winder, GA"
Michael Hector,30,LB,5110,210,SO,"Decatur, GA"
Grayson Maxfield,30,PK,5070,155,FR,"Columbia, SC"
Nick Moss,31,LB,6010,225,SO,"Dearing, GA"
Mark Robinson,32,RB,6010,215,FR,"Leesburg, GA"
Airon Buick,33,DE,6010,235,FR,"Norcross, GA"
Dante Boyd,34,LB,6010,235,JR,"Prosperity, SC"
Glass Wilson,35,RB,5110,190,SO,"New Port Richey, FL"
Tim Hartshorn,36,PK,6010,170,JR,"Cumming, GA"
R.J. Bacon,37,P,6010,180,FR,"Columbia, SC"
Brandt Cameron,38,LS,6030,195,JR,"Suwanee, GA"
David Bramble,39,LB,5080,175,FR,"Evans, GA"
Austin Brundidge,40,LB,5110,210,FR,"Adamsville, AL"
Jackson Boland,41,P,5100,215,JR,"Ware Shoals, SC"
Michael Malinovsky,41,LB,6010,215,FR,"Atlanta, GA"
Kimonti Murray,42,LB,6020,195,FR,"Pembroke, GA"
Cody Montgomery,43,TE,6030,220,SO,"Richburg, SC"
Will Roberts,43,LB,6010,225,FR,"Thomson, GA"
Colby Campbell,44,LB,6010,210,FR,"Montmorenci, SC"
Mac McLennan,45,DE,6040,220,FR,"Charlotte, NC"
Marquise Inabinet,46,FB,6010,260,SO,"Columbia, SC"
Nick Chiaravalloti,48,DE,6010,235,FR,"Matthews, NC"
Hayden Caraway,49,LB,5110,220,JR,"Morganton, NC"
Ralph Singleton,51,OL,6040,235,FR,"Sumter, SC"
Jerius Duncan,52,OL,6010,275,SO,"Simpsonville, SC"
Guy Revelle,53,OL,6040,255,SO,"Tampa, FL"
Timothy Wilkins,54,OL,6020,290,FR,"Lawrenceville, GA"
Zane Dimiati,55,OL,6030,255,FR,"Greenwood, SC"
Cooper Short,56,LS,6010,260,FR,"Kings Mountain, NC"
Tre Lanham,57,LB,6010,235,FR,"Edgefield, SC"
Adonis Sealey,58,OL,6030,270,SO,"Hamer, SC"
Joe Christian,59,LS,6010,205,FR,"Simpsonville, SC"
Detrel Rush,59,FB,6030,230,FR,"Greeleyville, SC"
Omar Fattah,60,LS,5100,175,FR,"Greer, SC"
Frank Keller,61,OL,6010,280,JR,"Wilmington, NC"
Zach Darst,62,OL,6020,295,JR,"Seneca, SC"
Matthew Tindall,63,OL,6010,285,FR,"Columbia, SC"
Matt Mellette,64,OL,6010,265,FR,"Belmont, NC"
Eli Teeselink,65,OL,6010,300,SO,"Waconia, MN"
Thomas Hughes,67,OL,6030,275,SR,"Cordova, SC"
Darrius Rowe,68,DL,6010,335,JR,"Douglasville, GA"
Zach Cooper,69,OL,6010,285,JR,"Roebuck, SC"
Thomas Broom,70,OL,6010,210,JR,"York, SC"
Joe Kelly,71,OL,6020,285,JR,"Lawrenceville, GA"
Wil Easler,73,OL,5090,190,FR,"Saluda, SC"
Ethan Williams,75,OL,6040,230,FR,"Easley, SC"
Tobias Hagins,76,OL,6030,290,JR,"Baxley, GA"
John Biscardi,78,OL,6030,275,SR,"Fleming Island, FL"
George Crosby,79,OL,6020,290,FR,"Walterboro, SC"
Lucas Catalfomo,80,WR,6010,190,FR,"Anderson, SC"
Cedric Frazier,81,WR,6010,210,SO,"Miami, FL"
Creighton Buchanan,82,WR,6040,195,FR,"Alpharetta, GA"
Luke Foster,83,TE,6050,220,FR,"Easley, SC"
