Name,Number,Position,Height,Weight,Class,Hometown
Tereak McCray,1,WR,5100,188,JR,"Burlington, NC"
Kortez Weeks,2,WR,6000,175,FR,"Mount Ulla, NC"
Mark McGuire,3,QB,6000,180,FR,"Franklin Lakes, NJ"
Warren Messer,3,LB,5110,229,JR,"Garner, NC"
Jalen Greene,4,QB,6020,180,FR,"Durham, NC"
Tre Lennon,5,WR,6040,189,SR,"Greensboro, NC"
Daniel Everett,6,DL,6020,241,JR,"Williamston, NC"
Efrim Borders,7,DB,5090,193,JR,"Shelby, NC"
Chris Blair,8,DB,5110,216,SR,"Winston-salem, NC"
Seth Harrell,9,QB,5110,177,FR,"Byfield, MA"
Dondre Howell,9,DL,6040,249,SR,"Mooresville, NC"
Daniel Thompson,11,QB,6000,201,JR,"Boiling Springs, SC"
Connor Christiansen,12,DB,6010,190,JR,"Fishers, IN"
Bijan Emami,13,WR,5080,180,FR,"Holly Springs, NC"
Owen Johnson,14,PK,5100,182,FR,"Louisville, KY"
Nic Smoller,14,QB,6040,222,FR,"Greenwich, CT"
Jarquez Bizzell,15,DB,6010,194,FR,"Kinston, NC"
Davis Cheek,17,QB,6020,200,FR,"Matthews, NC"
McAllister Ingram,18,DB,5110,191,FR,"Thomasville, NC"
Copeland Spell,20,RB,5090,185,JR,"Greenville, NC"
Greg Liggs Jr.,21,DB,5110,188,SO,"Greensboro, NC"
Jack Landry,22,DB,5100,192,JR,"North Falmouth, MA"
Malcolm Galloway,23,DB,5110,205,SR,"Norcross, GA"
Zavier Williams,24,DB,6000,182,SO,"Ellenwood, GA"
Daniel Reid-Bennett,26,DB,6000,192,SO,"Lexington, NC"
Tyler Campbell,27,DB,5110,184,JR,"Suwanee, GA"
De'Sean McNair,28,RB,5080,213,SO,"Jacksonville, FL"
Jon Leach,29,DB,5070,175,SO,"Jackson, NJ"
Malcolm Summers,30,RB,5090,211,JR,"Mebane, NC"
Johnathan Jackson,31,LB,6010,224,SR,"Moore, SC"
Brelynd Cyphers,33,RB,5090,200,FR,"Virginia Beach, VA"
Richard Gray,34,DB,6010,182,FR,"Stone Mountain, GA"
Nicholas Kavouklis,34,LS,5090,214,JR,"Tampa, FL"
Jovon Allie,35,DB,5110,180,FR,"Collingswood, NJ"
William Sturdivant,36,DB,6000,180,FR,"Fayetteville, NC"
Quinn Dolan,37,LB,6000,215,FR,"Richland, NJ"
Jon Thomas,37,WR,6010,205,SO,"Atlanta, GA"
Christian VanSickle,38,PK,6010,182,FR,"Charlotte, NC"
Jasen Johnson,39,RB,5110,252,FR,"Atlanta, GA"
Tiras Williams,40,LB,6020,228,FR,"Anderson, SC"
Jack Pawloski,41,PK,6000,188,FR,"Florence, SC"
Alex Alvarez,42,DB,5100,203,FR,"Charlotte, NC"
Chandler Estep,45,DB,5090,211,SO,"Carmel, IN"
Zack Dudan,46,DB,5080,187,FR,"Huntersville, NC"
Connor Heger,47,TE,6000,233,SO,"Redmond, WA"
Ford Harvey,48,PK,5060,152,FR,"Newtown Square, PA"
Matt Foster,49,TE,6030,246,SO,"Williamsville, NY"
Matt Baker,51,LB,6000,226,JR,"Raleigh, NC"
Zach Stanley,52,LB,6010,220,FR,"Leesburg, VA"
T.J. Speight,53,LB,5100,221,SO,"Wilson, NC"
Cameron Wright,54,LB,6010,236,SO,"Hudson, NC"
Luke Moore,55,LB,6030,205,FR,"Kirkwood, MO"
Stephen Copeland,56,LB,5110,212,SO,"Virginia Beach, VA"
Ryan Whitehead,57,LB,6010,228,SO,"South Riding, VA"
Michael Ebaugh,58,LB,6040,217,FR,"Boone, NC"
Josh Armstrong,59,DL,6030,226,JR,"Fayetteville, NC"
Tristan Mazzulli,60,OL,6020,270,FR,"Waterford, CT"
CJ Toogood,61,OL,6020,294,JR,"Holly Springs, NC"
Michael Purcell,62,OL,6030,309,FR,"Centerville, OH"
Alex Higgins,64,OL,6010,290,JR,"Duluth, GA"
