Name,Number,Position,Height,Weight,Class,Hometown
Najee Goode,1,DB,5100,170,SR,"Philadelphia, PA"
Nigel Beckford,2,RB,5090,188,SR,"Bridgeport, CT"
Darrius Hart,3,DB,6030,210,JR,"Toms River, NJ"
Jared Osumah,4,WR,6030,205,SR,"South Windsor, CT"
DeAndre Scott,5,DB,5090,180,SR,"Philadelphia, PA"
Sterling Sheffield,6,LB,6020,245,JR,"Mullica Hill, NJ"
Jaleel Reed,8,WR,6010,200,SR,"East Lansdowne, PA"
Uchenna Egwuonwu,9,DL,6020,260,JR,"Union, NJ"
Micah Wright,10,WR,6010,190,JR,"Newark, NY"
Jaquan Blair,11,WR,6020,198,SO,"Harrisburg, PA"
Drew Belcher,12,QB,6030,240,JR,"Reading, MA"
Marquise Adams,13,WR,6000,185,SR,"Newark, NJ"
Chris Ferguson,14,QB,6040,226,FR,"Fort Washington, PA"
Isaiah Robinson,15,QB,6030,180,FR,"Bowie, MD"
Brandon Vicens,16,FB,6000,220,JR,"Miami Lakes, FL"
Ramon Jefferson,17,RB,5090,175,FR,"Bronx, NY"
Joshua Huffman,18,DB,5100,180,JR,"Buffalo, NY"
Spencer Carey,19,LB,6020,216,SR,"Fairfield, ME"
Tayvon Hall,20,DB,5090,180,SR,"West Hempstead, NY"
Jeffrey DeVaughn,21,DB,5100,193,JR,"Folcroft, PA"
AJ Dawson,22,DB,5080,170,SR,"Egg Harbor Township, NJ"
Mozai Nelson,23,DB,6000,205,JR,"Uniondale, NY"
Sinmisola Demuren,24,DB,6000,190,JR,"Mitchellville, MD"
Darian Davis-Ray,25,RB,5100,193,JR,"Harrisburg, PA"
Manny Patterson,26,DB,5100,178,SO,"Baltimore, MD"
Joe Fitzpatrick,27,RB,5100,215,JR,"North Yarmouth, ME"
Vince Camp,28,DB,6010,185,JR,"South San Francisco, CA"
Shaquille St-Lot,28,DB,5110,186,FR,"Montreal, PQ"
Jason Matovu,29,DB,6010,200,SR,"Cambridge, MA"
Ted Kubongo,30,RB,6000,195,FR,"Calgary, AB"
Erick Robertson,30,S,6010,190,FR,"Haddonfield, NJ"
Kenny Doak,31,PK,5110,180,FR,"Perkasie, PA"
Grant McDonald,32,TE,6030,220,FR,"Vancouver, BC"
Ernest Simon,33,DB,5090,185,FR,"Westwood, MA"
Josh Mack,34,RB,6010,198,SO,"Rochester, NY"
Derek Deoul,35,PK,6020,200,SO,"Washingtonville, NY"
Trey Wood,36,FB,6000,240,FR,"Brewer, ME"
Sam Lenson,37,P,6000,195,SR,"Natick, MA"
Richard Carr,38,DB,5090,186,FR,"Philadelphia, PA"
Demian Thomas,39,DB,6000,212,FR,"Camden, NJ"
Owen Elliott,40,LB,6000,210,FR,"Saco, ME"
Zachary Hume,41,LB,6020,222,SR,"Lancaster, MA"
Brandon Washington,42,FB,5100,240,FR,"Atlanta, GA"
Jaron Grayer,43,LB,6000,224,FR,"Steelton, PA"
Connor Walsh,44,DE,6030,267,JR,"Milton, MA"
Julian Dunn,45,RB,6020,235,JR,"Sandy Hook, CT"
Jacob Williams,46,RB,6000,210,FR,"Farmington, ME"
Jason Simonovich,47,TE,6030,250,SR,"Dallas, PA"
Michael Laverriere,48,FB,6020,225,FR,"Arundel, ME"
Brandon Briggs,49,PK,6000,170,JR,"Saco, ME"
Taji Lowe,50,LB,6010,220,SO,"Stewartsville, NJ"
Davis Turner,51,LB,6000,225,SO,"South Paris, ME"
Maurice McCray,52,LB,6010,261,FR,"Philadelphia, PA"
Jamehl Wiley,53,DE,6020,256,FR,"New Castle, DE"
Lincoln Ibanda,54,LB,6010,230,SO,"Malden, MA"
Isaiah Brooks,55,OL,6050,295,SR,"Bloomfield, CT"
Deshawn Stevens,56,LB,6020,230,FR,"Toronto, ON"
Daniel Rymer,57,DE,6050,210,FR,"Cambridge, MA"
Raffaele Salamone,58,DE,6040,245,FR,"Portland, ME"
Skylar Bowman,59,DT,6030,272,FR,"Hanover, PA"
