Name,Number,Position,Height,Weight,Class,Hometown
Malik Love,1,WR,5100,178,SO,"Alcoa, TN"
Mitch McPike,1,PK,5110,211,FR,--
D'Andre Drummond-Mayrie,4,S,6000,212,SR,"Lawrence, MA"
Christian Lupoli,5,QB,6020,194,FR,"East Haven, CT"
Marquis Carr,6,CB,5110,182,SR,"Naples, FL"
C.J. Turner,7,WR,5070,165,FR,"Rochester, NY"
Trevon Bryant,8,RB,5080,184,SR,--
Sean Coyne,8,PK,5100,175,FR,"Portsmouth, RI"
Isiah Perkins,9,CB,6000,183,SO,"Williamstown, NJ"
Will Pollard,9,QB,6010,189,FR,"Intervale, NH"
Drew Sanborn,10,PK,6000,202,SO,"Amherst, NH"
Nick Derocher,11,TE,6010,240,JR,"Northwood, NH"
Ivan Niyomugabo,12,QB,6010,209,SO,"Penacook, NH"
Dean Adams,13,S,5110,190,SO,"Medfield, MA"
Jason Hughes,13,WR,5090,189,FR,"Plaistow, NH"
Stephen Hedberg,14,QB,6030,190,FR,"Dover, NH"
Michael Balsamo,15,S,6000,205,SO,"Atkinson, NH"
Rick Ellison,16,S,5110,197,SO,"Rancho Santa Margarita, CA"
Michael Hershman,17,WR,6020,188,JR,"Mansfield, MA"
Trevor Knight,18,QB,6000,193,JR,"Amherst, NH"
Nick Lorden,19,WR,6040,211,FR,"Milford, NH"
Jerickson Fedrick,20,RB,5100,218,SR,"Salem, NH"
Evan Gray,22,RB,5100,222,SO,"Centreville, VA"
Mike Crawford,23,DB,6000,190,FR,"Philadelphia, PA"
Nick Marino,24,S,5100,185,SR,"Hudson, NH"
Geno Miller,26,S,5110,187,SR,"Fort Washington, MD"
Aidan Brown,27,CB,6010,180,FR,"Quincy, MA"
Sherron Dailey-Harris,28,DB,6000,170,FR,"Randolph, MA"
Hayden Middleton,28,PK,6040,187,JR,"Dover, NH"
Brandon Gallagher,29,WR,5100,197,SO,"Bridgewater, MA"
Carlos Washington Jr.,30,RB,5100,205,FR,"Fort Washington, MD"
Nick Lubischer,31,WR,5100,195,SO,"Red Bank, NJ"
Cody Rothwell,32,S,5090,196,SR,"Merrimac, MA"
Evan Horn,33,S,6000,195,FR,"Lebanon, PA"
Nelson Thomas,34,S,5100,202,FR,"Plainfield, NJ"
Jack Cavallaro,35,TE,6040,244,FR,"Hanover, NH"
Kyle Phipps,37,RB,5100,178,FR,"Linden, NJ"
Morgan Ellman,38,PK,6000,201,SR,"Scotch Plains, NJ"
Matt Sherlock,39,S,5110,195,SO,"River Edge, NJ"
Pop Lacey,40,S,6000,195,SO,"Reading, PA"
Alonzo Addae,41,CB,5110,184,FR,"Pickering, ON"
DeUnte Chatman,42,RB,6000,222,FR,"Houston, TX"
Jackson Housman,43,LB,6010,210,FR,"Weare, NH"
Dametres Perry,43,DB,6010,180,FR,"Orford, NH"
R.J. Janeczek,44,S,6010,200,FR,"Wall, NJ"
Pop Bush,45,S,6000,180,FR,"Nocatee, FL"
Prince Smith Jr.,46,CB,5100,181,SO,"Philadelphia, PA"
Sheir-Ron Whittaker,47,DB,6000,170,FR,"Philadelphia, PA"
Donald Goodrich,48,RB,5100,200,SR,"York, ME"
Gunner Gibson,49,LB,6030,230,FR,"Hailey, ID"
Cameron Brusko,50,LB,6000,198,SO,"Bethlehem, PA"
Steven Harper,51,LB,6000,213,FR,"Roselle, NJ"
Curtis Linton,53,OL,6030,270,FR,"Bear, DE"
Quinlen Dean,54,LB,6000,230,SO,"Greenbelt, MD"
Elijah Lewis,55,DT,6010,282,SO,"New Castle, DE"
Kyle Hamper,56,LB,6000,210,FR,"Portland, OR"
Patrick Flynn,57,OL,6030,265,FR,"Hanover, MA"
Colin Maguire,57,OL,6030,249,FR,"Fayetteville, GA"
Jared Kuehl,58,LB,6010,233,JR,"Plymouth, NH"
Odaine Franklyn,59,DT,6020,288,SR,"White Plains, NY"
Jacob Bradshaw,60,DT,6010,266,FR,"Damascus, MD"
Patrick Kaplan,61,DT,5100,269,FR,"Franklin, NH"
Matt Matulis,62,OL,6020,282,SO,"Boynton Beach, FL"
Nick Velte,63,OL,6030,286,SO,"Rochester, NY"
Cameron Rush,64,OL,6040,300,FR,"Avella, PA"
Mike McGuinness,65,OL,6000,276,SO,"Farmingdale, NJ"
Dayne Herron,66,OL,6040,307,JR,"Oak Harbor, WA"
Tyreak Richardson,67,OL,6030,330,FR,"Deerfield, MA"
Cyrus Boone,68,DT,6020,290,JR,"Stockton, CA"
David Imola,68,DL,6030,250,FR,"Greenwood Village, CO"
Jack Carroll,69,OL,6020,284,FR,"Oakton, VA"
Matt Mascia,70,OL,6020,284,FR,"East Meadow, NY"
Ryan Sosnak,71,DT,6020,300,JR,"Bethel Park, PA"
Rick Holt,72,DT,6040,293,SR,"Portsmouth, NH"
Jake Kennedy,73,OL,6030,309,SR,"Amherst, NH"
Will McInerny,74,OL,6070,305,SR,"Bedford, NH"
Riley Burns,75,OL,6030,300,FR,"Milford, MA"
