Name,Number,Position,Height,Weight,Class,Hometown
Jarriel Jordan,1,DB,5090,180,SR,"Fort Washington, MD"
Xavier Goodall,2,RB,5100,190,FR,"Henrico, VA"
Tafon Mainsah,3,DB,5110,200,SR,"Wichita, KS"
Micah Keels,4,DB,6030,190,JR,"Washington, DC"
Kyle Lauletta,5,QB,6030,215,SR,"Exton, PA"
Gordon Collins,6,RB,6000,225,JR,"Stafford, VA"
Kevin Johnson,7,QB,6000,195,JR,"Atlanta, GA"
Porter Abell,8,WR,6000,185,SR,"Lexington, VA"
Lemond Johnson,8,DB,6010,205,SR,"Cooper City, FL"
Stephon Jacob,9,TE,6040,245,JR,"Damascus, MD"
Darius Reynolds,9,DL,6020,240,FR,"Yorktown, VA"
Caleb Drake,10,WR,6030,190,JR,"Troy, NC"
Garrett Hudson,11,TE,6040,245,SR,"Raleigh, NC"
Joe Mancuso,12,QB,6030,215,FR,"Blairsville, GA"
Markus Vinson,12,DB,5110,170,FR,"Damascus, MD"
Brendan Coniker,15,DB,6010,210,SR,"Pittsburgh, PA"
Tre Story,15,QB,6010,185,FR,"Lanett, AL"
Reid Chenault,16,QB,6020,175,SO,"Goochland, VA"
D.J. Helkowski,16,P,6020,225,SR,"Warrenton, VA"
Jarmal Bevels,17,WR,6040,205,JR,"Fredericksburg, VA"
Dejon Brissett,18,WR,6020,190,JR,"Mississauga, AB"
Tyler Wilkins,19,WR,6030,200,JR,"Richmond, VA"
Deontez Thompson,20,RB,6000,205,SO,"Indian Head, MD"
Trent Williams,21,DB,6000,185,SO,"Chester, VA"
Dale Matthews Jr.,22,LB,6000,220,JR,"Bowie, MD"
Andrew Tsangeos,22,TE,6030,205,FR,"La Canada, CA"
Daniel Jones,23,DB,6010,200,SO,"Williamsburg, VA"
Devin Campbell,24,RB,5100,195,FR,"Yorktown, VA"
David Norris,24,LB,6020,205,SO,"Madison, AL"
Gabe Thomas,25,DB,6010,175,SO,"Orlando, FL"
Harrison Cook,26,WR,6010,160,FR,"Johns Creek, GA"
Trey Moore,26,LB,6010,230,SR,"Memphis, TN"
Jay Palmer,27,RB,6000,215,SO,"Princeton, WV"
Justin Rubin,29,LB,6020,220,SO,"Southampton, PA"
Devon Perry,30,DB,6000,195,FR,"Raleigh, NC"
Joshua Anderson,31,DB,5080,170,FR,"Woodbridge, VA"
Brandon Waller,32,DL,6040,255,JR,"Ardmore, PA"
Duncan Rogers,33,DB,5090,175,FR,"Richmond, VA"
Jacob Roberson,34,DB,5100,190,FR,"Richmond, VA"
Noah Nicholson,35,DB,6000,185,FR,"Olney, MD"
Maurice Jackson,36,LB,6020,265,FR,"Levittown, PA"
Samari Springs,37,DB,6010,180,FR,"Ashburn, VA"
Ganon Hingst,38,RB,5090,215,JR,"Henrico, VA"
Graham Latham,39,LS,6030,210,SR,"Midlothian, VA"
Chad Wiggins,40,DL,6030,240,JR,"Centreville, VA"
Tyler Dressler,41,LB,6030,230,FR,"Covington, VA"
Jordan Payne,42,DB,6000,195,FR,"Conyers, GA"
Madison Day,43,LB,6030,230,SR,"Midlothian, VA"
Griffin Trau,44,P,5080,170,JR,"Culver, IN"
Justin Hayes,45,RB,5100,175,FR,"Chatham, NJ"
Tanner Lacey,47,LB,6000,220,FR,"Mechanicsville, VA"
Gus Lee,48,DB,5110,185,FR,"Fairfax, VA"
Kevin Laughlin,49,OL,6000,195,FR,"Little Silver, NJ"
John Yarbrough,50,OL,6050,285,SO,"Homewood, AL"
Josh Hurlburt,52,LB,6020,220,FR,"Vienna, VA"
Kolby Williams,55,OL,6020,295,JR,"Fort Washington, MD"
Paul Padalino,57,LB,6000,240,SO,"Potomac, MD"
Billy Caughell,59,LB,6020,225,JR,"Apopka, FL"
Marius Young,60,OL,6030,275,SR,"Richmond, VA"
Clayton McConnell,62,OL,6040,275,FR,"Foley, AL"
Tyler Cole,65,OL,6040,275,FR,"Purcellville, VA"
Alex Light,66,OL,6060,310,JR,"Salem, VA"
Grant Dixon,70,OL,6050,285,FR,"Charlotte, NC"
Jack Doherty,72,OL,6040,280,FR,"Nashville, TN"
Adam Samee,74,OL,6060,280,FR,"Clearwater, FL"
Patrick Kliebert,75,OL,6070,325,JR,"New Orleans, LA"
Seyoum Settepani,77,OL,6030,280,FR,"Harlem, NY"
Blane Markham,78,OL,6060,280,SO,"Lynchburg, VA"
Tazle Sumpter,79,OL,6040,285,FR,"Richmond, VA"
Jeremiah Morton,80,WR,6030,185,FR,"Lebanon, NH"
Anthonie Powell,81,WR,6030,215,FR,"Fayetteville, GA"
James Abate,82,TE,6040,205,FR,"Charlotte, NC"
Jordan Cannady,83,WR,5090,165,FR,"Chesapeake, VA"
Ben Maffe,84,WR,6030,235,FR,"Ashburn, VA"
Caleb Brooks,85,DE,6040,220,FR,"Clifton, VA"
Michael Horan,86,WR,5100,170,FR,"Woodbridge, VA"
Dashon Tibbs,87,WR,6020,210,SR,"Charlottesville, VA"
Will Geraghty,88,TE,6050,255,FR,"Atlanta, GA"
Matt Sullivan,89,TE,6030,235,FR,"West Nyack, NY"
Will Ingle,90,DL,6030,260,FR,"Burlington, NC"
Andre Booker,91,DL,6020,275,SO,"Richmond, VA"
Colby Ritten,92,DL,6020,265,FR,"Orlando, FL"
Cody Gray,94,DL,6000,250,FR,"Richmond, VA"
Gershom Ejoni,95,DL,6050,220,SO,"Wake Forest, NC"
DeAnthony Muse,96,DL,6010,265,JR,"Roanoke, VA"
Andrew Clyde,97,DL,6030,275,SO,"Dallas, TX"
Kobie Turner,99,DL,6020,230,FR,"Clifton, VA"
