Name,Number,Position,Height,Weight,Class,Hometown
Malik Reaves,1,DB,6000,200,SR,"Jacksonville, FL"
Rasaan Stewart,2,DB,5110,200,SR,"Collegeville, PA"
Trey Johnson,3,DB,5110,170,SR,"Lutz, FL"
Rob Rolle,4,DB,6000,185,SR,"Newfield, NJ"
Jarrett McClenton,5,WR,5070,155,JR,"Bensalem, PA"
Corey Russo,6,RB,5080,195,JR,"River Vale, NJ"
Julian Williams,7,DB,6030,195,SO,"Airmont, NY"
D'Andre Pollard,8,RB,5070,175,SO,"Bensalem, PA"
Jack Schetelich,9,QB,6010,190,FR,"Cranford, NJ"
Gregg Kobelski,10,LB,6000,205,SR,"Andover, MA"
Kyle McCloskey,11,QB,6030,220,FR,"Fort Washington, PA"
Adeyemi DaSilva,12,WR,6010,205,JR,"Edgewater, NJ"
Sam Shaud,13,WR,5100,185,JR,"Rumson, NJ"
Zach Bednarczyk,14,QB,6010,200,JR,"Wallington, NJ"
Brandon Chadbourn,15,WR,6000,200,SO,"Altoona, PA"
Jackson Bradley,16,QB,6010,220,JR,"St. Johns, FL"
Nowooola Awopetu,17,DB,5110,195,FR,"Staten Island, NY"
Dage Davis,18,DB,5100,170,SO,"Waldorf, MD"
Terrell Vassel,19,DB,5110,185,FR,"East Orange, NJ"
Matt Gudzak,20,RB,5090,200,SR,"Toms River, NJ"
Korey Stevens,21,DB,5090,155,FR,"Columbia, MD"
Jaquan Amos,22,DB,5100,180,FR,"Philadelphia, PA"
Julian Liaci,23,WR,5080,170,FR,"Nazareth, PA"
Taurus Phillips,24,WR,5090,185,SR,"Beacon, NY"
Aaron Forbes,25,RB,5090,220,JR,"Newburgh, NY"
Josh McGrigg,26,WR,5080,170,FR,"Alexandria, VA"
Jevon Jones,27,DB,6020,190,FR,"Syracuse, NY"
Alex Padovani,28,WR,6000,205,JR,"Hammonton, NJ"
Amin Black,29,LB,5090,235,FR,"Philadelphia, PA"
Justin Covington,30,RB,5110,220,FR,"Bronx, NY"
Darryl McDaniel,32,DB,5110,190,FR,"Washington, DC"
Ed Shockley,33,LB,5110,235,SR,"Millville, NJ"
Drew Ehrlich,34,DB,5100,175,FR,"Annapolis, MD"
Joseph Sotomayor,35,LB,6010,215,SR,"Melville, NY"
Damone Drew,36,RB,5080,190,FR,"Stafford, VA"
Andrew Smith,37,WR,6010,180,JR,"Falls Church, VA"
Chucky Smith,38,DB,5110,190,JR,"Newbury Park, CA"
Gabe Cohen,39,LB,6000,220,SO,"Sloatsburg, NY"
Jeff Wiley,40,DL,6030,285,SO,"Pennington, NJ"
Isaiah Alicea,41,DB,5090,170,JR,"King Of Prussia, PA"
