Name,Number,Position,Height,Weight,Class,Hometown
Jalen Christian,2,WR,5090,185,SO,"Damascus, MD"
Aaron Swinton,3,CB,5090,175,SR,"Lancaster, PA"
Shon Mitchell,4,QB,6000,180,FR,"Chesapeake, VA"
Isaiah Kinder,5,WR,6000,195,JR,"Lewisburg, WV"
Tommy McKee,6,QB,6020,205,JR,"Virginia Beach, VA"
Ted Hefter,7,QB,6000,195,FR,"Bethesda, MD"
Corey Parker,8,S,5110,195,SO,"Haymarket, VA"
Zach Burdick,9,WR,6010,190,FR,"Aldie, VA"
Brandon Battle,10,QB,6030,195,SO,"La Plata, MD"
DeVonte Dedmon,11,WR,5100,195,SR,"Williamsburg, VA"
Mike Barta,12,S,6020,210,SR,"Ashburn, VA"
Nathan Lewis,13,CB,6000,185,FR,"Chesapeake, VA"
Chris Conlan,14,WR,6040,200,SO,"Leetsdale, PA"
Daniel Kuzjak,15,WR,6020,208,SR,"Charlottesville, VA"
Amonyae Watson,16,WR,6010,174,FR,"Newport News, VA"
Justin Dulaney,17,WR,6030,205,FR,"Berryville, VA"
Dean Rotger,18,QB,6000,200,FR,"Poughkeepsie, NY"
Kris Hooper,19,PK,6000,175,SO,"Barboursville, VA"
Arman Jones,21,LB,6000,205,SO,"Chesapeake, VA"
Jack Armstrong,22,WR,6000,180,JR,"Morgantown, WV"
Joshua Owusu,23,LB,6000,202,FR,"Hampton, VA"
Denzel Dykes,24,CB,5110,175,SR,"Waldorf, MD"
Shamir Bearfield,25,LB,6000,193,JR,"Carteret, NJ"
Albert Funderburke,26,RB,6000,200,SO,"Monroe, NC"
Zach Sims,27,WR,5090,160,SO,"Fredericksburg, VA"
Raeshawn Smith,28,CB,5100,172,JR,"Alexandria, VA"
Jaret Anderson,29,RB,5090,195,FR,"Charlotte, NC"
Mike DeMonte,30,LB,6020,215,SO,"Red Bank, NJ"
Brady Reitzel,31,WR,5110,190,SO,"Ashburn, VA"
Josh Dulaney,32,LB,6020,234,JR,"Berryville, VA"
Noah Giles,33,RB,6000,195,FR,"Suffolk, VA"
Nate Evans,34,RB,5100,190,FR,"Mechanicsville, VA"
Brehon Britt,35,RB,5100,200,SO,"Chesapeake, VA"
Tyler Crist,36,FB,5110,220,FR,"Hampton, VA"
Gage Herdman,37,DB,6030,195,FR,"Leesburg, VA"
Nygil Dalton,38,DB,5110,181,FR,"Lexington, NC"
Grant Waxter,39,WR,6020,200,SO,"Mount Airy, MD"
Simeon Brown,40,CB,5110,192,SO,"Christiansburg, VA"
Isaiah Laster,41,S,6010,210,SO,"Cary, NC"
