Name,Number,Position,Height,Weight,Class,Hometown
Cameron Roane,2,DB,6000,195,SR,"Durham, NC"
Ryan Suitt,2,QB,6010,175,JR,"Fort Worth, TX"
Josh Bean,3,QB,6020,205,FR,"Hinsdale, IL"
Blake Wooden,3,DB,6000,175,FR,"Pembroke Pines, FL"
Hunter Lunsford,4,DB,6010,195,SO,"Elk Grove, CA"
Will Allen,5,DB,5090,170,FR,"Pembroke Pines, FL"
Landon Baty,6,DB,5100,195,SR,"Mountain View, CA"
Marcus Briscoe,7,WR,6020,210,SR,"Diamond Bar, CA"
Dillon Davis,8,QB,6020,205,FR,"Aledo, TX"
Michael Murphy,8,LB,5110,195,SO,"Tampa, FL"
Christian Everett,10,WR,6020,215,SO,"Chicago, IL"
Dylan Weldon,10,DB,5090,160,SR,"Las Vegas, NV"
Kyle Castner,11,WR,6010,210,JR,"Indianapolis, IN"
Denzel Hill,11,DB,6030,200,SR,"Waldorf, MD"
Anders Hill,12,QB,6040,215,SR,"Boulder, CO"
Tyson Hugee,12,DB,6000,175,FR,"Blue Bell, PA"
Josh Wainwright,13,WR,5110,170,SO,"Austin, TX"
Matt Dame,14,QB,6020,180,SO,"Jupiter, FL"
Jacob Young,14,DB,5100,195,JR,"Bethlehem, PA"
Colinn Early,15,DB,5070,175,SR,"New Orleans, LA"
Daniel Hong,15,QB,6030,185,JR,"Las Vegas, NV"
Emerson Kabus,15,WR,5100,170,FR,--
Justin Hill,16,DB,5090,165,SO,"Springfield, PA"
Oren Milstein,17,PK,5080,160,SO,"Boca Raton, FL"
Tre Gabriel,18,WR,5060,155,JR,"West Palm Beach, FL"
Benjamin McKeighan,19,DB,6000,190,SO,"Scottsdale, AZ"
Tanner Thomas,20,RB,5100,190,SO,"Knoxville, TN"
Chris Schroer,21,RB,6000,215,SR,"Cincinnati, OH"
Lynnard Rose,22,RB,6000,185,SO,"Houston, TX"
Darion Acohido,23,WR,5090,185,FR,"Henderson, NV"
Ronald Smith II,24,WR,6020,185,SO,--
Alex Gibson,25,RB,5100,190,SO,"Doylestown, PA"
Ben Mathiasmeier,25,DB,5100,195,FR,"Katy, TX"
Marquavious Moore,26,RB,5110,195,FR,"Memphis, TN"
Graham Flinn,27,DB,6010,180,FR,"Richmond, VA"
Jonathon Webster,28,DB,6000,190,SO,"Sammamish, WA"
Broderick Taylor,29,RB,6010,200,FR,"Holly Springs, NC"
Van Neils,30,RB,6000,215,SO,"North Mankato, MN"
Bailey Rotsky,30,DB,6000,180,FR,"Gates Mills, OH"
Ryan Gilbert,31,DB,6000,190,JR,"Bellevue, WA"
Alexander Filacouris,32,RB,6010,205,FR,"Dix Hills, NY"
Tyler Holmes,33,DB,6000,175,SR,"Virginia Beach, VA"
Cooper Wilson,33,DL,6030,230,FR,"Merritt Island, FL"
Jalen Allen,34,RB,5110,195,FR,"Farmington Hills, MI"
Matt Tofano,35,LB,6020,220,SO,"San Jose, CA"
Parker Tobia,36,LB,6010,220,SR,"Park Ridge, NJ"
Jalen Williams,37,LB,6000,230,SO,"Birmingham, AL"
Max Mullaney,38,LB,6030,235,SO,"Colts Neck, NJ"
Turner DeMuth,39,RB,5110,205,SR,"Whitefish Bay, WI"
Carson Powell,40,LB,6000,205,FR,"West Palm Beach, FL"
Justin Woodley,41,LB,6020,215,FR,"Chula Vista, CA"
Ian Tyler,42,DL,6050,250,SR,"Muskegon, MI"
Ben Hill,43,TE,6030,245,SO,"Memphis, TN"
Luke Adams,44,LB,6020,215,FR,"Pontiac, MI"
Cameron Lipton-Martinez,44,TE,6050,240,FR,"Montclair, NJ"
David Donovan,45,DL,6040,250,SR,"Linwood, NJ"
Cameren Carter,46,LB,6020,215,FR,"Duluth, GA"
Daniel DeLorenzi,47,DL,6020,245,SO,"Cedar Grove, NJ"
Sean White,48,LB,6030,235,JR,"Friendswood, TX"
Casey Mariucci,49,TE,6040,210,FR,"La Jolla, CA"
Taylor Weldon,49,DL,6020,245,SO,"Americus, GA"
John Fischer,50,OL,6030,280,SO,"Springfield, IL"
Clay Caruso,51,LB,6030,225,SR,"Strongsville, OH"
Joseph Scowden,51,OL,6040,300,SO,"Nashville, TN"
Seth DeVary,52,OL,6040,285,FR,"Hodgenville, KY"
