Name,Number,Position,Height,Weight,Class,Hometown
Dylan Otolski,1,S,6010,210,SO,"Grand Rapids, MI"
Steven Rodriguez,1,RB,6020,202,JR,"Miami Lakes, FL"
Austin Holmes,2,CB,5090,171,JR,"Silver Spring, MD"
Owen Peters,2,WR,6000,190,SO,"Rockville, MD"
Collin Shaw,3,WR,6020,210,SR,"Plano, TX"
Jake Watkins,3,CB,6010,183,JR,"Yorba Linda, CA"
Jake Jatis,4,QB,6040,225,SR,"Crown Point, IN"
Jelani King,4,CB,5110,166,SR,"Albany, NY"
Malcolm Chaka,5,LB,6030,231,JR,"Mississauga, AB"
Turner DePalma,5,WR,5090,175,FR,"Ithaca, NY"
Gustavo Dorsett,6,WR,6020,199,JR,"El Paso, TX"
Jeremiah Shaw,6,LB,6030,217,SR,"Westerville, OH"
Dalton Banks,7,QB,6030,232,JR,"SAN ANTONIO, TX"
Chase Scarboro,7,DB,6020,205,FR,"Hendersonville, TN"
J.D. PicKell,8,RB,6000,192,JR,"Santa Ana, CA"
DJ Woullard,8,CB,6010,195,JR,"Fullerton, CA"
Jordan Majors,9,CB,6020,191,SR,"Newtown Square, PA"
Chris Walker,9,RB,6010,202,JR,"Lewisburg, TN"
Daniel Trimbur,10,WR,6030,195,FR,"Bridgeville, PA"
Ryan Kelley,11,LB,6030,230,JR,"Ross, CA"
Richie Kenney,11,QB,6020,190,FR,"Suwanee, GA"
Mike Catanese,12,QB,6030,186,SO,"West Hempstead, NY"
Malik Leary,12,S,6020,210,SO,"Shreveport, LA"
Justin Bedard,13,LB,6010,225,SO,"Johnson City, TN"
Nesean Crofford,13,WR,5100,183,JR,"Alpharetta, GA"
Harley Kirsch,14,QB,6040,228,SO,"Redmond, WA"
Brock Thomas,14,S,6000,195,SR,"Plano, TX"
Davy Lizana,15,WR,6040,215,SO,"Phoenix, MD"
Maxwell McCormick,15,LB,6030,225,JR,"Holland, OH"
Justin Solomon,16,S,6020,209,SR,"Chandler, AZ"
Richard Wagner,16,QB,6050,215,FR,"San Juan Capistrano, CA"
JT Baker,17,DB,6000,180,FR,"Crystal, MN"
Demetrius Daltirus,17,WR,6020,215,SR,"Yardley, PA"
Ijhad Bonner,18,LB,6020,218,SO,"Pittsburgh, PA"
Eric Gallman II,18,WR,5100,180,FR,"Charlotte, NC"
Mo Bradford,19,LB,6020,227,SO,"Hot Springs, AR"
Zack Brienza,19,WR,5070,171,JR,"Rochester, NY"
Harold Coles,20,RB,6010,200,SO,"Erie, PA"
Sean Scullen,20,S,6030,195,SR,"Rochester, MI"
Kenan Clarke,21,DB,5110,180,FR,"Pickering, ON"
Tyree Toliver,22,LB,6010,225,FR,"Chattanooga, TN"
Garrett Cloer,23,WR,6050,232,JR,"Hurdle Mills, NC"
Jelani Taylor,23,CB,5110,184,SO,"Mount Morris, MI"
Griffin Collins,24,WR,6040,210,FR,"Plano, TX"
Miles Norris,24,LB,6000,240,SR,"Baltimore, MD"
