Name,Number,Position,Height,Weight,Class,Hometown
Masaki Aerts,--,WR,6020,175,FR,"Warren, NJ"
Mac Battle,--,LB,6030,200,FR,"Meridianville, AL"
Marcus Berg,--,RB,5090,205,SR,"Minneapolis, MN"
Nate Boone,--,DE,6030,225,FR,"Mishawaka, IN"
Donny Carty,--,OL,6050,260,FR,"Dallas, TX"
Tommy Ciesla,--,DT,6030,235,FR,"Naperville, IL"
Tanner Cross,--,LB,6020,215,FR,"Fort Smith, AR"
Rocco Di Leo,--,DL,6030,265,SR,"Elmhurst, IL"
Sean Dowling,--,OL,6040,300,FR,"Alexandria, VA"
Dakari Falconer,--,RB,5110,175,FR,"Somerset, NJ"
Colton Forster,--,LB,6020,210,SO,"Napa, CA"
Gage Guerra,--,OL,5110,265,JR,"Corona, CA"
Jake Guidone,--,OL,6020,270,FR,"East Walpole, MA"
C.J. Hadnot,--,QB,6000,185,FR,"Vero Beach, FL"
Evan Hecimovich,--,OL,6030,260,FR,"Lisle, IL"
Thomas Hennessy,--,LB,6020,220,FR,"Lewiston, MN"
Harrison Herskowitz,--,S,6000,175,FR,"Miami, FL"
Kamana Hobbs,--,DB,6000,160,JR,"Honolulu, HI"
J.J. Jones III,--,TE,6040,225,FR,"Tracy, CA"
Arthur Kaslow,--,LB,6020,200,SO,"Calabasas, CA"
Derek Kyler,--,QB,6000,180,FR,"DeKalb, IL"
Samuel Laurent,--,WR,6030,175,FR,"Attleboro, MA"
Ethan Maenza,--,RB,5110,185,FR,"Wexford, PA"
Caleb Martin,--,LB,6020,240,FR,"Jesup, GA"
Niko Mermigas,--,S,5110,185,FR,"Wexford, PA"
Jayden Minchew,--,S,6000,180,FR,"Springdale, AR"
Naeem Morgan,--,LB,6020,200,FR,"Middlesex, NJ"
Justin Porter,--,CB,5090,185,SR,"Pembroke Pines, FL"
Elijah Roth,--,WR,5100,185,FR,"Malibu, CA"
Zach Sammartino,--,OL,6040,285,JR,"Pittsburgh, PA"
Miles Sanders,--,DT,6030,290,FR,"Chesterfield, MO"
Darren Stanley,--,CB,5110,175,FR,"Conway, SC"
DeWayne Terry,--,CB,6010,180,FR,"Cutler Ridge, FL"
Seth Walter,--,DE,6030,230,FR,"Longboat Key, FL"
Kalil Washington,--,DE,6010,230,JR,"Robinson, TX"
Holden Wilmsen,--,TE,6040,255,FR,--
Jackson Yost,--,DT,6040,265,FR,"Mill Creek, WA"
Hunter Ziegelmeyer,--,OL,6060,270,FR,"Fort Wright, KY"
Hunter Hagdorn,1,WR,6000,185,SO,"Manvel, TX"
Danny McManus,2,DB,5090,180,SR,"Mendota Heights, MN"
Kyran McKinney-Crudden,3,S,6000,200,SR,"Glastonbury, CT"
Emory Thompson,4,WR,5100,170,SR,"Lexington, KY"
Colin Boit,7,S,6020,210,SR,"Sammamish, WA"
Dylan Mellor,8,WR,6000,180,JR,"Purcellville, VA"
Cole Douglas,10,QB,6010,205,SO,"Irmo, SC"
J.J. Jefferies,10,LB,6020,255,JR,"Fresno, CA"
Jack Heneghan,11,QB,6040,225,SR,"Atherton, CA"
Jared Gerbino,13,QB,6040,225,SO,"Rush, NY"
Micah Croom,14,DB,6020,195,SO,"Cerritos, CA"
David Smith,16,DB,5110,175,SR,"Montreal, PQ"
Emmanuel Soto,17,WR,6010,175,JR,"Davie, FL"
Josh Davis,18,WR,6000,175,SR,"Los Angeles, CA"
Jake Pallotta,18,QB,6000,200,SO,"Canton, OH"
Darius George,19,DB,6010,200,SR,"Lauderhill, FL"
Darryl Mobley,19,QB,6020,190,JR,"Austin, TX"
