Name,Number,Position,Height,Weight,Class,Hometown
Ryan Glover,1,QB,6020,205,FR,"Atlanta, GA"
Kohl Hollinquest,2,WR,6040,215,SO,"Granada Hills, CA"
Nico Ament,3,LB,6020,200,JR,"Anaheim, CA"
Mac Humble,3,WR,6000,185,FR,"Spicewood, TX"
Jay Cammon Jr.,4,RB,5100,200,JR,"Landover, MD"
Eric Markes,5,DB,6010,180,SO,"Valencia, CA"
Justin Watson,5,WR,6030,210,SR,"Bridgeville, PA"
Jyron Walker,6,DB,5090,160,JR,"Baton Rouge, LA"
Winston Britton,7,DB,5100,175,FR,"Chester, NY"
Christian Pearson,7,WR,6010,190,JR,"Northridge, CA"
Nick Robinson,8,QB,6020,205,SO,"Trabuco Canyon, CA"
Kolton Huber,10,WR,6020,205,SO,"Basking Ridge, NJ"
Niko France,11,RB,5080,200,JR,"Brownstown, MI"
Tyler Herrick,11,QB,6010,175,SO,"Hutto, TX"
Justin Morrison,12,DB,5110,185,JR,"Swedesboro, NJ"
Sire Woods,12,TE,6040,225,FR,"Lakewood, CA"
Nick Rittenhouse,13,TE,6030,190,SR,"Cocoa, FL"
Ian Ude,13,DB,5110,195,FR,"Atlanta, GA"
Will Fischer-Colbrie,14,QB,6010,215,SR,"Los Altos, CA"
Sam Philippi,14,DB,6010,190,JR,"Trabuco Canyon, CA"
Gavin Geib,15,TE,6040,215,FR,"Houston, TX"
David Perkins,16,PK,6010,200,FR,"Houston, TX"
Trevor Cefalu,17,WR,5080,175,JR,"Atlanta, GA"
Hassan Smith,17,DB,5090,175,JR,"Los Angeles, CA"
Steve Farrell,19,WR,6040,205,JR,"Hillsdale, NJ"
Jacob Martin,20,DB,6010,195,SO,"Buford, GA"
Abe Willows,21,RB,5110,195,SO,"Austin, TX"
Jared Noble,22,DB,5100,190,FR,"Blacklick, OH"
Tre Solomon,22,RB,6000,200,SR,"Brooklyn, NY"
Mustafaa Dais,23,WR,6020,180,SR,"Pomona, NY"
Zach Evans,23,DB,6020,215,SO,"Harrison, NY"
Ayman Mayberry,24,DB,6000,180,SR,"Chula Vista, CA"
Austin Cooper,25,DB,6000,200,SO,"Centennial, CO"
Hunter Hayes,25,RB,6020,195,SO,"Oakdale, PA"
Anthony Lotti,26,DB,6010,190,FR,"Freehold, NJ"
Dante' Moore,27,RB,5100,180,SO,"Egg Harbor Township, NJ"
Riley O'Brien,27,DB,5110,180,FR,"San Clemente, CA"
Tayte Doddy,28,DB,6000,205,SO,"The Woodlands, TX"
James McCarthy,29,LB,6010,215,FR,"Red Bank, NJ"
