Name,Number,Position,Height,Weight,Class,Hometown
Reinaldo Maristany,1,WR,5100,165,SR,"New Rochelle, NY"
TJ Floyd,2,DB,5100,180,SO,"Jacksonville, FL"
John Tracy,3,QB,6030,215,FR,"Novi, MI"
Jesper Horsted,4,WR,6040,220,JR,"Shoreview, MN"
Joe Salter,5,QB,6000,200,SR,"West Caldwell, NJ"
Luke Turner,5,DB,6010,205,FR,"Naperville, IL"
Collin Eaddy,6,RB,5110,200,FR,"Raleigh, NC"
Tiger Bech,7,WR,5090,170,SO,"Lafayette, LA"
Tavish Rice,8,PK,6020,185,SO,"Miami, FL"
Nick Peabody,9,TE,6040,230,SR,"West Yarmouth, MA"
Jeremiah Tyler,9,DL,6000,205,SO,"Detroit, MI"
Matthew Winston,9,DB,6010,185,FR,"Hoschton, GA"
Kevin Davidson,10,QB,6040,220,SO,"Danville, CA"
Chase Williams,10,LB,6010,205,SO,"Atlanta, GA"
Chad Kanoff,11,QB,6040,225,SR,"Pacific Palisades, CA"
Charles Wall,11,DB,5110,175,FR,"Plano, TX"
John Lovett,12,QB,6030,220,SR,"Wantagh, NY"
Sultaan Shabazz,12,DB,6000,180,FR,"College Park, GA"
Jacob Birmelin,13,WR,5090,165,FR,"Royal Palm Beach, FL"
Will Johnson,13,WR,5090,170,SO,"Lexington, MA"
Steven Mejia,14,P,5110,180,JR,"Doral, FL"
Cole Smith,14,QB,6020,190,FR,"Knoxville, TN"
Zach Kelly,15,QB,6000,190,SO,"Clinton, LA"
Brett Stewart,15,DB,5100,210,JR,"Garden City, NY"
Austin Carbone,16,DB,5090,155,FR,"Richardson, TX"
Eugene Stallworth,17,DB,5110,170,FR,"Cincinnati, OH"
Adam Hoffman,18,DB,6000,195,SR,"Apple Valley, MN"
Zachary Keller,18,QB,6060,220,SO,"Basking Ridge, NJ"
Andrew Griffin,19,WR,6000,200,SO,"Avon, IN"
Tyler Campbell,20,DB,5100,200,SO,"Plano, TX"
Charlie Volker,20,RB,5100,205,JR,"Fair Haven, NJ"
Quincy Wolff,21,LB,5100,210,SR,"Atlanta, GA"
Chance Melancon,22,DB,5080,200,SR,"Allen, TX"
Phillip Frost,23,DB,6000,170,SO,"Fort Worth, TX"
Benjamin Ellis,24,DB,6000,200,JR,"Memphis, TN"
Ryan Quigley,25,RB,5110,180,SO,"Lansdale, PA"
Eli Stern,26,DB,6000,200,JR,"Los Angeles, CA"
Jacob Lewis,27,RB,6010,210,SR,"Edmond, OK"
Hayden Murphy,28,RB,6020,220,SR,"Centerville, MA"
John Clarke,29,WR,6010,200,SR,"Houston, TX"
TC Schneider,29,DB,5090,180,JR,"The Woodlands, TX"
EJ Caldwell,30,RB,6010,195,FR,"Columbus, OH"
Ben Novello,30,DB,5100,165,JR,"Tampa, FL"
Christian Sullivan,31,DB,6000,185,SO,"Marietta, GA"
Carter Mulroe,32,LB,6000,220,SO,"Tampa, FL"
Dominique Summerville,32,RB,5070,165,JR,"Charlotte, NC"
Edward Rudinski,33,LB,6020,225,SO,"Santa Monica, CA"
Thomas Johnson,34,LB,6000,220,JR,"Moorestown, NJ"
James Johnson,35,LB,5110,210,FR,"Moorestown, NJ"
Kyle Burford,36,DB,6000,190,FR,"Carrollton, TX"
Tavaris Noel,37,LB,6010,205,FR,"Yorktown, VA"
Trevor Forbes,38,DB,6000,190,FR,"Memphis, TN"
Cody Smith,39,RB,6000,260,JR,"Lincoln University, PA"
John Orr,40,LB,6010,220,SO,"Nashville, TN"
Jackson Simcox,41,LB,5110,230,JR,"Westfield, NJ"
Mark Fossati,43,LB,5090,220,SR,"Upper Saddle River, NJ"
Ty Desir,44,DL,6050,280,SR,"Uniondale, NY"
David Harvey,44,LB,6020,215,FR,"Mt. Lebanon, PA"
Mitchell Dunay,45,FB,5110,240,SR,"Cicero, NY"
Antonio Ferrer,46,P,6020,215,FR,"Miami, FL"
Deion King,47,LB,6000,230,SR,"Buford, GA"
Nicolas Ramos,48,PK,5110,185,FR,"Miami, FL"
Thomas Martello,49,LB,6000,225,SR,"Rumson, NJ"
Rick Raga,50,LB,6010,230,SO,"Cincinnati, OH"
Connor Mills,51,DL,6030,310,FR,"Buford, GA"
Sean Chambers,53,LB,6030,195,SO,"Geneva, IL"
Kelton Chastulik,53,DL,6030,275,FR,"Chambersburg, PA"
