Name,Number,Position,Height,Weight,Class,Hometown
Collyn Anderson,1,QB,6050,210,JR,"Durham, NC"
Larry Brihm Jr.,2,QB,5110,209,SR,"Delray Beach, FL"
Anthony Cruz,3,WR,6050,210,SR,"Bronx, NY"
Kennedy Ndukew,5,DB,6010,195,JR,"Baltimore, MD"
Keavon Mitchell,6,WR,5090,173,JR,"Hollywood, FL"
Elliott Miller,7,CB,5090,148,JR,"Miami, FL"
Tupac Isme,8,RB,5110,179,SO,"Naples, FL"
Jabari Dunham,9,QB,6030,211,JR,"Eustis, FL"
Akevious Williams,10,QB,6020,188,SO,"Madison, FL"
Jamaal Burgess,11,CB,6000,186,SR,"Miami, FL"
DeAndre Bozeman,13,CB,5100,173,SR,"West Palm Beach, FL"
Marcus Levy,14,RB,5110,215,SR,"Fort Pierce, FL"
Frank Brown,15,WR,5110,185,SR,"Palm Beach Gardens, FL"
Jawill Davis,17,WR,5110,177,SR,"Miami, FL"
Joseph Johnson,18,S,5100,170,JR,"Midlothian, TX"
Marquis Hendrix,19,LB,6010,230,JR,"Ocala, FL"
Trevor Gear,20,RB,6010,210,FR,"Mcdonough, GA"
Michael Jones,21,RB,5110,197,SR,"Sarasota, FL"
Diquan Richardson,22,S,5110,167,SR,"Alvin, SC"
Keon Jackson,23,DB,6010,180,FR,"Orange Park, FL"
Sam Marc,24,CB,6000,170,FR,"Miami, FL"
Arthur Williams,25,DB,6030,204,SR,"Sebring, FL"
Dajuan Jackson,26,CB,5110,185,FR,"Jacksonville, FL"
Cameron Rigby,28,RB,5070,177,SR,"Miramar, FL"
Antonio Collier,29,S,6010,175,FR,"Hollywood, FL"
Jamaruz Thompkins,30,RB,5110,211,SR,"Tampa, FL"
Devin James,31,LB,6010,226,FR,--
Veion Robinson,32,LB,6010,220,SR,"Hampton, GA"
Jacquae Peart,33,LB,6010,240,SR,"Sebring, FL"
Isaac Washington,34,S,5090,190,FR,"Cape Coral, FL"
Trevor Merritt,35,CB,5100,185,SO,"Melbourne, FL"
Alexander Morales,36,LB,5100,211,SR,"Miami, FL"
Donald Johnson IV,37,DB,6000,175,JR,"Jacksonville, FL"
Justice Hunt,38,DB,6000,217,SO,"Riverview, FL"
Javaunie Francis,39,PK,6020,236,JR,"Miami, FL"
Titus Curry,40,LB,6000,230,FR,"Jacksonville, FL"
Uriel Hernandez,41,PK,5040,209,JR,"Homestead, FL"
Trenton Bridges,42,LB,6000,234,JR,"Deland, FL"
Davon Witherspoon,43,LB,6030,201,SR,"Miami, FL"
Davonte Lawrence,44,S,6000,190,FR,"Jacksonville, FL"
Ronald Williams Jr.,45,LB,5100,240,FR,"Jacksonville, FL"
Atreyu Farrior,46,LB,6020,232,SR,"Lakeland, FL"
Marques Ford,48,DE,6040,235,FR,"Gibsonton, FL"
Delwaun Beard,49,DE,6030,235,SR,"Culver City, CA"
Tyre Curry,52,LB,6000,220,SO,"Jacksonville, FL"
Torian Williams,53,LB,6030,205,FR,"Fort Lauderdale, FL"
Deonte Mayo,54,LB,6020,209,SR,"Ocala, FL"
Todney Evans,55,DL,6020,222,SR,"Delray Beach, FL"
Chris Adams,56,OL,6040,300,SR,"Dayton, OH"
Dwayne Brown,57,OL,6030,339,JR,"Indianapolis, IN"
Jarren Davis,59,DL,6030,271,SR,"Jacksonville, FL"
Marcel Anderson,60,OL,6020,340,JR,"Wilmington, NC"
Jamal Savage,63,OL,6060,320,SO,"Plant City, FL"
Cedric Jackson,65,OL,6030,300,FR,"Miami, FL"
Teaki Fuller,66,OL,6020,318,FR,"Miami, FL"
Chris Hudson,67,OL,6050,308,SR,"Ocala, FL"
Kevin Richardson,68,OL,6040,305,FR,"Seffner, FL"
L'Dre Barnes,69,OL,6030,290,SO,--
Javon Camp-Villalovos,70,OL,6050,290,JR,"Los Angeles, CA"
Phillip Norman,71,OL,6040,318,SR,"Sebastian, FL"
David Bryant,72,OL,6070,336,SR,"Summerville, SC"
Job Buissereth,73,OL,6040,325,SR,"Brooklyn, NY"
Nicholas Roos,74,OL,6070,263,SO,"Ormond Beach, FL"
Troy Wilkins II,75,OL,6000,321,SR,"Miami, FL"
Jerry Beauchamp,76,OL,6040,274,FR,"Naples, FL"
Alex Jones,79,DL,6020,287,JR,"Ocala, FL"
Jordan Rivers,80,WR,6020,176,FR,"Jacksonville, FL"
Steffon Francois,81,WR,5110,165,SO,"Miramar, FL"
Jon Thomas,82,WR,6010,205,SO,"Atlanta, GA"
Taron Mallard,83,TE,6060,250,SO,"New Bern, NC"
Milton Williams,84,WR,5090,165,SR,"Sanford, FL"
Demetrius Weaver,85,TE,6020,266,SR,"Pompano Beach, FL"
Ja-Quan Lumas,86,TE,6030,230,SR,"Orlando, FL"
Dominique Linton,88,WR,6030,185,FR,"Naples, FL"
Kendon Davis,89,WR,6010,184,SR,"Lauderhill, FL"
Jamal Thomas,90,DL,6020,295,JR,"Sharpsburg, GA"
Kevin Thompson,91,DL,6040,230,SR,"Baltimore, MD"
Uriah Gilbert,93,DL,6030,325,FR,"Ocala, FL"
Malik Slaughter,94,DL,6030,270,SR,"Louisville, MS"
DiShawn Ray,95,DL,6040,305,SR,"Jesup, GA"
Gerome Howard,96,DL,6040,277,FR,"Sarasota, FL"
Daniel Palmer,98,DL,6020,250,SR,"Hartford, CT"
Kris Holt,99,DL,6060,285,SO,"Baltimore, MD"
