Name,Number,Position,Height,Weight,Class,Hometown
Aaron Chandler,2,DB,5090,175,JR,"Norfolk, VA"
Quintreil Chung,3,RB,6010,220,JR,"Midlothian, VA"
J.T. Wahee,4,DB,5110,170,SO,"Norfolk, VA"
Marcus Taylor,5,WR,5080,160,JR,"Highland Springs, VA"
Tyre Givers-Wilson,6,QB,6030,200,SO,"Chesapeake, VA"
Bobby Price,7,DB,6030,180,SO,"Virginia Beach, VA"
Juwan Carter,8,QB,6000,170,FR,"Richmond, VA"
Nigel Chavis,9,DL,6020,220,SO,"Richmond, VA"
Larry Bishop,10,RB,5110,230,SR,"Roanoke, VA"
Anthony Smith,11,LB,6000,230,SR,"Norfolk, VA"
Kyron Speller,12,DL,6020,250,SO,"Virginia Beach, VA"
Tripp Harrington,13,QB,6010,175,FR,"Raleigh, NC"
Onaje Bullen,15,DB,6010,200,SR,"Baltimore, MD"
Dy-Shawn Simpkins Jr.,16,DB,6010,185,FR,"East Orange, NJ"
Stuart Anderson Jr.,17,WR,6020,195,FR,"Mathews, VA"
Nick Winston,18,QB,6030,180,FR,"Mechanicsville, VA"
J.J. Givens,19,DB,6020,175,FR,"Richmond, VA"
Malik Butts,20,RB,5090,180,FR,"Virginia Beach, VA"
George Wahee,21,WR,6000,180,SO,"Norfolk, VA"
Nhyre Quinerly,22,DB,6000,195,SO,"Norfolk, VA"
Shakeem Copeland,23,RB,5090,205,SR,"Woodbridge, VA"
Charell Coley,24,DB,5100,185,FR,"Richmond, VA"
D.J. Cook,25,DB,6010,195,SO,"Richmond, VA"
Rashard Russell Jr.,26,DB,6000,175,FR,"Norfolk, VA"
Anton Ashby Jr.,27,DB,6020,180,FR,"Norfolk, VA"
Edwin Lee,28,DB,6010,185,SO,"Brooklyn, NY"
C.J. Jones,29,RB,5110,180,FR,"Richmond, VA"
Aaron Savage,30,RB,5090,210,JR,"Baltimore, MD"
Kyle Archie,31,LB,6000,220,SR,"Virginia Beach, VA"
Audrex Harris,32,DB,6000,190,SR,"Chesapeake, VA"
Taylor Goettie,33,P,6000,185,FR,"Lexington, GA"
Josh Nardone,34,PK,5110,175,FR,"Virginia Beach, VA"
Shaikh Carmichael,35,DB,5090,175,FR,"Waldorf, MD"
Ebenezer Agyemang-Kusi,36,DB,5110,185,JR,"Triangle, VA"
Johnathan Gregory,37,DB,6030,190,FR,"Hampton, VA"
Thomas Stinger,38,DB,6010,150,SR,"Leesburg, VA"
Bo Lomax,39,PK,5110,220,JR,"Hampton, VA"
Dimitri McKay,40,FB,5110,235,SO,"Chesapeake, VA"
Hadji Gaylord,41,DL,6030,265,JR,"Norfolk, VA"
Roy Adams,43,RB,5090,195,JR,"Richmond, VA"
Shedrick McCall III,44,RB,6020,235,FR,"Richmond, VA"
Jeff Lee,45,TE,6030,240,SO,"North Chesterfield, VA"
Zac Denton,46,LS,5100,185,FR,"Fishersville, VA"
Mark Brown,47,DB,5110,180,FR,"Reston, VA"
Tim Flood,48,LB,5090,215,SR,"Newport News, VA"
Dario Waters,49,RB,5100,185,FR,"Portsmouth, VA"
Matt Hodges,50,LB,6000,215,FR,"Richmond, VA"
Kevin Staton,51,OL,6060,320,FR,"Chesapeake, VA"
Michael Kwegyir-Attah,52,LB,6010,235,JR,"Haverhill, MA"
Antwan White,55,LB,6000,200,SR,"Chesapeake, VA"
Craig Rodwell,58,OL,6040,270,SO,"Richmond, VA"
Jordan Crockett,59,OL,6050,325,FR,"Max Meadows, VA"
Wes Jones,60,OL,6010,270,JR,"Wilmington, DE"
Dominic Jordan,62,OL,6020,280,SO,"Chesapeake, VA"
Jalen Powell,65,OL,6030,285,FR,"Hampton, VA"
Taro Lipscomb,66,OL,6030,290,FR,"Washington, DC"
Deshaywn Middleton,70,DL,6020,305,JR,"Winston-salem, NC"
Jake O'Sullivan,71,OL,6040,290,SO,"Chesapeake, VA"
Kyree Jones,73,OL,6050,285,FR,"Atlanta, GA"
Justin Redd,74,OL,6050,325,FR,"Hampton, VA"
Nick Ackies,75,DL,6020,265,FR,"Richmond, VA"
Mike Carney,76,OL,6050,340,FR,"Norfolk, VA"
Kenneth Kirby,77,OL,6050,275,SO,"Newport News, VA"
Josh Culberson,78,OL,6050,285,FR,"Chesapeake, VA"
Isaiah Winstead,80,WR,6030,205,FR,"Richmond, VA"
Demetreus Ferebee,81,TE,6040,235,SR,"Roanoke, VA"
Justin Smith,83,WR,6020,165,FR,"Richmond, VA"
Chuma Awanna,84,WR,6030,205,SO,"Chesapeake, VA"
Floyd Jones,85,WR,5090,170,JR,"Hampton, VA"
Dallas Brown,86,WR,6020,185,FR,"Richmond, VA"
Marcque Ellington,88,WR,6050,190,FR,"Neptune, NJ"
Anthony Williams,89,TE,6030,210,FR,"Norfolk, VA"
James Byers,91,LB,6030,200,JR,"Petersburg, VA"
De'Shaan Dixon,92,DL,6020,225,FR,"Chesapeake, VA"
Josh Bryant,94,DL,6050,265,SO,"Ellicott City, MD"
Chris Lee,95,DL,6030,280,SR,"Woodbridge, VA"
Ian Williams,96,DL,6020,265,FR,"Richmond, VA"
Trevor Locke,97,DL,6020,265,FR,"Portsmouth, VA"
Tavien Blackwell,99,DL,6010,305,FR,"Richmond, VA"
