Name,Number,Position,Height,Weight,Class,Hometown
Jamaal Darden,2,DB,5090,198,SR,"Raeford, NC"
Xavier Griffin,3,WR,6010,202,SR,"New Castle, DE"
Timadre Abram,4,DB,5100,168,JR,"Lakeland, FL"
Marcus Albert,4,LB,5100,205,SR,"College Park, GA"
Tard McCoy,5,DB,5090,191,SR,"Delray Beach, FL"
Lamar Raynard,7,QB,6040,200,JR,"High Point, NC"
Khris Gardin,8,WR,5070,185,SR,"Morganton, NC"
Zerius Lockhart,9,DB,5100,175,SR,"Auburn, AL"
Kylil Carter,10,QB,5100,236,JR,"Austell, GA"
Jalen Fowler,12,QB,6030,230,FR,"Inman, SC"
Elijah Bell,13,WR,6010,221,SO,"Wheeling, WV"
Dominic Frescura,15,P,6020,198,SR,"South Pasadena, CA"
Caleb Gabriel,16,WR,5090,165,SR,"Raleigh, NC"
Isaiah Hicklin,17,WR,6000,180,JR,"Monroe, NC"
Zachary Leslie,19,WR,6030,195,FR,"Lawndale, NC"
Derrek Williams,21,DB,5100,182,FR,"Winston-salem, NC"
Marquell Cartwright,22,RB,5080,201,JR,"High Point, NC"
Amos Williams,23,RB,5090,176,JR,"De Funiak Springs, FL"
Amir McNeil,24,DB,5100,165,FR,"Laurinburg, NC"
Kashon Baker,25,RB,5060,170,SO,"Farmville, NC"
Samuel Stidwell IV,26,RB,5090,188,JR,"Garner, NC"
Justin Philip,27,DB,5100,197,FR,"Brooklyn, NY"
Franklin McCain III,29,DB,5110,174,FR,"Greensboro, NC"
David Pulliam,30,DB,6010,202,SR,"Philadelphia, PA"
Marquis Willis,32,DB,5080,158,JR,"Statesville, NC"
Jalon Bethea,33,DB,5100,168,SO,"Durham, NC"
Deion Jones,34,LB,5110,202,JR,"Belmont, NC"
Noel Ruiz,35,PK,6000,165,FR,"Wilson, NC"
Unique Johnson,36,RB,5080,190,FR,"Snow Hill, NC"
Anthony McCray,37,RB,5090,187,FR,"Shallotte, NC"
Davis Rogers,38,PK,5090,165,FR,"Spartanburg, SC"
Keifer Oates,39,RB,5110,187,FR,"McLeansville, NC"
Darryl Johnson,40,DE,6050,226,SO,"Kingsland, GA"
Leon Smalls,41,LB,6000,237,SO,"Florence, SC"
Najee Reams,43,DB,6020,180,FR,"Durham, NC"
Julius Reynolds,44,LB,5090,226,JR,"Wilmington, NC"
Joshua Patrick,45,LB,5110,223,SR,"DeKalb, GA"
William Hollingsworth,46,FB,5090,229,JR,"Plymouth, NC"
Jeremy Taylor,48,LB,5110,190,SR,"Kinston, NC"
William Simpson,49,FB,6000,220,SO,"Elizabeth City, NC"
Devin Harrell,50,DL,6020,220,FR,"Gastonia, NC"
John Davis,51,LS,6000,205,FR,"Elgin, IL"
Kiaundric Richardson,52,LB,6000,214,JR,"Gainesville, FL"
Kyin Howard,54,LB,6000,230,FR,"Greensboro, NC"
Dacquari Wilson,55,OL,6030,285,FR,"Greensboro, NC"
Tyler Beck,56,LB,6000,242,FR,"Glenwood, IL"
Markeiss Blue,57,LB,6000,220,JR,"Red Springs, NC"
Adrian McPherson,58,LB,6000,214,SO,"Fayetteville, NC"
Elijah Westbrook,59,LB,5090,214,SO,"Charlotte, NC"
James Mackey,60,P,6000,177,SO,"North Charleston, SC"
Josh Mattocks,61,OL,6030,331,SR,"Swansboro, NC"
Malik Johnson,62,OL,6020,311,JR,"Arden, NC"
Macquel Hardy,63,OL,6030,295,JR,"Philadelphia, PA"
Daquan Blake,65,OL,6000,295,SR,"Leavenworth, KS"
Arlander Cherry,66,OL,6000,277,SO,"Plymouth, NC"
Ernest Bush III,67,LS,6010,215,SO,"Richmond, VA"
Chamberlin Russell,68,OL,6040,358,FR,"Pfafftown, NC"
Deven Milton,69,OL,6040,311,FR,"Greensboro, NC"
Brandon Parker,70,OL,6070,309,SR,"Kannapolis, NC"
Chris Davis,71,OL,5110,268,SO,"Winston-salem, NC"
Darriel Mack,72,OL,6020,300,SR,"Clio, SC"
Marcus Pettiford,73,OL,6030,274,SO,"Durham, NC"
Sylvester Smith,74,OL,6000,282,SO,"Wilmington, NC"
Trajan Douthit,76,OL,6030,320,FR,"Winston-salem, NC"
Bilal Ali,77,OL,6030,265,FR,"Gibsonville, NC"
Micah Shaw,78,OL,6010,290,JR,"Fayetteville, NC"
Dontae Keys,79,OL,6040,310,FR,"Fayetteville, NC"
Ron Hunt,81,WR,6010,181,SO,"Greensboro, NC"
Jarvis Reid,82,DL,6030,258,SO,"Albany, GA"
Garrett Nestor,83,P,5100,177,SR,"Advance, NC"
Terrance Peterson,85,WR,5110,223,JR,"Wilson, NC"
James Artis,86,WR,5090,165,FR,"Greensboro, NC"
Leroy Hill,87,TE,6030,249,JR,"Smithfield, NC"
Malik Wilson,88,WR,5110,166,JR,"Burlington, NC"
Rashad Bovian,89,WR,5100,177,FR,"Greensboro, NC"
Karfa Kaba,90,DL,6040,250,FR,"Laurinburg, NC"
KJ Melton,91,DE,6020,235,SR,"Elizabeth City, NC"
Jermaine Williams,92,DL,6010,301,SO,"Lumberton, NC"
Turner Echols,93,DE,6000,235,JR,"Fort Washington, MD"
Justin Cates,94,DL,6020,275,JR,"Goldsboro, NC"
Julian McKnight,95,DL,6030,280,JR,"Conyers, GA"
Sam Blue,96,DE,6010,247,JR,"Raleigh, NC"
Kadarius Kendrick,98,DE,6040,277,SO,"Forest Park, GA"
Artavious Richardson,99,DL,6020,230,FR,"Rocky Mount, NC"
