Name,Number,Position,Height,Weight,Class,Hometown
Jacen Murphy,2,WR,5100,185,SR,"Wilmington, NC"
Torri Cotton,3,RB,5080,160,SO,"Panama City Beach, FL"
Randy Anyanwu,4,DL,6020,245,JR,"Lovejoy, GA"
Xavier McKoy,5,WR,6030,190,SO,"Charlotte, NC"
Ruben Saunders,7,DB,6010,185,SR,"Wilmington, DE"
De'Mario Evans,8,DB,6000,175,JR,"Columbia, SC"
Jalen Wilkes,9,WR,6020,190,JR,"Greenville, SC"
David Miller,10,WR,6000,175,SR,"Wilmington, NC"
Aaron Duncan,11,DB,6010,180,FR,"Miami, FL"
Chauncey Caldwell,12,QB,6030,225,FR,"Durham, NC"
Micah Zanders,12,QB,6010,195,SO,"Jacksonville, FL"
Chance Kennedy,13,WR,5080,160,FR,"Charlotte, NC"
Dominique Shoffner,14,QB,6000,210,FR,"Apex, NC"
Naiil Ramadan,16,QB,6000,185,SO,"Charlotte, NC"
Antonio Brown,17,DL,6030,250,SR,"Jacksonville, FL"
Marcus Martin,18,DB,5110,180,FR,"Miami, FL"
Nathaniel Tilque,19,P,6020,190,SR,"Charlotte, NC"
Jamarcus Johnson,20,DB,5100,180,SR,"Greensboro, NC"
Daejon Weeks,21,DB,5100,175,JR,"Rahway, NJ"
Davanta Reynolds,22,DB,5100,190,JR,"Tucker, GA"
Alphonso Carter,23,DB,6030,205,SR,"Fort Washington, MD"
Dorrel McClain,24,RB,5100,190,JR,"Cary, NC"
Isaiah Totten,25,RB,5090,175,FR,"Apex, NC"
Ramone Simpson,26,RB,5100,185,JR,"Wilmington, NC"
Jaquell Taylor,27,DB,6010,185,JR,"Raleigh, NC"
Kawuan Cox,28,DL,6020,230,SO,"Summerville, SC"
Erik Schlecker,29,LS,6000,230,JR,"Sunrise, FL"
Aedan Johnson,30,PK,5080,160,JR,"Chula Vista, CA"
Jarrett McCarter,31,LB,6020,225,SO,"Durham, NC"
Alden McClellon,32,DB,5110,190,JR,"Lake Butler, FL"
Branden Bailey,33,LB,6000,225,FR,"Deerfield Beach, FL"
Kenneth O'Neal,34,LB,6010,225,SR,"Grand Prairie, TX"
Brandon Galloway,35,DB,6010,200,SR,"High Point, NC"
Nolan Corpening,36,DB,5100,175,SR,"Charlotte, NC"
Jabari Nelson,37,DB,5090,185,SR,"Evans, GA"
Daryl Smith,38,DB,5110,200,JR,"Durham, NC"
Jordan Freeman,39,RB,5070,165,FR,"Charlotte, NC"
Patrick Connor,40,LB,6000,225,FR,"Greensboro, NC"
William Lulu,41,LB,5110,220,JR,"Homestead, FL"
Anthony Sherrill,42,DB,6000,180,SO,"Cornelius, NC"
Adam Lippy,43,PK,6000,205,FR,"Tucker, GA"
Jerome Foster,44,LB,6000,210,FR,"Greenville, SC"
Josh McCoy,45,DB,6030,230,JR,"Sharon, SC"
Tavon Lofties,46,DE,6050,245,SO,"Baltimore, MD"
Carl Isaac,47,DL,6030,250,FR,"Rockingham, NC"
Mike Robinson,48,DB,6000,175,JR,"Spencer, NC"
King Kiaku,49,LB,5100,230,JR,"Apex, NC"
Ja'Quan Smith,50,DL,6020,290,SR,"Miramar, FL"
Steven Perry,51,OL,5110,265,JR,"Durham, NC"
Reggie Hunter,52,LB,6000,225,SR,"Henderson, NC"
Xavier Lanear,55,LS,5090,215,FR,"Charlotte, NC"
Somadina Okezie-Okeke,56,OL,6030,290,FR,"Woodstock, GA"
Stewart Boyd,60,OL,6010,290,SO,"Miramar, FL"
Twishawn Glenn,67,OL,6030,275,SO,"Daytona Beach, FL"
Qorticha Glenn,68,OL,6030,290,FR,"Winston-salem, NC"
William Hunter,69,OL,5100,270,FR,"Duluth, GA"
Andrew Dale,70,OL,6000,280,SO,"Morehead City, NC"
Malik Riddick-Reynolds,71,OL,6060,360,FR,"Robbins, NC"
Michael Nwachukwu,72,OL,6020,275,FR,"Rolesville, NC"
Jaylin Barrington,73,OL,6030,280,SO,"Riverdale, GA"
Marley Conley,74,OL,6050,280,JR,"Fayetteville, NC"
Nick Leverett,75,OL,6040,290,SO,"Concord, NC"
Jose Jeanty,76,OL,6040,260,FR,"Deerfield Beach, FL"
Cam'Ron Perkins,77,DL,6020,275,FR,"Eden, NC"
Josh Varona,78,OL,6050,290,SO,"Pompano Beach, FL"
E.J. Hicks,80,WR,6000,175,FR,"Rolesville, NC"
Eric Saintil,83,WR,6020,185,SO,"Homestead, FL"
Zach Kellum,84,TE,6030,230,FR,"Winston-salem, NC"
Nique Martin,85,WR,6010,190,FR,"Winston-salem, NC"
Sherman McLeod,87,TE,6040,225,FR,"Raleigh, NC"
Jason Cascen,91,DL,6030,290,FR,"Charlotte, NC"
Wilhelm Heinsen,95,DL,6020,210,SO,"Raleigh, NC"
Roderick Harris,96,DL,6010,280,SR,"Simpsonville, SC"
