Name,Number,Position,Height,Weight,Class,Hometown
Tyler Hagan,--,WR,6070,250,JR,"Guyton, GA"
Derek Kirkland,1,WR,6020,200,JR,"Savannah, GA"
Cameron White,3,WR,6040,200,FR,"Atlanta, GA"
Brandon Bailey,4,DB,6010,180,JR,"Duncan, SC"
Kendarius Dukes,4,WR,5100,190,SO,"Savannah, GA"
Gerald Robinson,5,DB,5110,185,SO,"Miami, FL"
K'Lon Lovett,6,DB,6010,190,JR,"Evans, GA"
Devonte Moore,7,DB,5090,167,FR,"Jacksonville, FL"
Tino Smith,7,QB,6020,215,JR,"Carmel, IN"
Tyorrin Collins,8,DB,6000,170,FR,"Atlanta, GA"
Giovanni Lugo,8,PK,6010,190,FR,"Belle Glade, FL"
Jason Jean-Louis,9,WR,6030,180,JR,"Atlanta, GA"
John Wilson,9,DB,6000,175,JR,"Douglasville, GA"
Charles Barnes III,11,WR,6030,180,FR,"Boca Raton, FL"
TJ Bell,11,QB,6030,180,FR,"Louisville, GA"
Isaiah Bennett,12,DB,6020,200,SO,"Silver Spring, MD"
Stephen Dorsey,12,RB,6000,230,SO,"Brunswick, GA"
Edward Goubadia,13,DL,6010,236,JR,"Union, NJ"
Uriah Oliver,13,RB,5090,175,SO,"Honea Path, SC"
Casey Wilson,14,TE,6030,220,FR,"Albany, GA"
Jawara Middleton Jr.,15,WR,5080,175,JR,"Fountain, CO"
Ellison Burns III,16,LB,6030,225,JR,"Savannah, GA"
David Handler,16,QB,6050,240,SO,"Culver City, CA"
Geonte Smith,17,WR,6000,205,JR,"Miramar, FL"
Deric Wright,18,WR,6070,219,SO,"Savannah, GA"
Dereon London II,19,WR,6010,175,JR,"Jonesboro, GA"
Keynnard Campbell Jr.,21,RB,5100,220,JR,"Savannah, GA"
Donald Rutledge,21,DB,6010,205,SO,"Sumter, SC"
William Campbell,22,DB,5110,185,SO,"Savannah, GA"
Anthony Hunt,23,DB,5100,170,SO,"Jacksonville, FL"
Johvonte Singleton,24,LB,5110,200,JR,"Savannah, GA"
BJ Raymond,25,WR,5100,170,FR,"Swainsboro, GA"
Darrell Bonner,26,DB,5100,175,SO,"Lagrange, GA"
Nicholas Bentley,27,RB,5100,250,JR,"Decatur, GA"
Juwuan Tolbert,27,DB,5100,185,JR,"Augusta, GA"
Monroe Thornton,28,RB,5060,160,FR,"Fort Lauderdale, FL"
Darien Mitchell,30,WR,6010,175,FR,"Tampa, FL"
David Crowley,31,DB,5100,180,JR,"Jacksonville, FL"
Octavious James,32,RB,5090,190,FR,"Palmetto, FL"
James Kicklighter,33,WR,5080,150,SO,"Savannah, GA"
Raheem Coxfield,34,LB,6000,276,SO,"Adel, GA"
Terrance McCray,35,DB,5100,200,FR,"Charlotte, NC"
Roddree Hardwick,36,DB,6010,195,FR,"Apopka, FL"
Rashad Saxton,37,RB,5080,170,SO,"Jacksonville, FL"
Ronald Harrell,38,DB,5100,170,JR,"Douglas, GA"
Traynearious Dillard,39,RB,5100,195,JR,"Savannah, GA"
Brandon Long,40,LB,6010,225,FR,"Jacksonville, FL"
Alexander Jones,42,LB,6020,220,FR,"Atlanta, GA"
David Ervin,43,LB,5100,225,FR,"Sumter, SC"
Mulik Simmons,45,LB,6000,255,JR,"Savannah, GA"
Daniel Foster,47,LB,6010,230,SO,"Conyers, GA"
Travon Rumph,48,DB,5100,190,FR,"Bradenton, FL"
Warren Sweet Jr.,49,LB,6020,220,SR,"Savannah, GA"
Connor Hicks,51,LB,6010,200,FR,"Fort Lauderdale, FL"
Christian Guinn,53,LB,6030,220,SO,"Dallas, GA"
Quaron Hilliard,54,DL,6060,260,JR,"Savannah, GA"
Marquez Martin,55,OL,6020,260,FR,"Griffin, GA"
Stefen Banks,56,DL,6030,265,SO,"Columbus, OH"
Quintin Sanders,57,DL,6030,290,FR,"Mitchell, GA"
Carter Couch,59,DL,6030,290,FR,"San Diego, CA"
Chidi Onwuzuruoha,61,OL,6020,320,JR,"Powder Springs, GA"
Derek Simmons,64,OL,6020,305,SO,"Decatur, GA"
Kevhan Bent,68,DL,6040,300,FR,"East Orange, NJ"
James Livingston,69,OL,6020,283,SO,"Tallahassee, FL"
Rohan Francis Jr.,71,OL,6040,306,JR,"College Park, GA"
Anquavius Fuller,72,OL,6020,320,JR,"Woodbury, GA"
Awni Alshafei,73,OL,6030,295,FR,"Celebration, FL"
T.J. Jackson,74,OL,6040,300,FR,"Cocoa, FL"
Mike Johnson,75,OL,6070,235,FR,"Roanoke, VA"
David Cooper Jr.,78,OL,6050,300,SO,"Columbus, OH"
Jacob Martin,79,OL,6040,285,FR,"Pensacola, FL"
Miles Kelly,81,WR,6000,190,SO,"Durham, NC"
Czar Beneby,82,WR,6050,180,FR,"Boynton Beach, FL"
Paris Baker,85,WR,6040,220,SO,"Savannah, GA"
Deandre Vickers,86,WR,6010,180,FR,"Atlanta, GA"
Derrick Harvey,88,WR,6010,200,FR,"Akron, OH"
Ronnie Johnson,90,TE,6030,220,FR,"Savannah, GA"
Corey Barrett,91,DL,6030,270,SO,"Norwalk, CT"
Rodheem Greene,93,DL,6030,260,JR,"Savannah, GA"
Darien Coulter,94,DL,5100,245,JR,"Landover, MD"
Thaddeus Anderson,95,DL,6020,250,FR,"Jacksonville, FL"
Rufus Crane,97,PK,5110,160,FR,"Perry, GA"
Brandon Carswell,98,DL,6000,276,SO,"Mount Vernon, GA"
Christopher Johnson,99,TE,6020,227,JR,"Bainbridge, GA"
