Name,Number,Position,Height,Weight,Class,Hometown
Darrell Brown,--,DL,6020,265,FR,"Florence, SC"
Timmy Butler,--,DB,5110,180,FR,"North Augusta, SC"
Riyan Gore,--,LB,5110,200,FR,"Mullins, SC"
Rodney Hart-Owens,--,DL,6010,225,FR,"Spartanburg, SC"
Terrell Jackson,--,WR,5080,180,FR,"Columbia, SC"
Michael Lyons,--,DL,6010,227,FR,"Baltimore, MD"
Pedrio Manigault,--,WR,6020,190,SO,"Tigerville, SC"
La'Trez Pinckney,--,LB,5110,210,FR,"Spartanburg, SC"
Daniel Seawright,--,WR,5110,155,FR,"Cordova, SC"
Dre'Quann Starr,--,WR,6020,180,FR,"Clover, SC"
Thai Wood,--,DL,6010,260,FR,"Lugoff, SC"
De' Montrez Burroughs,1,WR,6020,200,SO,"Charlotte, NC"
Mykal Moody,2,WR,5100,200,SR,"Conway, SC"
Tyrece Nick,3,QB,6010,170,FR,"Johnston, SC"
Duane Nichols,4,DB,6010,190,FR,"Lake View, SC"
LeBron Morris,5,RB,5100,185,SO,"Decatur, GA"
Jacory Benson,6,RB,5100,195,FR,"Seneca, SC"
Lasamuel Davis,6,DE,6040,215,SO,"Bamberg, SC"
Marquane Goodman,7,QB,6010,210,SO,"Florence, SC"
Zafir Kelly,7,DB,6010,170,FR,"Columbia, SC"
Khaliq Anthony,8,DB,6010,188,SO,"Norway, SC"
Dewann Ford,9,QB,6020,185,SO,"Atlanta, GA"
Kendric Gathers,9,DB,5100,210,JR,"Columbia, SC"
Darius Leonard,10,LB,6030,235,SR,"Lake View, SC"
Chad Gilchrist,11,LB,6010,205,FR,"Johnston, SC"
Jaylen Evans,12,DB,6010,177,FR,"Hartsville, SC"
Jarod Jones,13,LB,5110,240,SO,"Atlanta, GA"
Tyler Scandrett,14,PK,5090,180,SR,"Barnesville, GA"
Trey Samuel,15,WR,5090,180,SR,"Hartsville, SC"
Tim Ewing,16,DB,5110,170,FR,"Greenwood, SC"
Will Vereen,16,WR,5110,198,FR,"Little River, SC"
Jerome Pettiway,17,QB,6030,230,SR,"York, SC"
Datron James,18,RB,5100,201,SO,"North Charleston, SC"
Devondre Powell,19,DB,5080,190,SR,"Miami, FL"
Tra'Quan Dubose,20,DB,5100,175,SO,"Darlington, SC"
Chris Simmons,20,DB,5110,185,FR,"Orangeburg, SC"
Jermaine Baxley,21,WR,6030,188,JR,"Waynesboro, GA"
Xzavien Burson,22,DB,5110,180,FR,"Sumter, SC"
Treyvon Edwards,23,DB,5090,150,SO,"Rock Hill, SC"
Travon Thomas,23,RB,5100,210,SO,"Harwood, MD"
Michael Wamer,23,LB,6020,200,SR,"Saint George, SC"
Omar Cummings,24,RB,5090,175,FR,"Beaufort, SC"
Devontre Hamilton,25,FB,5110,215,SO,"Moncks Corner, SC"
Jason Baxter,26,WR,6010,195,SR,"Manning, SC"
Calvin Giles-McClary,27,DB,5110,185,JR,"Kingstree, SC"
Johnell Brown,28,LB,6020,190,SO,"Saint Stephen, SC"
Darius Hammonds,29,WR,5100,180,FR,"Neeses, SC"
Alex Brown,30,DB,5110,170,JR,"Holly Hill, SC"
Jarius Jenkins,32,RB,5110,200,FR,"Neeses, SC"
Chris Adams,33,DB,6010,190,SO,"Columbia, SC"
Dayshawn Taylor,34,LB,5110,240,SR,"Lincolnton, GA"
Damu Ford,35,LB,5110,245,JR,"Dillon, SC"
Andre Brown,37,LB,6020,200,FR,"Summerton, SC"
Kendall Cobb,38,TE,6020,245,SR,"Lawrenceville, GA"
Farrika Grier,38,RB,5110,225,FR,"Lancaster, SC"
Chris Parrott,39,DB,5100,200,SO,"Irmo, SC"
