Name,Number,Position,Height,Weight,Class,Hometown
JaMario McClendon,1,CB,6030,205,SR,"Cochran, GA"
Brett Geisz,2,QB,5110,209,SO,"Eureka, MO"
Darius Joseph,2,CB,6000,196,SO,"Oklahoma City, OK"
Dalton Hill,3,QB,6020,191,FR,"Lee's Summit, MO"
Matt Rush,4,CB,5100,181,JR,"Springfield, MO"
Deion Holliman,5,WR,5090,192,SR,"Camden, AR"
Aaron Denson,6,WR,6000,186,SO,"Fort Worth, TX"
Tre Betts,7,CB,5110,187,JR,"Broken Arrow, OK"
Angelo Garbutt,8,LB,6020,235,SO,"Carrollton, TX"
Jalen Esters,9,WR,6020,214,SR,"Port Huron, MI"
Scotty Schaffner,10,TE,6040,248,JR,"Raymore, MO"
Tyler Currie,11,WR,6030,209,SO,"Cordova, TN"
Anthony Monken,12,QB,6050,216,JR,"Libertyville, IL"
Kenny Nelson,13,WR,6030,240,FR,"Carrollton, TX"
Myron Mason,14,RB,5080,184,FR,"Denton, TX"
Peyton Huslig,15,QB,6030,205,SO,"Andover, KS"
Dominic Williams,16,QB,6010,195,FR,"Independence, MO"
Malik Earl,17,WR,6030,217,SR,"Oklahoma City, OK"
Erik Furmanek,18,TE,6030,267,SR,"Belleville, IL"
Alex Coffin,19,S,6000,206,FR,"Joplin, MO"
Rickey Nichols,20,WR,6020,186,FR,"Blue Springs, MO"
Cameron Price,21,S,6020,206,SO,"Florissant, MO"
Austin Henderson,22,S,6020,196,SO,"Springdale, AR"
Jordan Wilkes,23,LB,6000,221,FR,"Florissant, MO"
Darius Daniel,24,CB,6000,192,SR,"Marked Tree, AR"
Jason Randall,25,RB,5090,185,JR,"Thomasville, GA"
Zach Sanders,26,CB,6000,185,FR,"LAWRENCE, KS"
Dominique Lee,27,RB,5100,207,JR,"Compton, CA"
Calan Crowder,28,RB,6010,212,SR,"Bartlesville, OK"
Clayton Weber,29,CB,6010,189,FR,"Florissant, MO"
Jared Beshore,30,S,6000,198,JR,"Lamar, MO"
Warren Sheppard,31,RB,6020,195,FR,"Warrensburg, MO"
Titus Wall,31,LB,6000,205,FR,"Plano, TX"
Torre Boland,32,LB,6010,217,FR,--
Skyler Hulse,33,DL,6030,253,JR,"Oak Grove, MO"
Chris Cacciarelli,34,DL,6040,240,SR,--
Kurran Blamey,35,LB,6010,221,SR,"Monett, MO"
Zach Drake,36,PK,6020,191,SO,"Lee's Summit, MO"
Devlyn Hogue,37,S,5100,183,SO,--
Eric Greely,38,LB,6010,225,SR,"Liberty, MO"
Nick Masoner,39,RB,6010,216,JR,"Excelsior Springs, MO"
Jacob Storms,41,RB,6000,190,FR,"Jefferson City, MO"
Austin Lee,42,RB,5070,202,FR,"Memphis, TN"
Kevin Ellis,43,LB,6040,230,FR,"Fort Worth, TX"
Greg Sloan,45,LB,6020,226,FR,"Kansas City, KS"
Darius Adams,46,CB,5110,214,SR,--
Kam Carter,47,S,6010,198,SO,"Arlington, TX"
Tyler Lovelace,48,LB,6020,216,FR,"Lee's Summit, MO"
Brendan Withrow,49,P,6000,202,SO,"Imperial, MO"
Ty McDuffey,50,LB,6020,219,SO,"Camdenton, MO"
Caleb Albertson,51,OL,6060,280,FR,"Jefferson City, MO"
McNeece Egbim,52,LB,6000,219,SO,"Rowlett, TX"
Walter Watson,53,DL,6020,280,FR,"Oklahoma City, OK"
A.J. David,55,OL,6070,268,SO,"Moberly, MO"
McKinze James,56,OL,6030,277,SR,"Camden, AR"
Claudio Martin,57,DL,6020,270,FR,"Overland Park, KS"
Brock Hughes,58,LB,6000,232,FR,"Lee's Summit, MO"
Easton Flaugh,59,LB,6020,239,JR,"Branson West, MO"
Cedric Williams,61,OL,6040,263,FR,"Blythewood, SC"
Coleman Clanton,62,OL,6050,302,SO,"Olathe, KS"
Tanner Schiller,63,OL,5100,230,FR,"Florissant, MO"
Connor Haff,65,OL,6040,282,FR,"Owasso, OK"
Grant Martin,66,OL,6020,288,FR,"Springfield, MO"
Carvell Williams II,67,OL,6000,280,FR,"Manchester, MO"
Marquis Prophete,68,OL,6050,308,JR,"Florissant, MO"
Casey O'Brien,70,OL,6050,285,FR,"Lemont, IL"
Lemond Singleton Jr.,71,OL,6050,307,FR,"Romeoville, IL"
Derek Kohler,72,OL,6030,278,FR,"Platte City, MO"
Cole Christensen,75,OL,6050,296,JR,"Wildwood, MO"
Brad Pryor,76,OL,6030,313,JR,"St. Charles, MO"
Jordan Turner,77,OL,6060,322,JR,"Willard, MO"
Charles Carter,78,OL,6050,294,FR,"Belton, MO"
Aaron Clardy,79,OL,6050,306,JR,"Neosho, MO"
Isaiah Allred,80,WR,6030,208,FR,"Van, TX"
Armand Baker,81,TE,6040,220,FR,"Liberty, MO"
Chandler Collins,82,TE,6040,240,SO,"Springfield, MO"
Colin Crimi,83,WR,6020,190,FR,--
Lorenzo Thomas,84,WR,6050,190,FR,"Jasper, TX"
Taiwo Oluwafunmila,86,DL,6040,234,SO,--
Adam St. Peter,87,TE,6040,248,SR,"Joplin, MO"
Brandon Gilmore,88,WR,6030,224,FR,"Fenton, MO"
Isaac Smith,89,WR,6070,225,FR,"Kansas City, MO"
Colby Isbell,90,DL,6030,239,SR,"Rogers, AR"
Edd Becton,91,DL,5110,282,FR,"Florissant, MO"
Levi Shinn,92,PK,6010,183,FR,"Eldon, MO"
Eric Johnson,93,DL,6050,256,FR,"Plainfield, IL"
Tristan Crowder,94,DL,6030,235,SO,"Bartlesville, OK"
Darrius Montgomery,95,DL,6000,235,FR,"Kansas City, MO"
Tony Jones,96,DL,6070,252,SR,"Wynne, AR"
Colin Bess,97,DL,6050,271,SO,"Park Hills, MO"
Cecil Bratton,98,DL,6030,295,SR,"Saint Joseph, MO"
E.J. Sutton,99,DL,6030,281,JR,"Schertz, TX"
