Name,Number,Position,Height,Weight,Class,Hometown
Chris Board,1,LB,6010,230,SR,"Orlando, FL"
Christian Watson,1,WR,6030,186,FR,"Tampa, FL"
Dom Davis,2,CB,5110,182,SO,"Belleville, IL"
Cordell Pimienta,2,WR,6000,177,SO,"Ruskin, FL"
Tre Dempsey,3,S,5100,184,SR,"Lakeland, FL"
Mason Hofstedt,3,LB,6000,193,FR,"Cannon Falls, MN"
Dimitri Williams,4,WR,5110,191,JR,"Lakeville, MN"
Robbie Grimsley,5,S,6000,191,JR,"Hutchinson, MN"
Andy Voyen,5,WR,6020,196,FR,"Stillwater, MN"
James Hendricks,6,S,6010,205,SO,"Laporte, MN"
Cole Davis,7,QB,6030,215,SR,"Kearney, MO"
Peter Isais,7,WR,5110,170,FR,"Colorado Springs, CO"
Bruce Anderson,8,RB,5110,216,JR,"Ruskin, FL"
Marquise Bridges,9,CB,5110,182,SO,"Brooklyn Park, MN"
Lance Dunn,10,RB,5090,211,JR,"Waterloo, IA"
Darren Kelley,11,S,6010,197,SR,"Baltimore, MD"
Easton Stick,12,QB,6020,221,JR,"Omaha, NE"
Josh Hayes,14,DB,5110,178,FR,"Lakeland, FL"
Henry Van Dellen,14,QB,6040,226,FR,"Plymouth, MN"
Holden Hotchkiss,15,QB,6030,191,FR,"Lakeland, FL"
Daniel Polansky,15,WR,6000,190,SR,"Gatzke, MN"
Noah Sanders,16,QB,6020,210,FR,"Lakeville, MN"
RJ Urzendowski,16,WR,6000,200,SR,"Omaha, NE"
Felix Dixon,17,CB,5110,166,FR,"Clearwater, FL"
Carson Yaggie,17,WR,6020,196,FR,"Breckenridge, MN"
Adam Cofield,18,RB,5110,205,FR,"Lee's Summit, MO"
Brant Bohmert,19,WR,5110,179,FR,"Fargo, ND"
Jackson Koonce,19,P,6010,197,SR,"Oceanside, CA"
Darrius Shepherd,20,WR,5110,186,JR,"Blue Springs, MO"
Jalen Allison,21,CB,6000,184,JR,"Papillion, NE"
Garret Wegner,22,P,6000,184,FR,"Lodi, WI"
Jaylaan Wimbush,23,CB,6000,192,JR,--
