Name,Number,Position,Height,Weight,Class,Hometown
Jesse Cardenas,--,LB,6020,225,SO,"Lakeville, MN"
Tyrell Lyons,--,LB,6010,213,SR,"Jacksonville, FL"
Jon Nzombo,--,RB,5080,191,JR,"Tiffin, IA"
Taylor Otterstatter,--,TE,6050,251,SO,"Mayer, MN"
Nick Phillips,--,WR,5080,185,FR,"Iowa City, IA"
Keyonte Sherrod,--,DB,6010,171,JR,"Milwaukee, WI"
Max Steffen,--,DB,6010,185,FR,"Peosta, IA"
Elijah Campbell,1,DB,6000,195,SR,"St. Paul, MN"
Malcolm Washington,2,DB,6020,172,SR,"Houston, TX"
Peyton Williams,2,TE,6030,217,FR,"Marshalltown, IA"
Willie Beamon,3,DB,5060,162,JR,"Lincoln, NE"
Isaiah Trousil,5,DB,5110,180,FR,"Burlington, IA"
Terrell Carey,6,WR,6020,195,FR,"Madison, WI"
Rickey Neal,7,LB,6010,232,JR,"Racine, WI"
Marcus Weymiller,8,RB,5100,197,JR,"Waukon, IA"
Xavior Williams,9,DB,6010,177,FR,"Burlington, IA"
Daurice Fountain,10,WR,6020,208,SR,"Madison, WI"
Colton Howell,11,QB,6020,209,JR,"Wichita, KS"
Reggie Schulte,12,QB,6010,198,SR,"Cedar Rapids, IA"
Emmett Lynch,13,DB,6020,183,JR,"Chicago, IL"
Eli Dunne,14,QB,6050,238,JR,"Grinnell, IA"
Jacob Keller,15,QB,6040,210,FR,"Aurora, IL"
Cameron Perkins,16,QB,6000,185,FR,"Loganville, GA"
Christian Ellsworth,17,QB,6030,212,FR,"Grand Island, NE"
John Sullivan,18,QB,6010,180,FR,"Clinton, IA"
Suni Lane,19,DB,6040,195,FR,"Bettendorf, IA"
Rashadeem Gray,20,DB,5090,175,SR,"Whitefish Bay, WI"
Christian Jegen,21,WR,6000,211,SO,"Shawnee, KS"
Roosevelt Lawrence,22,DB,6000,161,JR,"Tampa, FL"
A.J. Allen,23,DB,6000,212,JR,"Waukee, IA"
Nikholi Jaghai,24,DB,5080,181,SO,"Miami Gardens, FL"
Trevor Allen,25,RB,6000,210,SO,"Waukee, IA"
Isaiah Nimmers,26,DB,5090,174,FR,"Cedar Rapids, IA"
Austin Evans,27,DB,6010,189,FR,"Kansas City, MO"
Jamahl Scott,28,DB,5100,175,FR,--
Tayshaun Cooper,29,WR,5110,190,FR,"Waterloo, IA"
Alphonso Soko,30,RB,5100,185,FR,"Muscatine, IA"
Tyler Hoosman,31,RB,5110,200,FR,"Plainfield, IL"
Jaylen Campbell,32,RB,6010,192,FR,"Milwaukee, WI"
Jake Hartford,33,LB,6020,221,FR,"Circle Pines, MN"
J'Veyon Browning,34,RB,5090,206,SR,"Kansas City, KS"
Tyler Eads,35,DB,5110,211,SO,"Iowa City, IA"
Korby Sander,36,DB,6010,207,FR,"Belmond, IA"
Aaron Graham,37,WR,6000,185,SO,"Oak Grove, MO"
Zac Kibby,38,DB,6000,185,FR,"Algona, IA"
Duncan Ferch,39,LB,6000,232,JR,"State Center, IA"
Alfonzo Lambert II,40,LB,5110,195,FR,"Rockford, IL"
Blake Thomas,41,LB,6000,218,JR,"Waterloo, IA"
Kendrick Suntken,42,LB,6020,240,JR,"Hampton, IA"
Christian Perez,43,DL,6010,235,JR,"Harlem, NY"
Jared Brinkman,44,DL,6010,290,FR,"Iowa City, IA"
Brock Hadachek,45,LB,6040,210,FR,"Dysart, IA"
Jared Farley,46,LB,5110,221,SR,"Cedar Falls, IA"
Elerson Smith,47,TE,6060,204,FR,"Minneapolis, MN"
Chris Kolarevic,48,LB,6010,220,FR,"Traverse City, MI"
Desmond Chapple,49,DL,6050,237,FR,"Edwardsville, IL"
Bryce Flater,50,LB,6010,215,FR,"Grundy Center, IA"
Riley Van Wyhe,51,LB,6020,210,FR,"Rock Rapids, IA"
Jacob Appleman,52,OL,6040,315,JR,"Rock Island, IL"
Weston Schultz,53,LB,6030,215,FR,"Mason City, IA"
Eric Henry,54,DL,6020,280,FR,"Tripoli, IA"
Colton Lueck,55,OL,6040,285,SO,"Dyersville, IA"
Ricky Grimes,56,LB,6000,220,SO,"Eldridge, IA"
Joe Friedrich,57,LS,6010,215,SO,"Cedar Falls, IA"
Austin Errthum,58,PK,5100,187,JR,"Kalona, IA"
Max Erpelding,59,OL,6010,260,FR,"Bettendorf, IA"
Lee Carhart,60,OL,6040,300,SR,"Omaha, NE"
Preston Woods,61,DL,6010,275,SR,"South Saint Paul, MN"
Sam Drysdale,62,PK,6000,160,SO,"Cedar Rapids, IA"
Nate Murphy,63,PK,6020,160,FR,"West Des Moines, IA"
Hezekiah Applegate,64,DL,6020,285,SO,"Johnston, IA"
John Yount,65,OL,6030,280,FR,"Ankeny, IA"
Philip Arendt,66,OL,6020,298,SO,"Iowa City, IA"
Erik Sorensen,67,OL,6060,304,FR,"Waukee, IA"
William Blaser,68,OL,6030,260,FR,"Peosta, IA"
Tyus Phillips,69,OL,6070,285,FR,"Waterloo, IA"
Trevor Penning,70,OL,6060,270,FR,"Clear Lake, IA"
Nick Ellis,71,OL,6030,307,FR,"Parkersburg, IA"
Justin Peine,72,OL,6060,290,FR,"Parker, KS"
Mason Neisen,73,OL,6040,315,FR,"Denver, IA"
Jackson Scott-Brown,74,OL,6050,303,SO,"Council Bluffs, IA"
Cal Twait,75,OL,6060,292,JR,"Manson, IA"
Jake Crozier,76,OL,6060,345,FR,"Harvey, IA"
Bryce Sweeney,77,OL,6070,316,SR,"Sioux City, IA"
Spencer Brown,78,OL,6080,238,FR,"Lenox, IA"
Tyler Putney,78,OL,6050,297,JR,"Forest City, IA"
Ezra Szczyrbak,79,OL,6050,275,JR,"Moose Lake, MN"
Isaiah Weston,80,WR,6040,200,FR,"Albertville, MN"
Xavier James,81,WR,6010,175,SR,"Des Moines, IA"
Nick Fossey,82,WR,6020,184,FR,"Lakeville, MN"
Jaylin James,83,WR,6030,196,SO,"Des Moines, IA"
Matthew Vanderslice,84,TE,6080,260,FR,"Olathe, KS"
Elias Nissen,85,TE,6040,255,JR,"Springville, IA"
Briley Moore,86,TE,6040,230,SO,"Blue Springs, MO"
Jalen Rima,87,WR,6010,178,SO,"Cedar Rapids, IA"
Michael Kuntz,88,P,6000,187,JR,"Cedar Falls, IA"
Trey Recknor,89,TE,6000,230,FR,"Mount Horeb, WI"
Brawntae Wells,91,DL,6010,258,FR,"Des Moines, IA"
Sam Kuhter,92,P,6000,208,SR,"Toledo, IA"
Bedale Naba,93,DL,6000,265,FR,"West Des Moines, IA"
Sonny Onken,94,DL,6030,250,FR,"Norwalk, IA"
Seth Thomas,95,DL,6060,251,SO,"Stilwell, KS"
Marcel Minniefield,96,DL,6020,295,SO,"Lee's Summit, MO"
Nick Simpson,97,LS,5110,228,FR,"Des Moines, IA"
Bryce Douglas,98,DL,6010,291,JR,"Plainfield, IL"
Adam Reth,99,DL,6040,273,SR,"Manchester, IA"
