Name,Number,Position,Height,Weight,Class,Hometown
Alonge Brooks,1,WR,6020,205,SR,"Compton, CA"
Bryan Clements,1,P,6030,195,FR,"Corona, CA"
Austin Simmons,3,QB,6010,210,SO,"Council Bluffs, IA"
Jordan Sommerville,3,DB,6000,180,FR,--
Riley Donovan,4,WR,6010,195,SR,"Kasson, MN"
Elijah Reed,4,DB,6020,195,FR,"Denver, CO"
Lincoln Gibbs,5,RB,5110,205,FR,"Claremont, SD"
Brian Woodward,5,LB,6030,210,JR,"Phoenix, AZ"
Kody Case,6,WR,5100,165,FR,"Lake City, IA"
Isaiah McDaniels,6,DB,5110,165,FR,"San Diego, CA"
Adam Harris,7,DB,5110,190,SR,"Clearwater, FL"
Tyler Tsagalis,7,QB,6020,215,FR,"Arlington Heights, IL"
Trystn Ducker,8,WR,5100,165,SO,"Bellevue, NE"
Ryan Weese,8,PK,5100,195,SR,"Olathe, KS"
Andrew Gray,9,DB,6020,215,JR,"New Lenox, IL"
Brevin Kaiser,9,QB,6030,210,FR,"Pierre, SD"
Reggie Crawford,10,WR,6020,205,FR,--
Randy Baker,11,WR,5100,160,SO,"Daytona Beach, FL"
Jakob Parks,12,QB,6030,200,FR,"Clearwater, FL"
Shamar Jackson,13,WR,5090,160,JR,"Pahokee, FL"
Michael Fredrick,14,RB,5110,175,JR,"Miami, FL"
Brady Schutt,15,P,6010,205,FR,"Orange City, IA"
Chris Streveler,15,QB,6030,215,SR,"Crystal Lake, IL"
Justin Heinrichs,16,DB,6010,195,SO,"Estherville, IA"
Dale Williamson,17,DB,5090,170,SO,"Texarkana, TX"
Jake Leohr,18,DL,6040,265,SR,"Iowa City, IA"
Clay Fisher,19,LB,6010,215,JR,"Omaha, NE"
Alex Coker,20,LB,6020,215,JR,"Washington, IA"
Phillip Powell,21,DB,6010,205,FR,"Chicago, IL"
Alex Gray,22,LB,6030,225,JR,"New Lenox, IL"
Jonathan Joanis,23,LB,6010,205,FR,"Orlando, FL"
Mark Collins Jr.,24,DB,5110,175,FR,"Overland Park, KS"
Paul Anderson,25,RB,5110,190,JR,"West Park, FL"
Danny Rambo,26,DB,5110,170,JR,"Donalsonville, GA"
Brandon Colpitts,27,DB,6000,205,JR,"Crescent, IA"
John Wessel,28,LB,6030,230,SR,"Sioux Falls, SD"
Isaac Armstead,29,DB,5090,185,JR,"Broken Arrow, OK"
Ben Klett,30,RB,6010,220,FR,"Lake Zurich, IL"
Doug Lewis,31,DB,5100,200,SR,"Glen Ellyn, IL"
Darion Bolden,32,DB,5100,175,FR,--
Jake Matthew,33,LB,6030,230,FR,"Omaha, NE"
Ethan James,34,PK,6010,205,JR,"Vermillion, SD"
Dominic Long,35,PK,5110,190,FR,"Gothenburg, NE"
Ben Garlock,36,DB,5110,195,SR,"West Des Moines, IA"
Kai Henry,37,RB,5080,195,FR,"Miami, FL"
Ethan Falaniko,38,RB,5100,230,FR,"Anchorage, AK"
Jack Cochrane,39,LB,6030,220,FR,"Mount Vernon, IA"
Joe Schlager,39,RB,5090,175,FR,"Mccook, NE"
Brandon Thull,41,RB,5100,195,FR,"Kewaskum, WI"
